region_id,Age_yr_55_P,Age_yr_56_M,Age_yr_56_F,Age_yr_56_P,Age_yr_57_M,Age_yr_57_F,Age_yr_57_P,Age_yr_58_M,Age_yr_58_F,Age_yr_58_P,Age_yr_59_M,Age_yr_59_F,Age_yr_59_P,Age_yr_55_59_M,Age_yr_55_59_F,Age_yr_55_59_P,Age_yr_60_M,Age_yr_60_F,Age_yr_60_P,Age_yr_61_M,Age_yr_61_F,Age_yr_61_P,Age_yr_62_M,Age_yr_62_F,Age_yr_62_P,Age_yr_63_M,Age_yr_63_F,Age_yr_63_P,Age_yr_64_M,Age_yr_64_F,Age_yr_64_P,Age_yr_60_64_M,Age_yr_60_64_F,Age_yr_60_64_P,Age_yr_65_M,Age_yr_65_F,Age_yr_65_P,Age_yr_66_M,Age_yr_66_F,Age_yr_66_P,Age_yr_67_M,Age_yr_67_F,Age_yr_67_P,Age_yr_68_M,Age_yr_68_F,Age_yr_68_P,Age_yr_69_M,Age_yr_69_F,Age_yr_69_P,Age_yr_65_69_M,Age_yr_65_69_F,Age_yr_65_69_P,Age_yr_70_M,Age_yr_70_F,Age_yr_70_P,Age_yr_71_M,Age_yr_71_F,Age_yr_71_P,Age_yr_72_M,Age_yr_72_F,Age_yr_72_P,Age_yr_73_M,Age_yr_73_F,Age_yr_73_P,Age_yr_74_M,Age_yr_74_F,Age_yr_74_P,Age_yr_70_74_M,Age_yr_70_74_F,Age_yr_70_74_P,Age_yr_75_M,Age_yr_75_F,Age_yr_75_P,Age_yr_76_M,Age_yr_76_F,Age_yr_76_P,Age_yr_77_M,Age_yr_77_F,Age_yr_77_P,Age_yr_78_M,Age_yr_78_F,Age_yr_78_P,Age_yr_79_M,Age_yr_79_F,Age_yr_79_P,Age_yr_75_79_M,Age_yr_75_79_F,Age_yr_75_79_P,Age_yr_80_84_M,Age_yr_80_84_F,Age_yr_80_84_P,Age_yr_85_89_M,Age_yr_85_89_F,Age_yr_85_89_P,Age_yr_90_94_M,Age_yr_90_94_F,Age_yr_90_94_P,Age_yr_95_99_M,Age_yr_95_99_F,Age_yr_95_99_P,Age_yr_100_yr_over_M,Age_yr_100_yr_over_F,Age_yr_100_yr_over_P,Tot_M,Tot_F,Tot_P
RA10,61662,29204,31014,60218,28512,29645,58157,27865,29405,57270,26468,28202,54670,142131,149846,291977,26362,27630,53992,26217,27400,53617,25338,26177,51515,25841,26112,51953,26574,26985,53559,130332,134304,264636,22516,22910,45426,21112,21824,42936,20288,20891,41179,17621,18680,36301,17065,18047,35112,98602,102352,200954,16226,17602,33828,15562,16812,32374,14833,16334,31167,13881,15941,29822,13499,15379,28878,74001,82068,156069,12772,14818,27590,11664,14059,25723,11334,13231,24565,10608,13140,23748,10181,12541,22722,56559,67789,124348,43398,59749,103147,24071,41782,65853,7651,17768,25419,1428,4691,6119,152,623,775,2500993,2583269,5084262
RA11,18780,9406,9414,18820,8873,9368,18241,9169,9315,18484,9020,9214,18234,45885,46674,92559,9129,9178,18307,9110,8999,18109,8771,9025,17796,8939,8968,17907,9601,9711,19312,45550,45881,91431,8008,8044,16052,7920,8053,15973,7689,7716,15405,6877,7184,14061,6790,6934,13724,37284,37931,75215,6249,6419,12668,6116,6295,12411,5686,6048,11734,5503,5683,11186,5319,5675,10994,28873,30120,58993,4981,5355,10336,4476,5051,9527,4054,4627,8681,4063,4465,8528,3806,4577,8383,21380,24075,45455,15775,19761,35536,8119,13455,21574,2399,5633,8032,428,1432,1860,47,193,240,665483,688938,1354421
RA12,6328,3222,3219,6441,3257,2997,6254,3341,3171,6512,3135,3019,6154,16169,15520,31689,3255,2993,6248,3242,3001,6243,3178,2908,6086,3241,2959,6200,3430,3242,6672,16346,15103,31449,2875,2709,5584,2821,2526,5347,2661,2557,5218,2486,2201,4687,2498,2338,4836,13341,12331,25672,2242,2097,4339,2192,2123,4315,2110,2020,4130,2048,1878,3926,1939,1825,3764,10531,9943,20474,1719,1694,3413,1549,1639,3188,1456,1499,2955,1344,1409,2753,1371,1371,2742,7439,7612,15051,5070,6131,11201,2493,3773,6266,745,1592,2337,113,446,559,9,62,71,215252,213348,428600
RA13,444,239,157,396,214,172,386,229,174,403,199,158,357,1125,861,1986,223,153,376,214,164,378,166,166,332,221,157,378,229,157,386,1053,797,1850,158,136,294,164,128,292,178,148,326,143,127,270,163,128,291,806,667,1473,163,124,287,143,108,251,120,104,224,125,114,239,107,104,211,658,554,1212,117,93,210,103,77,180,75,73,148,78,68,146,89,70,159,462,381,843,292,303,595,116,189,305,32,75,107,6,23,29,0,0,0,15326,13995,29321
RA14,119,69,50,119,65,46,111,44,48,92,58,45,103,301,243,544,50,49,99,58,40,98,47,33,80,54,31,85,60,42,102,269,195,464,37,40,77,50,30,80,49,31,80,46,31,77,49,30,79,231,162,393,24,22,46,26,19,45,26,27,53,35,18,53,18,20,38,129,106,235,39,26,65,17,20,37,22,11,33,12,11,23,14,9,23,104,77,181,62,71,133,24,33,57,0,7,7,0,3,3,0,0,0,4174,3843,8017
RA15,3,0,3,3,0,3,3,0,0,0,0,0,0,3,6,9,0,3,3,3,3,6,0,3,3,3,3,6,3,0,3,9,12,21,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,0,9,9,3,0,3,0,3,3,0,3,3,5,0,5,0,3,3,8,9,17,0,0,0,0,0,0,0,0,0,3,3,6,0,3,3,3,6,9,8,7,15,0,0,0,0,0,0,0,0,0,0,0,0,58,58,116
RA19,177,95,84,179,108,76,184,78,73,151,100,55,155,490,356,846,109,76,185,71,77,148,91,64,155,100,74,174,97,67,164,468,358,826,88,42,130,86,44,130,81,47,128,78,43,121,63,36,99,396,212,608,65,37,102,53,35,88,42,21,63,34,24,58,36,16,52,230,133,363,29,11,40,24,8,32,16,14,30,22,11,33,6,3,9,97,47,144,49,50,99,32,42,74,16,22,38,4,5,9,0,3,3,7590,5329,12919
