region_id,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_Country_birth_ns,Tot_P_Tot_Resp
RA10,226087,2022716,353417,5084268
RA11,53743,960753,92889,1354425
RA12,13378,323612,30688,428605
RA13,707,23363,2432,29321
RA14,156,6258,902,8006
RA15,9,44,8,119
RA19,512,5475,2883,12918
