region_id,P_15_yrs_over_M,P_15_yrs_over_F,P_15_yrs_over_P,lfs_Emplyed_wrked_full_time_M,lfs_Emplyed_wrked_full_time_F,lfs_Emplyed_wrked_full_time_P,lfs_Emplyed_wrked_part_time_M,lfs_Emplyed_wrked_part_time_F,lfs_Emplyed_wrked_part_time_P,lfs_Employed_away_from_work_M,lfs_Employed_away_from_work_F,lfs_Employed_away_from_work_P,lfs_Unmplyed_lookng_for_wrk_M,lfs_Unmplyed_lookng_for_wrk_F,lfs_Unmplyed_lookng_for_wrk_P,lfs_Tot_LF_M,lfs_Tot_LF_F,lfs_Tot_LF_P,lfs_N_the_labour_force_M,lfs_N_the_labour_force_F,lfs_N_the_labour_force_P,Percent_Unem_loyment_M,Percent_Unem_loyment_F,Percent_Unem_loyment_P,Percnt_LabForc_prticipation_M,Percnt_LabForc_prticipation_F,Percnt_LabForc_prticipation_P,Percnt_Employment_to_populn_M,Percnt_Employment_to_populn_F,Percnt_Employment_to_populn_P,Non_sch_quals_PostGrad_Dgre_M,Non_sch_quals_PostGrad_Dgre_F,Non_sch_quals_PostGrad_Dgre_P,Non_sch_quals_Gr_Dip_Gr_Crt_M,Non_sch_quals_Gr_Dip_Gr_Crt_F,Non_sch_quals_Gr_Dip_Gr_Crt_P,Non_sch_quals_Bchelr_Degree_M,Non_sch_quals_Bchelr_Degree_F,Non_sch_quals_Bchelr_Degree_P,Non_sch_quls_Advncd_Dip_Dip_M,Non_sch_quls_Advncd_Dip_Dip_F,Non_sch_quls_Advncd_Dip_Dip_P,Non_school_quals_Cert_Level_M,Non_school_quals_Cert_Level_F,Non_school_quals_Cert_Level_P,Migtn_Lvd_same_add_1_yr_ago_M,Migtn_Lvd_same_add_1_yr_ago_F,Migtn_Lvd_same_add_1_yr_ago_P,Migtn_Lvd_Diff_add_1_yr_ago_M,Migtn_Lvd_Diff_add_1_yr_ago_F,Migtn_Lvd_Diff_add_1_yr_ago_P,Migtn_Lvd_sme_add_5_yrs_ago_M,Migtn_Lvd_sme_add_5_yrs_ago_F,Migtn_Lvd_sme_add_5_yrs_ago_P,Mign_Lvd_Diff_add_5_yrs_ago_M,Mign_Lvd_Diff_add_5_yrs_ago_F,Mign_Lvd_Diff_add_5_yrs_ago_P
RA10,2001347,2111144,4112491,965498,576373,1541871,230161,454201,684362,68367,71679,140046,77541,68494,146035,1341567,1170747,2512314,538895,825603,1364498,5.8,5.9,5.8,67.0,55.5,61.1,63.2,52.2,57.5,115108,99174,214282,24724,38952,63676,303739,356501,660240,155264,205625,360889,422829,237604,660433,1995317,2079188,4074505,335383,350247,685630,1316839,1381219,2698058,860574,900990,1761564
RA11,529311,559179,1088490,224099,119136,343235,59877,134145,194022,18544,18675,37219,20272,16913,37185,322792,288869,611661,177461,242976,420437,6.3,5.9,6.1,61.0,51.7,56.2,57.2,48.6,52.8,10654,9619,20273,5189,9680,14869,39693,59201,98894,30599,48061,78660,158518,88738,247256,527542,550515,1078057,93554,101253,194807,355167,367492,722659,226394,245767,472161
RA12,171280,171918,343198,72787,36308,109095,17218,39021,56239,6260,5827,12087,6345,4939,11284,102610,86095,188705,58182,76212,134394,6.2,5.7,6.0,59.9,50.1,55.0,56.2,47.2,51.7,1814,1925,3739,1155,2584,3739,9118,15804,24922,7635,12745,20380,45990,26085,72075,174607,173912,348519,25940,27110,53050,125352,122723,248075,62449,65985,128434
RA13,12121,10810,22931,6219,2919,9138,832,2220,3052,527,452,979,415,277,692,7993,5868,13861,3191,4250,7441,5.2,4.7,5.0,65.9,54.3,60.4,62.5,51.7,57.4,63,88,151,42,131,173,485,1061,1546,465,713,1178,2645,1432,4077,12185,11229,23414,1950,1814,3764,8940,7974,16914,4195,4072,8267
RA14,3239,2955,6194,1400,883,2283,271,510,781,125,111,236,162,103,265,1958,1607,3565,963,1090,2053,8.3,6.4,7.4,60.5,54.4,57.6,55.4,50.9,53.3,29,32,61,7,35,42,147,301,448,125,174,299,642,392,1034,3173,2947,6120,495,505,1000,2313,2078,4391,1084,1108,2192
RA15,52,56,108,16,3,19,3,3,6,3,5,8,0,0,0,22,11,33,26,39,65,0,0,0,41.5,19.6,30.3,41.5,19.6,30.3,0,3,3,0,3,3,3,0,3,3,5,8,22,6,28,44,47,91,10,5,15,32,37,69,23,16,39
RA19,6957,4781,11738,1523,761,2284,472,530,1002,213,155,368,643,421,1064,2851,1867,4718,2238,2150,4388,22.6,22.5,22.6,41.0,39.1,40.2,31.7,30.3,31.1,163,182,345,45,68,113,600,682,1282,298,348,646,1223,579,1802,1331,812,2143,4161,3580,7741,876,478,1354,4324,3695,8019
