region_id,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_199_Family_households,HI_1_199_Non_family_hseholds,HI_1_199_Tot,HI_200_299_Family_households,HI_200_299_Non_fam_househlds,HI_200_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_599_Family_households,HI_400_599_Non_fam_househlds,HI_400_599_Tot,HI_600_799_Family_households,HI_600_799_Non_fam_househlds,HI_600_799_Tot,HI_800_999_Family_households,HI_800_999_Non_fam_househlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1999_Fam_households,HI_1500_1999_Non_fam_hsehlds,HI_1500_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
RA10,11844,14525,26369,13904,12485,26389,8980,37713,46693,16368,84003,100371,89390,55839,145229,88335,44498,132833,86710,37525,124235,91954,38921,130875,90667,30857,121524,159047,42054,201101,140108,8869,148977,125715,37184,162899,93768,4027,97795,47443,2068,49511,85356,3759,89115,124836,13991,138827,22387,21989,44376,1296812,490307,1787119
RA11,2321,2950,5271,4322,4125,8447,2645,14125,16770,5965,36044,42009,39480,24006,63486,36183,17064,53247,34585,11671,46256,31502,9525,41027,29801,6143,35944,44336,7173,51509,32410,1091,33501,21515,4052,25567,15295,300,15595,5877,111,5988,8299,162,8461,35841,2456,38297,7401,8246,15647,357778,149244,507022
RA12,1285,1190,2475,1984,1617,3601,1117,5269,6386,2451,13438,15889,15004,7617,22621,12969,5716,18685,12095,3587,15682,10435,2784,13219,9527,1587,11114,12728,1807,14535,8330,223,8553,4616,1032,5648,3194,64,3258,1023,20,1043,1506,21,1527,12248,549,12797,3117,3187,6304,113629,49708,163337
RA13,147,106,253,129,117,246,71,367,438,170,872,1042,797,448,1245,665,384,1049,681,256,937,581,267,848,566,157,723,814,177,991,567,13,580,379,139,518,266,9,275,89,0,89,180,8,188,969,43,1012,314,283,597,7385,3646,11031
RA14,22,32,54,39,38,77,21,95,116,47,233,280,174,108,282,192,97,289,162,81,243,155,77,232,129,44,173,183,48,231,125,11,136,83,40,123,58,3,61,18,0,18,33,0,33,275,7,282,79,81,160,1795,995,2790
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
