RA_CODE_2016,Pre_school_M,Pre_school_F,Pre_school_P,Infants_Primary_Government_M,Infants_Primary_Government_F,Infants_Primary_Government_P,Infants_Primary_Catholic_M,Infants_Primary_Catholic_F,Infants_Primary_Catholic_P,Infnts_Primry_Othr_Non_Govt_M,Infnts_Primry_Othr_Non_Govt_F,Infnts_Primry_Othr_Non_Govt_P,Infants_Primary_Tot_M,Infants_Primary_Tot_F,Infants_Primary_Tot_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_Non_Govt_M,Secondary_Other_Non_Govt_F,Secondary_Other_Non_Govt_P,Secondary_Tot_M,Secondary_Tot_F,Secondary_Tot_P,Tec_Furt_Educ_inst_Ft_15_24_M,Tec_Furt_Educ_inst_Ft_15_24_F,Tec_Furt_Educ_inst_Ft_15_24_P,Tec_Furt_Educ_inst_Ft_25_ov_M,Tec_Furt_Educ_inst_Ft_25_ov_F,Tec_Furt_Educ_inst_Ft_25_ov_P,Tec_Furt_Educ_inst_Pt_15_24_M,Tec_Furt_Educ_inst_Pt_15_24_F,Tec_Furt_Educ_inst_Pt_15_24_P,Tec_Furt_Educ_inst_Pt_25_ov_M,Tec_Furt_Educ_inst_Pt_25_ov_F,Tec_Furt_Educ_inst_Pt_25_ov_P,Tec_Furt_Educ_inst_F_Pt_ns_M,Tec_Furt_Educ_inst_F_Pt_ns_F,Tec_Furt_Educ_inst_F_Pt_ns_P,Tec_Furt_Educ_inst_Tot_M,Tec_Furt_Educ_inst_Tot_F,Tec_Furt_Educ_inst_Tot_P,Uni_othr_Tert_Inst_Ft_15_24_M,Uni_othr_Tert_Inst_Ft_15_24_F,Uni_othr_Tert_Inst_Ft_15_24_P,Uni_othr_Tert_Inst_Ft_25_ov_M,Uni_othr_Tert_Inst_Ft_25_ov_F,Uni_othr_Tert_Inst_Ft_25_ov_P,Uni_othr_Tert_Inst_Pt_15_24_M,Uni_othr_Tert_Inst_Pt_15_24_F,Uni_othr_Tert_Inst_Pt_15_24_P,Uni_othr_Tert_Inst_Pt_25_ov_M,Uni_othr_Tert_Inst_Pt_25_ov_F,Uni_othr_Tert_Inst_Pt_25_ov_P,Uni_othr_Tert_Inst_F_Pt_ns_M,Uni_othr_Tert_Inst_F_Pt_ns_F,Uni_othr_Tert_Inst_F_Pt_ns_P,Uni_other_Tert_Instit_Tot_M,Uni_other_Tert_Instit_Tot_F,Uni_other_Tert_Instit_Tot_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
RA10,51454,46705,98160,159889,149934,309823,45090,44428,89516,27246,25691,52939,232225,220054,452279,99031,96673,195705,46085,44506,90595,32401,30995,63397,177515,172171,349686,8749,9198,17945,8210,13658,21865,17135,8647,25776,15942,25527,41475,529,521,1051,50562,57559,108117,85508,96324,181830,30985,33390,64371,10246,11544,21788,25570,37871,63439,633,767,1402,152937,179894,332828,9605,12100,21703,11582,20535,32121,290,440,734,21479,33069,54553,179172,179655,358829,865343,889115,1754455
RA11,13311,12286,25592,41472,38666,80138,12145,12075,24221,6454,6035,12489,60071,56773,116846,27139,26354,53493,10912,11397,22314,6814,7196,14008,44871,44948,89815,1554,2048,3602,997,2315,3309,5347,3535,8886,4109,7989,12096,159,134,291,12168,16011,28179,5196,8640,13840,2347,4157,6504,1062,1922,2984,4043,8786,12823,67,97,165,12721,23598,36317,866,1028,1889,1550,3516,5063,72,100,166,2480,4643,7124,62316,59505,121821,207934,217767,425699
RA12,3930,3588,7519,12937,12382,25313,3744,3643,7395,1044,1052,2093,17721,17077,34800,9435,9157,18595,2276,2404,4679,1135,1216,2348,12841,12778,25620,298,421,715,183,552,742,1333,930,2260,1065,2235,3297,34,49,84,2914,4191,7107,661,1135,1792,227,672,899,179,411,592,751,1989,2747,13,27,43,1833,4240,6073,216,267,488,345,860,1203,22,28,56,586,1158,1745,23573,22719,46293,63400,65750,129146
RA13,289,327,614,837,778,1613,416,452,869,28,19,46,1278,1253,2534,590,578,1168,27,43,70,53,65,114,672,685,1360,22,22,36,11,34,47,57,63,124,52,152,204,3,3,4,146,273,421,37,83,119,11,23,34,14,29,34,40,136,178,0,3,3,101,273,377,10,18,25,14,50,64,3,3,3,21,62,88,2084,1923,4010,4593,4802,9393
RA14,64,47,108,171,207,380,49,32,77,0,3,7,220,242,463,92,100,190,13,9,19,11,10,25,114,112,226,3,7,10,3,10,14,3,3,7,10,13,21,0,0,0,24,36,60,3,21,25,3,5,8,0,7,9,10,22,29,0,0,0,20,48,72,9,9,15,3,6,14,0,0,0,13,14,24,516,384,903,969,890,1858
RA15,0,0,0,3,7,10,0,0,0,0,0,0,4,7,10,4,10,9,0,4,3,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,7,0,0,0,0,3,7,0,0,0,3,3,7,21,33,46,29,62,93
RA19,32,19,49,85,106,191,8,10,21,14,15,36,107,131,243,63,32,97,5,10,16,10,19,25,75,55,134,15,20,43,17,30,44,29,15,44,31,53,78,5,0,9,97,120,217,110,123,228,64,76,139,10,10,17,31,42,71,0,4,7,209,254,461,26,38,60,37,33,65,0,0,4,60,69,129,2231,1127,3360,2819,1779,4593
