RA_CODE_2016,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
RA10,9192,2757,28271,12473,9731,7704,3868,6032,919,80952,233,248,339,375,276,296,258,553,107,2691,3860,6088,2370,2393,3805,1846,1965,1568,897,24804,3676,4583,5492,3983,4594,3441,3554,4703,7190,41226,269301,611390,236901,172510,242605,112190,66606,82218,30578,1824294
RA11,2576,580,8654,3909,2325,2356,1187,2606,236,24429,64,62,40,68,54,60,47,127,17,530,691,758,559,514,530,237,465,390,171,4308,1395,1010,2079,1451,1247,1390,1265,2146,1413,13395,51591,96939,70923,49150,45323,22823,18962,26518,5634,387873
RA12,818,116,2061,954,531,506,350,821,58,6217,30,17,11,12,12,12,17,39,8,167,256,163,121,124,129,49,132,170,49,1198,945,323,707,530,428,438,590,958,488,5406,20557,22032,17809,12521,11126,5310,5968,9372,1706,106395
RA13,68,3,89,42,36,18,36,45,4,340,0,3,0,0,0,0,0,5,3,10,5,13,8,7,5,3,8,11,7,73,83,35,42,37,34,19,48,81,37,407,1810,1281,908,762,621,215,442,578,107,6724
RA14,8,0,23,9,9,0,0,15,0,59,0,0,0,0,0,0,0,0,0,3,5,0,0,0,5,0,3,0,0,10,18,10,6,16,9,3,4,17,14,98,306,181,136,171,92,33,39,130,33,1125
RA15,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,18,14,7,11,6,7,8,3,74
RA19,14,3,42,33,7,13,5,23,0,135,0,3,0,3,0,0,0,4,0,8,0,7,3,4,8,0,3,7,0,36,6,10,17,11,7,8,9,17,26,101,200,562,348,285,168,119,144,278,58,2162
