RA_CODE_2016,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
RA10,325,1177,79,85,171,1346,1900,1191,4436,68806,45445,5434,119690,5334,5785,11123,130810,94576,2357,227746
RA11,102,402,47,25,70,477,850,400,1732,15785,15198,1691,32674,1950,1889,3842,36515,26185,808,63510
RA12,24,121,19,26,42,160,326,171,657,3959,3896,462,8324,644,542,1188,9509,8265,331,18099
RA13,4,17,3,0,3,17,24,30,79,277,201,36,510,50,37,88,597,617,48,1260
RA14,0,3,0,0,0,9,17,3,26,56,26,6,89,9,13,22,107,177,6,293
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
