RA_CODE_2016,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
RA10,201279,707155,635153,195720,103537,1842834,64501,1907344
RA11,28786,181886,190961,63921,35181,500737,22173,522910
RA12,8485,53279,57889,21749,12236,153640,8168,161806
RA13,805,3201,3422,1444,880,9749,631,10388
RA14,276,644,425,210,169,1721,148,1865
RA15,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0
