RA_CODE_2016,M_AgriForestFish_0,M_AgriForestFish_1_15,M_AgriForestFish_16_24,M_AgriForestFish_25_34,M_AgriForestFish_35_39,M_AgriForestFish_40,M_AgriForestFish_41_48,M_AgriForestFish_49over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_15,M_Min_16_24,M_Min_25_34,M_Min_35_39,M_Min_40,M_Min_41_48,M_Min_49over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_15,M_Mnfg_16_24,M_Mnfg_25_34,M_Mnfg_35_39,M_Mnfg_40,M_Mnfg_41_48,M_Mnfg_49over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_15,M_EGW_WS_16_24,M_EGW_WS_25_34,M_EGW_WS_35_39,M_EGW_WS_40,M_EGW_WS_41_48,M_EGW_WS_49over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_15,M_Cnstn_16_24,M_Cnstn_25_34,M_Cnstn_35_39,M_Cnstn_40,M_Cnstn_41_48,M_Cnstn_49over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_15,M_WTrade_16_24,M_WTrade_25_34,M_WTrade_35_39,M_WTrade_40,M_WTrade_41_48,M_WTrade_49over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_15,M_RTrade_16_24,M_RTrade_25_34,M_RTrade_35_39,M_RTrade_40,M_RTrade_41_48,M_RTrade_49over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_15,M_AccomFoodS_16_24,M_AccomFoodS_25_34,M_AccomFoodS_35_39,M_AccomFoodS_40,M_AccomFoodS_41_48,M_AccomFoodS_49over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_15,M_TransPostWhse_16_24,M_TransPostWhse_25_34,M_TransPostWhse_35_39,M_TransPostWhse_40,M_TransPostWhse_41_48,M_TransPostWhse_49over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_15,M_InfoMedTelecom_16_24,M_InfoMedTelecom_25_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40,M_InfoMedTelecom_41_48,M_InfoMedTelecom_49over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_15,M_FinInsurS_16_24,M_FinInsurS_25_34,M_FinInsurS_35_39,M_FinInsurS_40,M_FinInsurS_41_48,M_FinInsurS_49over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_15,M_RentHirREserv_16_24,M_RentHirREserv_25_34,M_RentHirREserv_35_39,M_RentHirREserv_40,M_RentHirREserv_41_48,M_RentHirREserv_49over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_15,M_ProScieTechServ_16_24,M_ProScieTechServ_25_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40,M_ProScieTechServ_41_48,M_ProScieTechServ_49over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_15,M_AdminSupServ_16_24,M_AdminSupServ_25_34,M_AdminSupServ_35_39,M_AdminSupServ_40,M_AdminSupServ_41_48,M_AdminSupServ_49over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_15,M_PubAdmiSafety_16_24,M_PubAdmiSafety_25_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40,M_PubAdmiSafety_41_48,M_PubAdmiSafety_49over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_15,M_EducTrain_16_24,M_EducTrain_25_34,M_EducTrain_35_39,M_EducTrain_40,M_EducTrain_41_48,M_EducTrain_49over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_15,M_HealthCareSocA_16_24,M_HealthCareSocA_25_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40,M_HealthCareSocA_41_48,M_HealthCareSocA_49over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_15,M_ArtRecServ_16_24,M_ArtRecServ_25_34,M_ArtRecServ_35_39,M_ArtRecServ_40,M_ArtRecServ_41_48,M_ArtRecServ_49over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_15,M_OthServ_16_24,M_OthServ_25_34,M_OthServ_35_39,M_OthServ_40,M_OthServ_41_48,M_OthServ_49over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_15,M_ID_NS_16_24,M_ID_NS_25_34,M_ID_NS_35_39,M_ID_NS_40,M_ID_NS_41_48,M_ID_NS_49over,M_ID_NS_hours_NS,M_ID_NS_Tot
RA10,158,555,546,618,1078,1308,597,1460,115,6440,513,178,244,283,2115,2227,2134,3904,114,11714,1808,2984,3876,3969,27867,26633,15283,20548,925,103900,394,312,402,499,4476,5117,2156,3511,158,17019,3699,6977,9991,12095,25081,56693,23088,45184,2762,185578,792,1691,2015,1943,12486,15723,7526,11829,396,54395,2434,16002,12831,10002,21264,19354,9953,17269,1343,110455,1973,18563,15752,8888,12194,10744,6085,12275,1241,87717,2792,4811,5931,7886,18360,21643,11920,23058,1463,97870,691,1801,1436,1632,8844,12215,5036,8282,282,40220,1528,1703,1905,2913,15731,25277,10647,20093,577,80372,398,1432,1309,1320,3541,6486,3233,7378,218,25316,2071,6287,6016,6183,19947,42612,16697,34124,954,134896,996,4867,5685,4691,8527,9645,3665,6041,592,44708,2919,2498,2630,3288,25545,19569,13221,11720,784,82175,1462,10427,4968,4723,12639,12314,5988,10682,624,63831,1889,5128,6421,7731,16470,17301,6454,11619,711,73729,593,3977,2135,2282,3506,4400,1915,3549,286,22643,852,3327,3208,3499,10110,12399,6096,10207,591,50291,1716,5027,5210,4508,13478,17163,5624,10951,14986,78667
RA11,529,1328,1311,1612,2073,3122,1550,6385,332,18247,546,134,209,298,1335,1616,2488,4621,169,11416,707,878,926,1625,6649,6543,3990,5378,302,27000,218,90,146,307,2029,1611,856,1015,72,6346,1329,2074,2456,3520,7239,13666,5757,11616,709,48365,199,402,294,426,1619,2009,1397,2285,83,8707,713,4183,2233,2690,5189,3721,2579,4207,302,25816,587,5016,2173,2267,2565,1983,1225,3043,323,19175,741,1221,1393,1595,2615,2913,1984,5822,303,18599,87,242,168,209,700,676,373,602,19,3079,123,211,158,223,629,1023,503,934,30,3838,96,336,219,237,494,762,497,1208,25,3865,282,1028,795,1043,1880,2811,1387,3265,119,12604,295,1378,976,1253,1482,1529,610,1151,161,8842,1046,720,717,993,8159,5220,4076,3429,252,24608,461,1539,1115,1365,2975,2806,1461,2819,155,14699,618,1190,1601,2443,3871,3336,1299,2268,192,16816,145,778,338,396,718,602,314,601,56,3939,313,787,610,827,2721,3118,1743,3176,154,13454,563,1117,776,931,2276,2637,1099,2193,2964,14551
RA12,658,1115,1009,1416,1747,3704,1974,10795,412,22817,188,55,54,90,279,428,824,1922,84,3930,208,254,296,492,2020,1988,1120,1370,98,7831,66,48,38,81,596,524,211,249,22,1833,404,557,658,854,1706,2756,1208,2589,212,10950,39,138,110,120,415,616,390,682,25,2527,185,941,485,565,1249,857,643,1086,102,6116,126,1015,502,544,570,427,303,996,96,4591,225,385,411,429,614,780,452,1547,114,4959,15,47,26,30,147,126,74,80,6,551,23,30,37,36,93,119,70,145,6,556,16,62,40,52,94,157,80,251,13,766,76,200,141,190,356,435,246,623,28,2300,74,345,219,225,284,293,126,270,31,1872,265,168,163,248,2316,990,887,626,87,5751,112,338,271,362,549,551,342,666,33,3222,159,245,335,465,756,627,228,470,47,3330,65,138,71,107,229,183,86,214,15,1108,86,250,178,196,730,917,453,853,57,3708,189,342,255,271,657,738,317,688,1041,4508
RA13,67,91,73,135,179,439,208,1723,59,2979,34,18,15,18,24,66,167,375,12,715,9,8,0,15,32,42,31,51,3,184,4,0,0,3,30,40,3,6,3,97,11,20,21,24,65,94,39,129,16,405,5,3,3,9,7,20,15,38,0,105,8,34,18,28,46,28,28,57,3,243,3,24,19,27,11,24,10,48,0,176,9,19,14,14,31,43,10,65,10,216,0,3,0,0,3,5,7,11,0,31,0,0,0,4,3,3,0,0,3,10,0,0,0,0,5,6,0,6,3,21,0,4,5,6,11,10,4,21,0,60,7,19,10,17,4,10,3,12,6,92,23,10,16,16,183,74,70,47,0,445,0,19,3,28,37,39,20,43,3,194,3,16,10,16,51,40,12,33,0,184,3,3,3,6,12,13,7,7,0,54,9,9,6,9,29,56,19,47,0,179,21,20,20,17,38,35,20,59,98,330
RA14,4,7,11,19,18,68,31,274,8,443,3,0,3,0,0,3,11,28,0,57,0,0,0,0,0,0,0,3,0,4,0,0,0,0,9,7,3,3,0,22,0,4,0,0,3,15,7,31,0,67,0,0,0,0,0,3,0,10,0,13,0,0,3,3,0,5,0,13,0,22,6,6,4,13,7,7,10,24,5,75,3,3,4,4,0,0,0,16,3,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,8,0,4,0,0,3,4,0,3,0,15,0,3,0,0,4,3,5,3,0,29,7,3,4,7,44,39,18,20,4,142,0,4,0,12,13,12,0,14,0,52,0,0,3,6,4,9,3,9,0,37,0,0,0,0,15,6,0,0,0,21,0,0,5,5,3,9,0,4,0,28,4,3,3,0,5,5,4,13,26,63
RA15,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
RA19,0,7,9,17,8,9,9,20,3,79,3,0,0,0,5,3,8,12,0,30,4,6,8,7,37,26,21,13,5,134,0,0,3,3,3,4,0,4,0,23,12,24,37,35,49,97,38,55,17,359,4,0,0,0,9,13,3,7,0,48,14,3,9,11,27,28,11,12,3,119,3,20,41,21,37,32,7,31,3,191,10,9,11,11,23,23,14,40,6,152,0,0,5,0,13,3,0,8,0,30,0,0,3,3,11,12,3,8,0,42,0,0,0,0,3,6,5,7,0,26,11,6,16,11,16,45,8,21,0,135,5,15,11,13,13,16,6,4,0,84,10,8,5,3,16,26,23,35,6,134,3,15,3,5,13,9,3,6,0,61,4,0,14,13,18,15,8,7,3,83,3,10,4,6,14,6,3,7,3,62,0,5,5,8,12,20,3,9,0,71,7,20,11,8,23,32,12,22,50,174
