RA_CODE_2016,Age_yr_0_M,Age_yr_0_F,Age_yr_0_P,Age_yr_1_M,Age_yr_1_F,Age_yr_1_P,Age_yr_2_M,Age_yr_2_F,Age_yr_2_P,Age_yr_3_M,Age_yr_3_F,Age_yr_3_P,Age_yr_4_M,Age_yr_4_F,Age_yr_4_P,Age_yr_0_4_M,Age_yr_0_4_F,Age_yr_0_4_P,Age_yr_5_M,Age_yr_5_F,Age_yr_5_P,Age_yr_6_M,Age_yr_6_F,Age_yr_6_P,Age_yr_7_M,Age_yr_7_F,Age_yr_7_P,Age_yr_8_M,Age_yr_8_F,Age_yr_8_P,Age_yr_9_M,Age_yr_9_F,Age_yr_9_P,Age_yr_5_9_M,Age_yr_5_9_F,Age_yr_5_9_P,Age_yr_10_M,Age_yr_10_F,Age_yr_10_P,Age_yr_11_M,Age_yr_11_F,Age_yr_11_P,Age_yr_12_M,Age_yr_12_F,Age_yr_12_P,Age_yr_13_M,Age_yr_13_F,Age_yr_13_P,Age_yr_14_M,Age_yr_14_F,Age_yr_14_P,Age_yr_10_14_M,Age_yr_10_14_F,Age_yr_10_14_P,Age_yr_15_M,Age_yr_15_F,Age_yr_15_P,Age_yr_16_M,Age_yr_16_F,Age_yr_16_P,Age_yr_17_M,Age_yr_17_F,Age_yr_17_P,Age_yr_18_M,Age_yr_18_F,Age_yr_18_P,Age_yr_19_M,Age_yr_19_F,Age_yr_19_P,Age_yr_15_19_M,Age_yr_15_19_F,Age_yr_15_19_P,Age_yr_20_M,Age_yr_20_F,Age_yr_20_P,Age_yr_21_M,Age_yr_21_F,Age_yr_21_P,Age_yr_22_M,Age_yr_22_F,Age_yr_22_P,Age_yr_23_M,Age_yr_23_F,Age_yr_23_P,Age_yr_24_M,Age_yr_24_F,Age_yr_24_P,Age_yr_20_24_M,Age_yr_20_24_F,Age_yr_20_24_P,Age_yr_25_M,Age_yr_25_F,Age_yr_25_P,Age_yr_26_M,Age_yr_26_F,Age_yr_26_P,Age_yr_27_M,Age_yr_27_F,Age_yr_27_P,Age_yr_28_M,Age_yr_28_F,Age_yr_28_P,Age_yr_29_M,Age_yr_29_F,Age_yr_29_P,Age_yr_25_29_M,Age_yr_25_29_F,Age_yr_25_29_P,Age_yr_30_M,Age_yr_30_F,Age_yr_30_P,Age_yr_31_M,Age_yr_31_F,Age_yr_31_P,Age_yr_32_M,Age_yr_32_F,Age_yr_32_P,Age_yr_33_M,Age_yr_33_F,Age_yr_33_P,Age_yr_34_M,Age_yr_34_F,Age_yr_34_P,Age_yr_30_34_M,Age_yr_30_34_F,Age_yr_30_34_P,Age_yr_35_M,Age_yr_35_F,Age_yr_35_P,Age_yr_36_M,Age_yr_36_F,Age_yr_36_P,Age_yr_37_M,Age_yr_37_F,Age_yr_37_P,Age_yr_38_M,Age_yr_38_F,Age_yr_38_P,Age_yr_39_M,Age_yr_39_F,Age_yr_39_P,Age_yr_35_39_M,Age_yr_35_39_F,Age_yr_35_39_P,Age_yr_40_M,Age_yr_40_F,Age_yr_40_P,Age_yr_41_M,Age_yr_41_F,Age_yr_41_P,Age_yr_42_M,Age_yr_42_F,Age_yr_42_P,Age_yr_43_M,Age_yr_43_F,Age_yr_43_P,Age_yr_44_M,Age_yr_44_F,Age_yr_44_P,Age_yr_40_44_M,Age_yr_40_44_F,Age_yr_40_44_P,Age_yr_45_M,Age_yr_45_F,Age_yr_45_P,Age_yr_46_M,Age_yr_46_F,Age_yr_46_P,Age_yr_47_M,Age_yr_47_F,Age_yr_47_P,Age_yr_48_M,Age_yr_48_F,Age_yr_48_P,Age_yr_49_M,Age_yr_49_F,Age_yr_49_P,Age_yr_45_49_M,Age_yr_45_49_F,Age_yr_45_49_P,Age_yr_50_M,Age_yr_50_F,Age_yr_50_P,Age_yr_51_M,Age_yr_51_F,Age_yr_51_P,Age_yr_52_M,Age_yr_52_F,Age_yr_52_P,Age_yr_53_M,Age_yr_53_F,Age_yr_53_P,Age_yr_54_M,Age_yr_54_F,Age_yr_54_P,Age_yr_50_54_M,Age_yr_50_54_F,Age_yr_50_54_P,Age_yr_55_M,Age_yr_55_F
RA10,34569,32952,67519,36913,34928,71845,36704,35047,71758,37366,35077,72438,37375,35332,72702,182922,173335,356263,36977,34932,71916,37198,35223,72425,36173,34308,70489,36466,34806,71268,36035,34113,70142,182853,173389,356238,34861,32895,67755,33652,31608,65259,33258,31137,64390,32878,31229,64103,32293,30586,62879,166934,157456,324391,33248,31118,64368,33774,31758,65536,33511,31616,65130,34236,32931,67175,36727,35154,71876,171494,162588,334081,38297,36448,74744,38956,37414,76365,38865,38483,77348,40723,40013,80732,41771,41458,83233,198610,193813,392426,42257,42555,84816,43156,43838,86992,42734,43535,86271,42251,43954,86206,41837,43870,85702,212240,217743,429981,43020,44839,87854,43500,44711,88216,43896,45257,89156,43751,45517,89268,43423,43735,87156,217592,224056,441647,42695,43068,85762,41009,41091,82096,39296,39942,79246,38582,39149,77732,37789,38536,76326,199373,201792,401166,37582,38800,76385,37405,38268,75676,38312,39281,77592,38381,40237,78616,39393,41106,80501,191067,197694,388761,39471,41827,81294,36633,38259,74893,35623,37871,73492,34525,36798,71324,33710,35002,68715,179958,189766,369717,34293,35017,69308,33888,35087,68970,35238,36635,71869,35672,36914,72589,35296,36217,71513,174382,179865,354249,34477,35885
RA11,7729,7306,15039,8196,7589,15790,8335,8015,16356,8744,8242,16986,8831,8427,17265,41849,39584,81428,8926,8545,17475,9107,8778,17883,9568,8970,18537,9341,8846,18188,9791,9216,19007,46736,44360,91095,9367,8782,18151,9230,8655,17886,9147,8452,17594,9171,8592,17768,9078,8771,17844,45989,43255,89243,9158,8822,17980,9143,8996,18144,9205,9042,18247,8825,8294,17125,8035,7595,15633,44368,42756,87125,7707,7437,15142,7738,7392,15135,7566,7238,14810,7417,7238,14654,7473,7127,14602,37896,36445,74345,7368,7357,14726,7349,7528,14874,7094,7247,14347,7177,7316,14493,7153,7401,14553,36145,36842,72986,7371,7612,14983,7108,7352,14457,7210,7537,14746,7450,7864,15311,7410,7756,15169,36548,38117,74668,7360,7852,15207,7130,7414,14549,7177,7650,14822,7179,7755,14938,7318,7811,15132,36164,38488,74649,7656,8147,15803,7968,8452,16423,8368,8812,17184,8705,9345,18052,9300,9924,19217,41993,44681,86680,9468,10291,19758,8804,9436,18245,8841,9447,18292,8601,9199,17799,8534,9303,17837,44246,47672,91919,8682,9281,17962,8818,9337,18153,9564,9957,19516,9821,10397,20220,10013,10498,20507,46896,49461,96357,10149,10720
RA12,2315,2271,4590,2393,2261,4655,2503,2399,4905,2676,2495,5172,2712,2520,5235,12597,11946,24542,2685,2569,5249,2799,2799,5597,2831,2760,5594,2960,2865,5826,2938,2839,5780,14213,13827,28042,2890,2773,5665,2785,2628,5412,2763,2618,5383,2693,2637,5327,2625,2613,5239,13757,13271,27028,2805,2619,5426,2707,2599,5308,2734,2580,5309,2496,2188,4686,2292,1884,4173,13037,11870,24903,2068,1841,3911,2082,1846,3926,2062,1781,3843,2018,1922,3940,2030,1998,4023,10269,9379,19651,2025,2029,4053,2087,2048,4134,2055,2052,4110,1989,2076,4061,2009,2023,4033,10167,10227,20401,2104,2077,4178,1981,2157,4137,2048,2165,4214,1975,2090,4065,1965,2165,4130,10075,10652,20723,1993,2148,4144,2094,2169,4263,2001,2132,4140,1990,2127,4119,2149,2191,4339,10229,10773,21001,2204,2304,4513,2307,2235,4542,2400,2612,5004,2491,2605,5096,2722,2798,5524,12124,12554,24676,2856,2947,5803,2653,2826,5480,2683,2830,5511,2711,2682,5393,2767,2688,5455,13671,13967,27638,2794,2881,5676,2815,2868,5686,3230,3189,6420,3250,3391,6643,3506,3440,6950,15601,15768,31366,3611,3562
RA13,235,179,415,212,214,424,213,207,420,189,242,433,207,231,444,1065,1067,2134,206,222,434,231,221,452,193,199,389,195,195,390,243,222,467,1071,1053,2128,209,245,458,228,197,419,174,176,345,174,122,294,177,159,332,953,900,1854,147,158,307,170,140,317,155,155,311,142,139,277,154,124,283,769,723,1490,129,144,270,146,142,284,152,129,283,180,157,333,185,185,376,792,759,1550,189,213,400,169,178,347,186,191,381,181,186,370,182,154,335,899,931,1832,186,183,368,188,213,402,179,190,370,174,173,350,181,156,338,904,915,1826,172,185,358,166,142,304,166,145,318,135,175,315,154,165,324,800,817,1620,161,190,353,154,164,312,176,155,328,183,150,340,204,210,415,876,868,1749,178,189,369,201,175,372,203,181,388,176,177,356,196,182,377,948,917,1868,221,204,425,183,200,386,252,204,456,220,206,423,249,210,466,1127,1027,2154,257,200
RA14,41,39,77,46,41,83,49,35,81,53,39,91,53,30,84,233,184,414,45,42,90,26,41,62,43,54,94,55,53,107,32,38,71,209,226,430,41,49,90,31,22,56,28,24,55,34,33,67,28,29,53,159,152,314,19,27,42,29,31,65,33,29,57,35,24,58,30,37,67,140,147,291,32,22,57,33,31,71,31,31,65,36,39,75,35,30,70,167,164,327,48,39,87,44,38,90,37,45,88,33,38,68,35,25,66,202,191,388,19,43,65,40,22,63,34,38,70,36,34,73,35,30,63,166,172,341,30,35,65,36,36,73,33,29,56,37,31,67,36,24,57,167,154,322,32,25,62,27,28,57,27,18,48,37,43,78,48,44,91,176,161,339,50,39,89,47,39,85,28,45,70,37,50,87,29,31,60,196,198,399,49,39,81,56,52,101,46,44,94,55,37,91,53,34,85,251,200,451,53,48
RA15,0,0,0,3,0,0,3,0,6,0,0,0,4,3,3,10,4,14,0,0,0,0,0,0,0,0,0,3,0,5,0,0,3,3,5,12,0,0,3,0,3,5,0,3,3,0,3,3,3,0,4,3,9,11,0,0,0,0,3,4,0,3,3,0,3,3,0,0,3,3,7,12,3,0,4,3,0,3,0,0,0,0,0,0,0,0,3,9,4,9,3,3,3,0,0,0,0,0,0,0,0,0,0,3,5,5,12,12,0,7,8,0,3,3,4,0,4,0,0,0,0,3,3,6,14,20,0,0,0,0,3,5,0,0,3,0,0,0,0,0,0,3,3,9,3,3,3,0,5,7,5,0,8,3,3,6,3,3,3,10,12,21,0,0,0,4,0,3,3,6,8,0,0,3,0,0,3,10,7,16,4,0,4,4,3,8,0,7,10,3,0,6,3,10,13,15,22,35,7,7
RA19,43,36,75,42,37,74,43,27,68,36,27,62,31,29,60,188,149,338,30,24,51,28,26,51,19,24,42,27,22,52,21,26,41,119,122,238,19,18,33,10,20,33,20,16,31,18,10,30,19,18,29,82,78,158,20,16,36,33,22,57,35,32,69,65,57,124,133,102,229,285,232,517,105,133,242,142,104,245,144,120,267,167,127,293,184,135,313,746,615,1358,212,120,328,209,131,343,175,141,315,178,149,328,158,96,252,928,635,1559,192,100,295,129,111,234,138,93,232,115,78,191,112,78,190,687,457,1142,159,78,237,122,62,191,115,59,176,128,77,204,93,63,154,625,338,955,162,59,219,127,59,185,136,73,208,107,53,162,116,45,168,644,290,940,149,77,225,102,43,151,115,59,171,108,75,180,93,55,153,572,310,881,160,74,233,107,63,166,106,67,170,82,57,146,132,73,201,585,338,919,110,77
