RA_CODE_2016,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
RA10,..,427181,427181,526235,57137,583368,312014,17959,329968,328203,7849,336056,144414,3071,147483,81004,2279,83288,1391868,515477,1907344
RA11,..,142216,142216,179943,13279,193226,70967,1978,72946,66652,652,67308,31641,208,31848,15271,99,15369,364479,158436,522910
RA12,..,47520,47520,57825,3676,61501,20131,355,20491,17992,81,18078,9456,43,9493,4699,21,4723,110109,51699,161806
RA13,..,3253,3253,3383,228,3612,1276,22,1299,1157,0,1160,642,3,648,413,0,415,6876,3515,10388
RA14,..,610,610,544,47,591,238,6,249,211,0,213,111,0,111,102,0,102,1201,668,1865
RA15,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
