RA_CODE_2016,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_Resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_Resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_Resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_Resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_Resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_Resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_Resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_Resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_Resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_Resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_Resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_Resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_Resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_Resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_Resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_Resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_Resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_Resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_Resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_Resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_Resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_Resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_Resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_Resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_Resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_Resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_Resp,Turkish_BP_B_OS,Turkish_FO_B_OS,Turkish_MO_B_OS,Turkish_BP_B_Aus,Turkish_BP_NS,Turkish_Tot_Resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_Resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_Resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_Resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_Resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_Resp
RA10,64071,176503,127902,1043961,20420,1432855,242,1172,512,12561,271,14761,465665,7098,11827,11793,3905,500290,27389,3736,2177,7452,363,41116,26868,8408,5038,14157,475,54945,340211,147578,105703,913543,20778,1527809,95311,2366,8017,1311,1023,108032,20353,2855,2014,9699,344,35276,51900,13954,9674,77645,1779,154956,71896,12443,6498,32804,1273,124909,13648,2445,1262,3313,192,20867,192316,3106,2622,1803,1154,201005,84350,39548,27224,350286,5534,506944,111750,27488,12599,73859,2390,228093,62574,419,1293,467,302,65055,108829,21246,9676,20861,1703,162316,28054,3220,1764,5244,335,38618,28946,7373,4103,18508,566,59497,20010,3329,2155,1652,451,27600,24364,8621,6362,3684,384,43415,28412,4132,3088,8349,330,44312,21141,1737,1679,3397,339,28295,78015,36390,26472,244863,4178,389918,21538,1904,1186,2203,330,27160,22837,2881,2164,968,173,29026,35302,2260,1859,3965,413,43803,22521,886,724,509,135,24775,21552,2193,1250,1474,246,26718,101676,1297,2465,1070,1246,107746,12358,3593,2318,12959,254,31475,680991,50845,39607,51650,7642,830736,27005,2757,2075,19249,295470,346551,2530420,360183,255865,2072410,358656,5577538
RA11,5175,43160,30765,524164,11056,614318,38,299,137,8743,223,9436,6932,535,661,2856,130,11109,1975,427,224,897,37,3560,8574,2726,1755,5301,186,18549,69617,40388,29087,440083,10752,589926,5253,189,1263,322,129,7161,2465,563,423,3651,93,7193,11263,3964,2842,42103,864,61042,2580,848,328,2819,84,6664,1791,424,195,699,36,3145,7237,424,334,512,64,8572,14162,9364,6264,148441,2721,180959,8444,3551,1368,16157,418,29947,1075,41,80,73,10,1276,1511,490,224,1270,61,3558,497,115,51,205,8,880,3316,1025,649,3402,115,8501,2250,742,508,719,59,4279,3915,2126,1552,1266,105,8958,3414,780,509,1987,76,6774,1474,286,221,721,25,2724,17598,10550,7505,112157,2205,150018,784,118,99,245,12,1254,2425,429,346,272,28,3500,2106,249,198,1235,58,3842,984,98,81,94,15,1269,342,88,30,59,5,525,1230,51,130,52,19,1484,2836,989,590,4449,108,8972,34980,7476,5351,13214,855,61875,1947,705,486,13062,97186,113388,184935,78296,55195,981672,120891,1420993
RA12,1334,10002,7226,171306,4142,194008,17,91,36,4316,160,4609,1328,101,113,916,53,2509,295,58,36,129,3,523,2090,625,434,1190,43,4389,14847,9209,6732,135788,3627,170199,1506,30,286,65,52,1942,475,121,90,942,34,1661,2800,927,703,13908,315,18653,366,175,46,491,28,1111,322,88,35,119,7,568,1802,66,42,137,14,2056,2631,2006,1293,42343,826,49104,4557,1513,508,6699,200,13482,172,0,13,10,8,206,184,66,34,284,6,570,69,14,10,25,0,113,505,195,90,568,17,1375,588,180,106,187,33,1094,864,439,330,334,32,2007,620,157,88,423,23,1313,271,66,43,197,0,574,3742,2372,1822,34727,721,43388,106,12,15,27,5,166,496,78,64,72,4,717,418,58,40,327,20,862,119,11,13,13,5,161,175,16,5,16,9,217,182,21,25,8,0,246,621,198,126,1043,16,1999,7991,1574,1128,3221,285,14192,589,172,146,5129,36501,42544,43028,18396,12940,314745,44929,434034
RA13,62,462,373,13106,345,14354,3,11,0,834,28,875,92,0,5,62,3,167,39,3,4,16,0,67,78,24,19,60,4,182,505,352,300,8270,239,9663,88,3,15,4,0,114,27,3,4,51,0,92,147,49,29,663,18,904,25,0,3,29,0,60,31,3,4,9,0,49,120,9,0,11,0,136,173,97,78,2704,60,3111,65,21,10,192,6,295,29,0,0,0,0,31,20,4,0,22,0,38,6,0,0,0,0,7,9,8,8,21,0,43,55,17,6,10,0,87,39,27,33,31,0,128,36,4,9,24,0,72,13,0,0,0,0,16,181,80,87,2079,42,2473,45,7,0,6,0,58,55,0,10,0,0,68,10,3,4,19,0,38,17,0,0,0,0,17,7,3,0,0,0,9,13,0,0,0,0,13,8,7,9,48,0,75,505,76,63,180,13,842,37,15,9,414,3307,3787,2077,786,638,21892,3908,29298
RA14,5,77,75,1935,61,2156,0,8,0,1003,50,1065,10,0,0,14,0,16,4,0,0,0,0,6,9,0,3,7,0,17,95,62,63,1200,47,1463,6,0,3,0,0,8,3,0,0,10,0,13,32,7,4,146,4,184,6,0,0,3,0,7,0,0,0,3,0,4,7,0,0,0,0,14,20,20,8,421,3,476,10,10,4,17,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,7,0,22,3,3,3,0,0,16,8,7,7,0,0,20,3,3,0,0,0,10,3,0,7,0,0,8,21,20,15,318,3,377,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,15,0,26,73,28,25,52,4,176,15,3,0,100,789,900,277,162,130,4158,936,5664
RA15,6,17,7,91,0,125,0,0,0,0,0,0,33,0,0,3,0,39,3,0,0,0,0,3,3,0,0,0,0,0,39,12,6,72,10,137,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,3,31,0,44,10,0,0,0,3,10,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,8,0,0,0,0,8,14,0,7,24,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,23,0,0,4,0,26,8,0,0,3,38,52,166,17,13,176,42,412
RA19,70,302,198,2595,82,3249,0,3,3,95,6,105,428,12,7,20,4,473,26,0,0,4,0,34,79,21,13,35,0,149,812,254,191,1952,70,3270,76,0,22,4,0,105,62,9,6,27,0,108,151,27,20,202,4,399,44,9,3,20,3,76,27,3,0,5,0,33,142,0,0,3,0,144,205,66,40,714,12,1039,123,30,15,95,8,265,45,0,0,0,0,45,79,10,5,16,0,111,10,0,0,0,0,9,18,8,0,8,0,43,54,10,7,6,0,79,60,17,8,6,6,94,38,6,8,13,0,70,22,0,3,6,3,34,189,57,46,536,16,840,18,0,0,0,0,15,39,3,4,3,0,50,53,0,0,10,0,65,13,0,0,3,0,11,27,0,0,0,0,36,82,3,3,0,0,86,32,8,7,25,0,66,890,76,55,102,26,1140,48,4,4,63,3194,3312,3262,554,393,4675,3398,12288
