RA_CODE_2016,CF_no_children_F,CF_no_children_P,CF_ChU15_a_DSs_a_NdCh_F,CF_ChU15_a_DSs_a_NdCh_P,CF_ChU15_a_DSs_a_no_NdCh_F,CF_ChU15_a_DSs_a_no_NdCh_P,CF_ChU15_a_no_DSs_a_NdCh_F,CF_ChU15_a_no_DSs_a_NdCh_P,CF_ChU15_a_no_DSs_a_no_NdCh_F,CF_ChU15_a_no_DSs_a_no_NdCh_P,CF_ChU15_a_Total_F,CF_ChU15_a_Total_P,CF_no_ChU15_a_DSs_a_NdCh_F,CF_no_ChU15_a_DSs_a_NdCh_P,CF_no_ChU15_a_DSs_a_no_NdCh_F,CF_no_ChU15_a_DSs_a_no_NdCh_P,CF_no_ChU15_a_no_DSs_a_NdCh_F,CF_no_ChU15_a_no_DSs_a_NdCh_P,CF_no_ChU15_a_Total_F,CF_no_ChU15_a_Total_P,CF_Total_F,CF_Total_P,OPF_ChU15_a_DSs_a_NdCh_F,OPF_ChU15_a_DSs_a_NdCh_P,OPF_ChU15_a_DSs_a_no_NdCh_F,OPF_ChU15_a_DSs_a_no_NdCh_P,OPF_ChU15_a_no_DSs_a_NdCh_F,OPF_ChU15_a_no_DSs_a_NdCh_P,OPF_ChU15_a_no_DSs_no_NdCh_F,OPF_ChU15_a_no_DSs_no_NdCh_P,OPF_ChU15_a_Total_F,OPF_ChU15_a_Total_P,OPF_no_ChU15_a_DSs_a_NdCh_F,OPF_no_ChU15_a_DSs_a_NdCh_P,OPF_no_ChU15_a_DSs_no_NdCh_F,OPF_no_ChU15_a_DSs_no_NdCh_P,OPF_no_ChU15_no_DSs_a_NdCh_F,OPF_no_ChU15_no_DSs_a_NdCh_P,OPF_no_ChU15_a_Total_F,OPF_no_ChU15_a_Total_P,OPF_Total_F,OPF_Total_P,Other_family_F,Other_family_P,Total_F,Total_P
RA10,492945,985082,11171,64155,65641,307624,16544,76880,372633,1445236,465989,1893889,41028,174532,61016,212152,132597,430584,234639,817259,700629,2711151,3017,14299,14800,53361,7289,26401,76538,208391,101652,302459,10885,35497,24915,56973,90295,198967,126095,291437,227746,593893,26199,56047,1447522,4346179
RA11,161330,319316,2649,14656,14765,68736,4814,21993,76098,302640,98329,408025,6174,25194,10747,34644,27800,86523,44725,146366,143051,554388,818,3768,4588,16511,2440,8842,26915,74471,34765,103597,2049,6306,5464,11766,21232,44925,28745,63000,63510,166594,4561,9516,372445,1049809
RA12,51838,102386,790,4327,4213,19307,1394,6317,21683,87534,28081,117487,1548,6105,2866,8803,8069,24882,12475,39785,40559,157271,225,1064,1307,4798,731,2721,7786,22173,10048,30748,453,1400,1380,2893,6222,13175,8054,17467,18099,48222,1519,3194,112018,311071
RA13,2947,5827,37,205,257,1102,107,471,1579,6444,1986,8221,82,287,153,419,454,1387,680,2092,2665,10317,19,98,63,228,62,252,584,1743,726,2318,22,64,62,136,443,954,532,1152,1260,3466,128,272,7000,19881
RA14,467,918,11,53,43,169,20,89,277,1094,337,1399,15,41,26,59,73,237,116,341,451,1743,4,9,16,73,17,61,145,455,181,601,4,10,5,17,97,244,111,267,293,866,29,65,1245,3593
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
