RA_CODE_2016,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
RA10,342665,667431,313472,259120,375613,237892,149568,203356,49142,2598257
RA11,74066,104543,90262,71027,72637,58451,41400,67317,9715,589423
RA12,34880,23868,23530,18195,18205,14179,14213,24659,3234,174964
RA13,3545,1409,1283,1197,1083,589,1196,1659,245,12204
RA14,657,213,182,265,159,61,109,302,69,2028
RA15,3,22,18,16,21,17,10,18,5,130
RA19,274,649,480,430,261,224,339,582,103,3331
