RA_CODE_2016,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
RA10,225,3399,83,44568,1304,229,150,588,223,910,103,534,222,3186,24317,31766,547,146,243,240,97,230,50,203,136,3475,2686,8049,123934,19941,3251,57094,6203,51878,2735,32077,4685,161816,29330,492945
RA11,59,733,28,5972,305,93,26,261,63,371,39,238,78,1517,7652,10652,183,62,83,130,38,99,25,102,56,1834,1078,3700,25280,7435,1179,20114,1862,13249,1179,12106,1910,67103,9914,161330
RA12,11,153,9,1503,121,27,14,88,31,134,18,91,29,525,2519,3613,143,30,59,72,11,49,9,41,27,646,478,1571,9301,2588,562,6893,661,4262,452,3606,672,19411,3434,51838
RA13,0,9,0,146,12,0,0,9,0,11,3,5,3,17,157,216,25,3,4,9,0,3,0,3,3,31,35,121,856,129,43,416,56,277,19,150,33,746,220,2947
RA14,0,0,0,17,0,0,0,5,0,3,0,0,0,7,27,46,6,0,0,0,0,0,0,0,0,5,5,27,140,24,6,50,6,53,0,14,3,134,42,467
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
