RA_CODE_2016,OPDs_Separate_house_Dwellings,OPDs_Separate_house_Persons,OPDs_SD_r_t_h_th_1_sty_Dwgs,OPDs_SD_r_t_h_th_1_sty_Psns,OPDs_SD_r_t_h_th_2_m_sty_Dwgs,OPDs_SD_r_t_h_th_2_m_sty_Psns,OPDs_SD_r_t_h_th_Tot_Dwgs,OPDs_SD_r_t_h_th_Tot_Psns,OPDs_F_ap_I_1or2_sty_blk_Ds,OPDs_F_ap_I_1or2_sty_blk_Ps,OPDs_F_ap_I_3_sty_blk_Dwgs,OPDs_F_ap_I_3_sty_blk_Psns,OPDs_F_ap_I_4_m_sty_blk_Ds,OPDs_F_ap_I_4_m_sty_blk_Ps,OPDs_Flt_apt_Att_house_Ds,OPDs_Flt_apt_Att_house_Ps,OPDs_Flt_apart_Tot_Dwgs,OPDs_Flt_apart_Tot_Psns,OPDs_Oth_dwg_Cvn_Ds,OPDs_Oth_dw_Cvn_Ps,OPDs_Oth_dwg_cab_hboat_Ds,OPDs_Oth_dwg_cab_hboat_Ps,OPDs_Ot_dwg_Im_hm_tnt_SO_Ds,OPDs_Ot_dwg_Im_hm_tnt_SO_Ps,OPDs_Ot_dwg_Hs_f_att_sh_of_Ds,OPDs_Ot_dwg_Hs_f_att_sh_of_Ps,OPDs_Other_dwelling_Tot_Dwgs,OPDs_Other_dwelling_Tot_Psns,OPDs_Dwlling_structur_NS_Dwgs,OPDs_Dwlling_structur_NS_Psns,OPDs_Tot_OPDs_Dwellings,OPDs_Tot_OPDs_Persons,Unoccupied_PDs_Dwgs,Unoccupied_PDs_Psns,Total_PDs_Dwellings,Total_PDs_Persons
RA10,1131382,3467217,105263,231705,163054,437816,268318,669518,109726,222977,159812,341776,215528,470865,2056,4464,487122,1040078,1837,2841,2627,4174,391,883,7155,17972,12001,25863,8518,18560,1907344,5221239,161744,..,2069087,5221239
RA11,441307,1139110,32184,53704,11623,22286,43804,75993,20681,32680,2356,3823,2423,3966,144,273,25597,40748,2780,4370,3292,5245,464,967,1988,4759,8531,15334,3673,7654,522910,1278839,85698,..,608614,1278839
RA12,146060,355732,4184,6953,1020,1838,5200,8785,5810,9203,268,472,110,178,35,59,6215,9912,909,1537,744,1229,292,583,743,1670,2684,5013,1634,3776,161806,383220,33665,..,195467,383220
RA13,9408,23104,96,131,8,18,97,150,373,518,0,0,16,17,3,7,392,547,75,131,26,60,92,171,62,124,262,474,228,544,10388,24822,2853,..,13241,24822
RA14,1663,4311,19,34,5,4,24,44,29,61,24,37,0,0,0,0,52,96,20,37,6,13,72,132,9,23,106,209,25,34,1865,4690,781,..,2646,4690
RA15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
RA19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,0,0
