RA_CODE_2016,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
RA10,95961,19482,117134,918820,306399,29031,1254253,2949973,336428,4540648
RA11,30029,7979,38424,210751,89837,9661,310251,732951,116021,1159221
RA12,8642,2463,11249,59430,24850,2472,86753,224729,42938,354419
RA13,415,109,533,4076,1426,141,5641,14041,3497,23182
RA14,61,10,72,644,239,20,900,2773,825,4502
RA15,6,0,10,39,37,0,79,226,76,374
RA19,49,28,78,847,475,45,1373,6811,3361,11545
