RA_CODE_2016,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
RA10,36,2167,700,420,1929,0.9,1669,2.7
RA11,43,1586,589,270,1438,0.8,1163,2.4
RA12,46,1250,541,200,1291,0.8,1024,2.4
RA13,40,975,591,140,1393,0.8,1099,2.4
RA14,39,1100,495,90,1157,0.8,969,2.5
RA15,58,0,540,0,0,0,0,0
RA19,39,0,405,0,0,0,0,0
