RA_CODE_2016,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
RA10,1112,2299,7324,10226,18020,34211,44686,40301,23165,181344,300,1388,5056,5361,8209,10630,9785,10260,4950,55934,15504,25896,63135,49359,45171,42192,40605,34259,25950,342068,150506,390944,870315,788819,722955,615084,445643,248728,117003,4349994
RA11,491,659,1771,2379,4554,10339,15033,13287,8408,56920,70,115,318,413,549,664,753,650,312,3844,5859,6745,13397,13840,16437,18001,19066,15551,9369,118267,39013,74180,147546,161244,188180,199394,170154,92297,38393,1110408
RA12,153,221,643,921,1997,4779,6730,5350,2816,23602,16,24,99,88,166,241,360,276,127,1398,2181,2159,4490,4807,6448,7549,7595,5646,2835,43717,11292,19614,41083,45649,58981,67568,55668,29482,11239,340573
RA13,15,34,70,83,175,352,501,359,150,1738,0,4,7,6,18,32,39,31,10,138,194,215,506,478,575,594,519,352,118,3554,796,1550,3654,3363,4021,4033,2924,1595,533,22476
RA14,6,10,19,27,46,100,113,49,26,384,0,0,0,0,0,9,10,3,3,25,40,71,163,112,161,121,95,53,9,824,176,328,731,655,848,806,539,223,70,4380
RA15,0,0,0,0,3,5,13,3,0,27,0,0,0,0,0,0,0,0,0,4,0,0,4,7,8,9,27,9,0,67,11,9,32,34,50,76,108,42,10,373
RA19,10,29,53,41,61,90,94,33,8,419,0,4,8,8,21,12,7,7,0,62,125,302,779,674,631,459,269,90,30,3369,441,1357,2698,1900,1798,1714,1194,282,78,11461
