RA_CODE_2016,P15_19_Managers,P15_19_Professionals,P15_19_TechnicTrades_Wrs,P15_19_CommunPersnlSvc_W,P15_19_ClericalAdminis_W,P15_19_Sales_W,P15_19_Mach_oper_drivers,P15_19_Labourers,P15_19_Occu_ID_NS,P15_19_Tot,P20_24_Managers,P20_24_Professionals,P20_24_TechnicTrades_W,P20_24_CommunPersnlSvc_W,P20_24_ClericalAdminis_W,P20_24_Sales_W,P20_24_Mach_oper_drivers,P20_24_Labourers,P20_24_Occu_ID_NS,P20_24_Tot,P25_34_Managers,P25_34_Professionals,P25_34_TechnicTrades_W,P25_34_CommunPersnlSvc_W,P25_34_ClericalAdminis_W,P25_34_Sales_W,P25_34_Mach_oper_drivers,P25_34_Labourers,P25_34_Occu_ID_NS,P25_34_Tot,P35_44_Managers,P35_44_Professionals,P35_44_TechnicTrades_W,P35_44_CommunPersnlSvc_W,P35_44_ClericalAdminis_W,P35_44_Sales_W,P35_44_Mach_oper_drivers,P35_44_Labourers,P35_44_Occu_ID_NS,P35_44_Tot,P45_54_Managers,P45_54_Professionals,P45_54_TechnicTrades_W,P45_54_CommunPersnlSvc_W,P45_54_ClericalAdminis_W,P45_54_Sales_W,P45_54_Mach_oper_drivers,P45_54_Labourers,P45_54_Occu_ID_NS,P45_54_Tot,P55_64_Managers,P55_64_Professionals,P55_64_TechnicTrades_W,P55_64_CommunPersnlSvc_W,P55_64_ClericalAdminis_W,P55_64_Sales_W,P55_64_Mach_oper_drivers,P55_64_Labourers,P55_64_Occu_ID_NS,P55_64_Tot,P65_74_Managers,P65_74_Professionals,P65_74_TechnicTrades_W,P65_74_CommunPersnlSvc_W,P65_74_ClericalAdminis_W,P65_74_Sales_W,P65_74_Mach_oper_drivers,P65_74_Labourers,P65_74_Occu_ID_NS,P65_74_Tot,P75_84_Managers,P75_84_Professionals,P75_84_TechnicTrades_W,P75_84_CommunPersnlSvc_W,P75_84_ClericalAdminis_W,P75_84_Sales_W,P75_84_Mach_oper_drivers,P75_84_Labourers,P75_84_Occu_ID_NS,P75_84_Tot,P85_ov_Managers,P85_ov_Professionals,P85_ov_TechnicTrades_W,P85_ov_CommunPersnlSvc_W,P85_ov_ClericalAdminis_W,P85_ov_Sales_W,P85_ov_Mach_oper_drivers,P85_ov_Labourers,P85_ov_Occu_ID_NS,P85_ov_Tot,P_Tot_Managers,P_Tot_Professionals,P_Tot_TechnicTrades_W,P_Tot_CommunPersnlSvc_W,P_Tot_ClericalAdminis_W,P_Tot_Sales_W,P_Tot_Mach_oper_drivers,P_Tot_Labourers,P_Tot_Occu_ID_NS,P_Tot_Tot
RA10,1739,4584,14477,21679,7178,39977,3101,20342,2038,115131,12268,40402,37042,44476,32001,42120,10464,24806,5029,248612,73651,202855,83821,63428,84557,50640,29819,41672,12961,643410,101820,177356,69047,48060,86834,37707,32614,34879,10917,599233,89561,129656,61154,46218,87203,35847,37676,41127,9471,537918,50050,86204,39171,28953,61054,24219,29132,32617,5837,357234,11868,23199,7986,5828,15257,6555,6275,7116,1958,86044,1479,2853,704,419,1377,722,447,735,684,9414,230,323,76,48,155,95,46,63,232,1266,342665,667431,313472,259120,375613,237892,149568,203356,49142,2598257
RA11,635,624,5468,6239,1410,13041,861,8126,630,37033,2294,4300,11437,9183,4186,7339,2248,7212,728,48929,9880,20766,20871,13187,11157,8868,6795,11476,1489,104497,16336,24812,18260,13398,15635,8583,8565,11136,1873,118607,20175,25604,18101,15631,20338,10096,11012,14212,2104,137269,16429,22398,13149,11351,15668,8076,9234,11977,1633,109905,6465,5382,2674,1877,3838,2198,2468,2754,761,28412,1598,582,263,141,371,219,203,383,368,4129,260,70,41,27,32,42,16,46,121,646,74066,104543,90262,71027,72637,58451,41400,67317,9715,589423
RA12,246,144,1578,1324,327,2943,264,2275,191,9296,791,981,2845,1879,870,1464,801,2464,210,12305,3410,4596,5010,3098,2602,2043,2295,4211,415,27683,5937,5323,4427,3471,3755,2098,2740,3986,487,32223,8313,5973,4858,4361,5160,2691,3723,5350,669,41091,8995,5395,3874,3459,4261,2301,3379,4832,687,37189,5254,1272,815,556,1076,555,916,1315,321,12093,1652,145,111,38,134,68,77,204,186,2622,279,23,14,10,20,19,13,28,64,470,34880,23868,23530,18195,18205,14179,14213,24659,3234,174964
RA13,29,12,68,66,20,95,22,114,9,432,79,94,166,109,76,65,83,232,16,916,460,438,314,297,234,107,237,312,42,2425,623,326,245,245,225,77,230,268,41,2284,881,291,220,253,260,108,306,330,36,2692,868,201,215,181,197,103,232,296,52,2339,415,46,48,40,68,26,77,89,29,844,163,6,5,0,13,4,10,23,17,239,19,3,7,0,3,0,0,4,3,33,3545,1409,1283,1197,1083,589,1196,1659,245,12204
RA14,3,3,11,8,0,7,0,18,3,56,15,19,14,26,9,0,5,38,3,128,52,57,48,66,37,9,12,57,13,352,111,38,31,51,32,15,27,46,18,377,160,55,32,67,36,12,19,72,12,462,180,40,31,32,36,16,31,61,13,440,101,10,10,7,4,3,7,19,8,167,25,3,3,0,3,0,0,0,3,41,3,0,0,0,0,0,0,0,0,3,657,213,182,265,159,61,109,302,69,2028
RA15,0,0,0,0,0,4,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,9,7,0,3,0,0,3,0,23,5,3,3,4,4,3,0,4,0,27,0,7,4,5,0,5,9,3,0,30,0,3,3,3,0,3,0,6,3,25,0,0,0,3,4,3,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22,18,16,21,17,10,18,5,130
RA19,5,12,10,36,0,13,3,28,4,112,32,53,70,125,29,55,21,123,15,528,77,250,159,129,65,57,104,221,22,1094,63,139,96,47,49,35,88,86,23,630,45,98,76,51,62,30,63,59,18,507,40,63,52,34,41,26,42,54,15,376,11,26,12,4,8,6,8,9,0,89,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,4,274,649,480,430,261,224,339,582,103,3331
