RA_CODE_2016,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
RA10,55161,21128,117134,1069671,1131680,485734,375681,1126578,351318,4540648
RA11,16715,8695,38424,222082,305579,155079,124824,227799,123860,1159221
RA12,4796,2698,11249,61257,86232,46564,42051,72065,46244,354419
RA13,238,127,533,3919,5204,2471,2449,5351,3785,23182
RA14,35,15,72,720,871,449,471,1137,853,4502
RA15,5,0,10,23,36,19,40,163,93,374
RA19,41,26,78,1976,1606,620,412,3500,3428,11545
