RA_CODE_2016,F_ID_NS_0,F_ID_NS_1_15,F_ID_NS_16_24,F_ID_NS_25_34,F_ID_NS_35_39,F_ID_NS_40,F_ID_NS_41_48,F_ID_NS_49over,F_ID_NS_hours_NS,F_ID_NS_Tot,F_Tot_0,F_Tot_1_15,F_Tot_16_24,F_Tot_25_34,F_Tot_35_39,F_Tot_40,F_Tot_41_48,F_Tot_49over,F_Tot_hours_NS,F_Tot_Tot,P_AgriForestFish_0,P_AgriForestFish_1_15,P_AgriForestFish_16_24,P_AgriForestFish_25_34,P_AgriForestFish_35_39,P_AgriForestFish_40,P_AgriForestFish_41_48,P_AgriForestFish_49over,P_AgriForestFish_hours_NS,P_AgriForestFish_Tot,P_Min_0,P_Min_1_15,P_Min_16_24,P_Min_25_34,P_Min_35_39,P_Min_40,P_Min_41_48,P_Min_49over,P_Min_hours_NS,P_Min_Tot,P_Mnfg_0,P_Mnfg_1_15,P_Mnfg_16_24,P_Mnfg_25_34,P_Mnfg_35_39,P_Mnfg_40,P_Mnfg_41_48,P_Mnfg_49over,P_Mnfg_hours_NS,P_Mnfg_Tot,P_EGW_WS_0,P_EGW_WS_1_15,P_EGW_WS_16_24,P_EGW_WS_25_34,P_EGW_WS_35_39,P_EGW_WS_40,P_EGW_WS_41_48,P_EGW_WS_49over,P_EGW_WS_hours_NS,P_EGW_WS_Tot,P_Cnstn_0,P_Cnstn_1_15,P_Cnstn_16_24,P_Cnstn_25_34,P_Cnstn_35_39,P_Cnstn_40,P_Cnstn_41_48,P_Cnstn_49over,P_Cnstn_hours_NS,P_Cnstn_Tot,P_WTrade_0,P_WTrade_1_15,P_WTrade_16_24,P_WTrade_25_34,P_WTrade_35_39,P_WTrade_40,P_WTrade_41_48,P_WTrade_49over,P_WTrade_hours_NS,P_WTrade_Tot,P_RTrade_0,P_RTrade_1_15,P_RTrade_16_24,P_RTrade_25_34,P_RTrade_35_39,P_RTrade_40,P_RTrade_41_48,P_RTrade_49over,P_RTrade_hours_NS,P_RTrade_Tot,P_AccomFoodS_0,P_AccomFoodS_1_15,P_AccomFoodS_16_24,P_AccomFoodS_25_34,P_AccomFoodS_35_39,P_AccomFoodS_40,P_AccomFoodS_41_48,P_AccomFoodS_49over,P_AccomFoodS_hours_NS,P_AccomFoodS_Tot,P_TransPostWhse_0,P_TransPostWhse_1_15,P_TransPostWhse_16_24,P_TransPostWhse_25_34,P_TransPostWhse_35_39,P_TransPostWhse_40,P_TransPostWhse_41_48,P_TransPostWhse_49over,P_TransPostWhse_hours_NS,P_TransPostWhse_Tot,P_InfoMedTelecom_0,P_InfoMedTelecom_1_15,P_InfoMedTelecom_16_24,P_InfoMedTelecom_25_34,P_InfoMedTelecom_35_39,P_InfoMedTelecom_40,P_InfoMedTelecom_41_48,P_InfoMedTelecom_49over,P_InfoMedTelecom_hours_NS,P_InfoMedTelecom_Tot,P_FinInsurS_0,P_FinInsurS_1_15,P_FinInsurS_16_24,P_FinInsurS_25_34,P_FinInsurS_35_39,P_FinInsurS_40,P_FinInsurS_41_48,P_FinInsurS_49over,P_FinInsurS_hours_NS,P_FinInsurS_Tot,P_RentHirREserv_0,P_RentHirREserv_1_15,P_RentHirREserv_16_24,P_RentHirREserv_25_34,P_RentHirREserv_35_39,P_RentHirREserv_40,P_RentHirREserv_41_48,P_RentHirREserv_49over,P_RentHirREserv_hours_NS,P_RentHirREserv_Tot,P_ProScieTechServ_0,P_ProScieTechServ_1_15,P_ProScieTechServ_16_24,P_ProScieTechServ_25_34,P_ProScieTechServ_35_39,P_ProScieTechServ_40,P_ProScieTechServ_41_48,P_ProScieTechServ_49over,P_ProScieTechServ_hours_NS,P_ProScieTechServ_Tot,P_AdminSupServ_0,P_AdminSupServ_1_15,P_AdminSupServ_16_24,P_AdminSupServ_25_34,P_AdminSupServ_35_39,P_AdminSupServ_40,P_AdminSupServ_41_48,P_AdminSupServ_49over,P_AdminSupServ_hours_NS,P_AdminSupServ_Tot,P_PubAdmiSafety_0,P_PubAdmiSafety_1_15,P_PubAdmiSafety_16_24,P_PubAdmiSafety_25_34,P_PubAdmiSafety_35_39,P_PubAdmiSafety_40,P_PubAdmiSafety_41_48,P_PubAdmiSafety_49over,P_PubAdmiSafety_hours_NS,P_PubAdmiSafety_Tot,P_EducTrain_0,P_EducTrain_1_15,P_EducTrain_16_24,P_EducTrain_25_34,P_EducTrain_35_39,P_EducTrain_40,P_EducTrain_41_48,P_EducTrain_49over,P_EducTrain_hours_NS,P_EducTrain_Tot,P_HealthCareSocA_0,P_HealthCareSocA_1_15,P_HealthCareSocA_16_24,P_HealthCareSocA_25_34,P_HealthCareSocA_35_39,P_HealthCareSocA_40,P_HealthCareSocA_41_48,P_HealthCareSocA_49over,P_HealthCareSocA_hours_NS,P_HealthCareSocA_Tot,P_ArtRecServ_0,P_ArtRecServ_1_15,P_ArtRecServ_16_24,P_ArtRecServ_25_34,P_ArtRecServ_35_39,P_ArtRecServ_40,P_ArtRecServ_41_48,P_ArtRecServ_49over,P_ArtRecServ_hours_NS,P_ArtRecServ_Tot
RA10,1597,6423,5748,4799,7914,7403,2060,3020,10152,49123,47544,171450,178904,167875,241769,211759,83159,102921,20951,1226334,277,1186,1142,1291,1706,1873,819,1867,185,10345,596,275,391,434,2456,2655,2330,4201,130,13469,3138,7454,8701,8785,40740,36172,19112,24535,1262,149891,596,498,789,974,5924,6374,2595,3915,187,21846,4483,11193,14210,15807,29791,63090,25026,47758,3037,214386,1780,3912,5154,5297,21256,23907,10583,15097,574,87568,7200,47706,37375,31149,44618,33934,16549,24654,2844,246037,4733,45615,34377,21642,22711,18396,10069,17924,2496,177963,4136,7287,9295,11834,25889,27940,14389,25460,1795,128018,1709,3855,3674,3903,14367,18700,7939,12140,435,66728,5378,4706,8605,10773,33924,44725,17513,28254,1104,154984,1136,3857,3965,3784,8363,12043,5455,9961,393,48967,5765,17159,18520,18246,39007,66660,26713,47745,1556,241369,2492,12814,13720,11123,17560,17682,6625,9414,1122,92549,7009,6137,9262,10672,47815,32260,19257,16505,1280,150191,7374,33775,26198,25471,38101,34778,17137,28500,1838,213169,12582,30635,49866,51638,64845,59035,18667,26546,3091,316898,1355,8913,5033,4955,5984,7115,3056,5157,486,42041
RA11,430,1466,974,1010,973,855,258,499,2263,8725,13086,48614,44085,49762,51899,34996,15867,22043,5113,285466,836,2661,2382,2718,2940,4139,1948,7763,469,25870,659,214,299,451,1524,1825,2748,4994,182,12893,1039,2307,2097,3001,8521,8071,4628,6057,414,36129,269,155,273,489,2497,1938,942,1103,78,7751,1559,3375,3432,4538,8241,14722,6160,12135,772,54931,309,826,759,979,2334,2664,1719,2591,110,12280,2396,13802,8914,9415,11198,6425,4287,6101,752,63298,1647,14895,6862,6886,5464,3868,2324,5167,751,47870,957,1995,2149,2398,3551,3605,2304,6319,365,23633,197,582,450,516,1334,1008,556,792,40,5473,456,642,984,1234,2305,2060,895,1368,69,10014,260,864,763,851,1789,1633,892,1711,67,8821,778,3180,2764,3438,4730,4697,2213,4466,206,26470,690,4215,2773,2852,3189,2745,994,1747,312,19524,2296,1655,2582,3185,14416,8068,5584,4715,377,42883,2200,6684,6534,7947,9663,7903,4452,7630,476,53496,4181,7813,13790,17663,16487,12621,4204,5953,794,83513,324,1821,857,966,1174,925,472,898,108,7534
RA12,163,396,260,257,257,246,87,208,795,2668,3827,13276,11953,14308,13335,9892,4574,8666,1914,81738,997,2373,1983,2605,2392,5029,2436,13111,611,31550,216,77,74,141,316,478,918,2095,96,4405,325,628,625,905,2724,2547,1363,1620,133,10861,82,66,73,121,687,570,223,272,22,2115,470,818,834,1055,1887,2958,1281,2709,226,12242,74,269,248,283,627,794,501,774,29,3603,632,3297,2111,2470,2823,1570,1172,1706,235,16010,415,3458,1692,1792,1260,871,630,1851,226,12197,280,692,706,667,837,973,540,1711,142,6552,40,140,93,99,281,179,108,124,10,1070,141,169,235,300,447,349,161,238,26,2060,52,185,157,198,338,288,147,354,27,1747,218,689,657,787,1096,882,443,923,62,5763,193,1108,756,773,714,598,227,468,77,4914,534,443,585,826,3853,1481,1151,889,135,9890,568,1795,1905,2404,2242,1958,1208,2155,153,14384,1127,1888,3255,4314,3755,3114,948,1541,273,20212,112,337,171,230,364,273,133,319,33,1971
RA13,13,14,22,16,17,17,11,18,60,189,269,678,696,838,820,746,318,957,157,5484,95,195,166,247,249,623,265,2150,91,4076,41,26,15,23,32,83,189,436,13,864,9,15,10,24,48,52,40,56,3,259,9,3,0,0,33,42,3,12,3,103,11,33,29,38,67,102,44,125,16,461,8,7,12,20,23,28,25,50,0,172,21,137,106,133,119,83,52,81,10,745,22,135,97,100,49,62,25,107,14,607,14,36,35,36,43,49,23,77,10,329,0,8,7,11,7,5,5,13,0,63,8,12,11,22,18,14,3,0,4,96,3,4,3,4,11,9,0,16,3,54,4,25,20,38,37,30,16,34,6,213,21,57,32,35,27,31,15,33,10,276,43,42,43,52,316,108,96,64,3,772,53,112,110,193,170,158,77,205,14,1096,68,78,158,191,247,209,46,114,22,1125,3,12,3,12,21,14,8,14,0,85
RA14,3,0,0,4,0,0,0,3,19,33,43,76,94,100,150,130,46,217,40,903,10,16,21,25,39,98,40,378,12,645,0,0,3,0,3,3,13,32,0,63,0,0,0,0,3,0,0,3,0,11,0,0,0,3,9,7,3,3,0,26,0,3,3,0,4,15,7,32,3,74,0,0,0,0,0,3,0,10,0,14,0,9,11,8,11,12,0,20,3,69,18,35,22,17,13,18,13,47,7,181,4,3,4,4,3,7,4,17,4,48,0,0,0,3,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,7,0,0,0,0,3,3,0,0,0,10,0,5,0,3,3,5,4,9,0,28,0,10,13,6,16,7,5,7,0,60,12,5,14,20,73,45,16,24,5,225,4,20,20,42,38,31,12,46,3,224,7,8,14,17,35,55,8,16,3,167,0,0,3,3,14,6,0,0,0,27
RA15,3,0,0,0,3,0,0,0,4,7,24,6,9,6,14,4,3,0,4,72,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,3,0,0,0,0,6,4,3,0,0,0,3,0,0,0,16,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,0,0,0,0,9,8,3,3,4,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,3
RA19,5,4,4,4,8,5,3,3,33,72,65,141,191,183,234,208,91,124,47,1291,3,7,17,30,27,21,13,25,8,143,3,0,0,0,5,4,8,16,0,35,5,11,18,12,53,32,22,18,5,173,0,0,3,6,7,3,0,4,0,30,12,22,42,39,54,109,36,62,17,389,4,5,3,7,16,16,5,12,0,63,12,17,31,31,43,49,16,21,3,223,10,50,81,54,61,47,21,52,11,389,9,13,12,17,27,28,16,44,7,175,0,3,12,4,14,8,4,13,3,62,0,3,5,7,23,28,11,16,0,92,3,0,9,0,6,17,10,5,0,51,10,12,24,22,39,61,20,31,0,222,4,25,21,31,26,21,7,10,0,155,12,9,5,6,35,37,34,52,6,207,11,41,21,24,39,24,8,17,3,185,22,22,39,52,47,52,14,18,4,272,8,14,12,14,22,14,11,13,3,107
