SOS_CODE_2021,P_Y8b_15_19_yrs,P_Y8b_20_24_yrs,P_Y8b_25_34_yrs,P_Y8b_35_44_yrs,P_Y8b_45_54_yrs,P_Y8b_55_64_yrs,P_Y8b_65_74_yrs,P_Y8b_75_84_yrs,P_Y8b_85ov,P_Y8b_Tot,P_DNGTS_15_19,P_DNGTS_20_24,P_DNGTS_25_34,P_DNGTS_35_44,P_DNGTS_45_54,P_DNGTS_55_64,P_DNGTS_65_74,P_DNGTS_75_84,P_DNGTS_85_ov,P_DNGTS_Tot,P_Hghst_yr_schl_ns_15_19_yrs,P_Hghst_yr_schl_ns_20_24_yrs,P_Hghst_yr_schl_ns_25_34_yrs,P_Hghst_yr_schl_ns_35_44_yrs,P_Hghst_yr_schl_ns_45_54_yrs,P_Hghst_yr_schl_ns_55_64_yrs,P_Hghst_yr_schl_ns_65_74_yrs,P_Hghst_yr_schl_ns_75_84_yrs,P_Hghst_yr_schl_ns_85_yrs_ovr,P_Hghst_yr_schl_ns_Tot,P_Tot_15_19_yrs,P_Tot_20_24_yrs,P_Tot_25_34_yrs,P_Tot_35_44_yrs,P_Tot_45_54_yrs,P_Tot_55_64_yrs,P_Tot_65_74_yrs,P_Tot_75_84_yrs,P_Tot_85ov,P_Tot_Tot
SOS10,832,1255,5969,9231,13649,24556,39282,36926,21211,152917,252,1219,6170,6670,8813,12767,12693,10566,6774,65920,13622,20986,54415,44430,33472,30295,29462,28431,23451,278560,136249,379006,885070,843719,727878,639138,491228,283939,122424,4508642
SOS11,660,577,1973,2642,3834,8230,15663,14198,9411,57186,82,167,702,720,830,956,1035,849,499,5836,5691,6513,15002,13311,12308,12373,13981,13552,9067,101793,41824,82828,189117,178770,183898,201166,196647,122421,49961,1246632
SOS12,70,46,146,199,379,953,1717,1318,674,5502,13,12,31,29,50,65,77,84,30,391,600,492,1169,1221,1361,1653,1838,1256,575,10151,3784,6371,14014,15743,19296,23453,21614,10463,3080,117824
SOS13,167,90,472,680,1237,2999,5462,4029,1708,16846,25,35,124,139,168,258,327,300,169,1540,2663,2479,5456,6124,7013,8030,6908,4033,1317,44019,16524,25913,50458,62114,83126,95289,77252,33960,8216,452849
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,12,7,37,52,60,50,73,33,0,318,0,3,9,15,7,14,10,5,4,75,176,272,752,787,651,467,208,66,18,3408,409,824,2186,1856,1677,1649,1055,277,49,9981
