SOS_CODE_2021,P_85ov_DNPCC,P_85ov_UCC_NS,P_85ov_Total,P_Tot_CF_Own_CCO,P_Tot_CF_Oth_CCO,P_Tot_CF_Own_CC_Oth_CC,P_Tot_CF_Total,P_Tot_DNPCC,P_Tot_UCC_NS,P_Tot_Total
SOS10,101315,20449,122562,990475,185241,15145,1190858,3236460,274596,4701906
SOS11,42448,7198,49987,233514,83087,10538,327141,872517,95114,1294773
SOS12,2581,474,3080,21443,7843,929,30217,82619,9582,122413
SOS13,7016,1088,8221,84764,32353,3236,120360,309035,43557,472950
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,33,16,49,818,332,37,1191,5556,3362,10112
