SOS_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,420089,283755,141971,57737,3080542
SOS11,126286,109069,58318,21827,770074
SOS12,15094,12652,5000,1270,74458
SOS13,64023,47124,17711,3611,299166
SOS17,0,0,0,0,0
SOS19,1165,680,173,28,7237
