SOS_CODE_2021,P_85y_ov_DNUDW,P_85y_ov_UDW_NS,P_85y_ov_Total,P_Tot_DUDW_LT_5_h,P_Tot_DUDW_5_14_h,P_Tot_DUDW_15_29_h,P_Tot_DUDW_30_h_mo,P_Tot_DNUDW,P_Tot_UDW_NS,P_Tot_Total
SOS10,57643,20795,122562,902366,1236911,555132,397517,1327989,281989,4701906
SOS11,24909,7335,49987,233990,349014,167079,119305,327989,97393,1294773
SOS12,1352,498,3080,21342,33295,17820,13442,26746,9779,122413
SOS13,3337,1114,8221,85047,127993,70757,57770,86886,44501,472950
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,23,19,49,1561,1512,614,402,2643,3376,10112
