SOS_CODE_2021,Num_MVs_per_dweling_0_MVs,Num_MVs_per_dweling_1_MVs,Num_MVs_per_dweling_2_MVs,Num_MVs_per_dweling_3_MVs,Num_MVs_per_dweling_4mo_MVs,Num_MVs_per_dweling_Tot,Num_MVs_NS,Total_dwelings
SOS10,220301,804720,669902,203220,111437,2009581,28571,2038151
SOS11,37188,235334,223533,70540,36517,603108,10712,613818
SOS12,1886,17831,21789,8055,5134,54700,1138,55835
SOS13,2659,38872,74032,39496,34293,189350,3313,192660
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
