SOS_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
SOS10,392234,774905,286678,260805,364504,210177,149265,185548,50595,2674698
SOS11,73736,122010,101314,95818,77479,61674,48670,79159,11821,671681
SOS12,7730,10755,10084,8350,7323,5020,4870,7297,1253,62678
SOS13,62882,43960,38237,25472,31073,17847,19128,28537,5451,272591
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,234,500,279,334,236,171,253,419,77,2511
