SOS_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
SOS10,643871,49933,18228,6484,726,297,2413,721949
SOS11,122199,17754,8198,1501,328,137,1436,151543
SOS12,12384,1670,717,164,27,11,180,15152
SOS13,56049,5933,2502,731,120,48,560,65939
SOS17,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0
