SOS_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
SOS10,..,485947,485947,576615,57818,634437,330156,17688,347844,339356,7259,346610,141420,2583,144000,77907,1408,79315,1465455,572698,2038151
SOS11,..,184430,184430,205807,15118,220923,81397,2629,84028,73613,850,74458,33320,318,33635,16169,170,16340,410301,203517,613818
SOS12,..,14822,14822,20127,1281,21409,7386,119,7510,6923,43,6969,3380,13,3392,1725,12,1733,39544,16295,55835
SOS13,..,38519,38519,71007,3637,74646,26508,435,26944,27224,162,27382,15399,56,15455,9678,41,9712,149805,42853,192660
SOS17,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
