SOS_CODE_2021,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SOS10,1051917,703460,886113,844555,728772,640078,492032,284326,122562,5753827
SOS11,289109,172175,189220,178869,184025,201269,196736,122487,49987,1583879
SOS12,26393,14708,14020,15750,19306,23458,21622,10458,3080,148805
SOS13,101325,62369,50478,62140,83164,95316,77284,33967,8221,574269
SOS17,0,0,0,0,0,0,0,0,0,0
SOS19,1260,1357,2187,1859,1678,1648,1055,277,49,11371
