SOS_CODE_2021,P_Oth_scs_15_19,P_Oth_scs_20_24,P_Oth_scs_25_34,P_Oth_scs_35_44,P_Oth_scs_45_54,P_Oth_scs_55_64,P_Oth_scs_65_74,P_Oth_scs_75_84,P_Oth_scs_85ov,P_Oth_scs_Tot,P_ID_NS_15_19,P_ID_NS_20_24,P_ID_NS_25_34,P_ID_NS_35_44,P_ID_NS_45_54,P_ID_NS_55_64,P_ID_NS_65_74,P_ID_NS_75_84,P_ID_NS_85ov,P_ID_NS_Tot,P_Tot_15_19,P_Tot_20_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
SOS10,3560,8205,20392,18791,17537,13029,3724,525,26,85789,3873,11957,34319,30952,23999,16283,4753,1063,244,127438,113196,248737,651915,635529,534916,375240,101583,12535,1043,2674698
SOS11,1667,2858,6410,5286,5063,4095,1346,217,25,26963,1749,2571,5723,5205,4985,4082,1461,500,137,26414,44433,58283,141430,135847,136267,116899,33727,4367,425,671681
SOS12,158,266,472,469,573,453,166,8,0,2564,197,203,462,508,589,529,221,42,15,2767,3955,4511,10222,12044,14285,13237,3861,508,48,62678
SOS13,853,946,1644,1785,2223,1891,573,70,3,9992,912,893,1620,1951,2650,2351,1064,478,81,11997,17786,18723,36665,47243,63617,59369,23286,5252,658,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,5,8,19,21,11,13,0,0,0,68,10,13,47,34,29,22,8,0,0,166,123,245,809,492,412,338,86,6,0,2511
