SOS_CODE_2021,P_OthServ_0,P_OthServ_1_19,P_OthServ_20_29,P_OthServ_30_34,P_OthServ_35_39,P_OthServ_40_44,P_OthServ_45_49,P_OthServ_50_over,P_OthServ_hours_NS,P_OthServ_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_29,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS10,17970,13141,8738,4601,15588,14514,3703,6609,921,85789,10446,13708,11158,6097,24201,25194,4776,10258,21600,127438,273285,351702,279481,165032,556348,580867,139749,283568,44661,2674698
SOS11,1540,4109,3170,2016,5766,5499,1550,3014,298,26963,1400,3279,2137,1482,4713,4540,1078,2510,5276,26414,37794,101862,80943,55997,141266,125277,38391,78106,12042,671681
SOS12,172,372,281,197,475,553,161,300,46,2564,171,385,228,169,453,465,96,280,517,2767,3889,10016,7889,5216,11711,11570,3258,7847,1277,62678
SOS13,815,1548,1098,678,1704,1970,546,1489,139,9992,833,1620,1076,676,1554,1948,408,1543,2348,11997,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,4,7,14,5,12,11,0,15,3,68,14,29,16,8,19,17,9,11,47,166,284,414,316,184,406,405,111,314,87,2511
