SOS_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
SOS10,93165,182420,137906,941211,10681,1365379,1619,7200,3720,96447,1328,110312,518146,9086,15936,14176,3300,560648,28757,4610,2724,10522,310,46922,25165,8645,5331,16964,235,56355,349064,145361,104997,843731,11684,1454836,118286,3710,11107,2687,501,136287,21835,3212,2544,9261,160,37009,49623,13178,9655,71466,962,144886,70078,13443,7159,39155,720,130543,12596,2648,1408,4335,102,21088,233497,4239,3346,2365,501,243945,88778,36009,24717,307124,2428,459060,111259,29126,13631,84721,1354,240092,66612,723,2164,655,278,70440,105538,24547,10966,28693,748,170496,28696,3714,2157,7004,248,41815,24751,7722,4206,22297,336,59312,21137,4698,2885,2482,260,31461,20491,8175,5815,4249,210,38938,28606,4592,3687,9939,225,47048,22360,1954,2163,3975,182,30633,25114,3646,1489,1026,315,31582,76459,34491,25025,236499,1819,374293,25210,2597,1737,3324,171,33043,24765,3825,2823,1240,115,32762,34801,2346,2108,4352,261,43873,16612,1110,861,776,58,19415,111941,2177,3759,2184,683,120745,12348,3620,2431,12487,98,30988,901438,66052,53585,72469,6039,1099584,47657,3329,2491,15964,267239,336682,2851317,377972,275402,1944052,305091,5753827
SOS11,7570,48781,35368,542749,7181,641650,276,3276,1641,107057,1733,113980,9981,641,935,3280,127,14964,2323,630,259,1576,67,4855,8379,3026,1958,6914,121,20394,74282,45858,32591,493237,7834,653801,10146,382,2189,641,109,13468,2968,661,509,3746,52,7931,11760,4363,3009,46461,549,66146,2637,924,402,3243,59,7262,1848,509,235,1048,27,3672,12530,618,419,693,62,14327,15700,10013,6567,155355,1601,189242,10823,4611,1672,21661,276,39038,1281,76,141,60,10,1563,1255,550,214,1474,27,3517,652,175,70,352,5,1257,2911,1168,676,4103,58,8921,3040,1201,697,1202,48,6183,3671,2353,1566,1699,82,9378,4028,1020,625,3126,72,8865,1644,345,305,967,43,3299,1229,412,146,160,24,1972,19359,11837,8360,125390,1187,166134,1136,231,90,407,18,1880,3095,656,505,384,21,4660,2661,362,256,1357,32,4673,889,146,138,148,7,1324,2170,99,229,60,16,2574,3022,1180,655,4693,64,9613,59361,10509,7857,20406,884,99015,3035,667,488,11974,94201,110363,230315,90328,63418,1087834,111991,1583879
SOS12,620,4779,3425,52655,601,62073,19,314,165,9983,197,10677,515,72,75,318,8,994,192,51,41,140,3,430,879,370,220,587,19,2069,7760,4395,3287,46511,768,62715,541,34,166,69,12,821,304,67,65,330,0,772,1239,491,294,4283,72,6385,276,108,37,324,7,750,193,71,30,84,3,382,386,56,31,57,0,528,1628,933,657,14321,149,17690,965,441,209,1927,13,3563,57,3,23,8,7,93,125,65,28,126,0,344,59,13,5,36,0,115,397,166,82,465,3,1113,227,111,71,79,4,486,358,220,149,179,6,917,400,99,65,263,0,832,175,39,29,103,6,349,49,18,4,0,0,78,1996,1174,803,12206,149,16319,104,15,10,31,0,163,271,44,42,37,0,399,196,26,29,154,0,409,42,20,10,17,0,93,89,0,19,7,0,113,339,85,71,450,9,949,3453,911,753,1938,72,7137,174,49,49,1163,9379,10806,18778,8805,6248,103953,11024,148805
SOS13,2740,16855,13249,200518,2201,235560,60,702,462,22422,315,23964,3157,200,311,1059,41,4774,1245,291,166,776,28,2506,3685,1224,868,2315,58,8151,27445,15638,11953,173445,2449,230922,1434,93,439,143,27,2138,1096,247,187,1284,19,2831,5334,1638,1370,16242,234,24815,1175,404,169,1219,26,2991,690,192,94,288,6,1275,1631,201,151,209,14,2214,5950,3630,2487,55879,589,68524,6401,2189,818,9373,124,18909,304,13,41,26,0,380,2012,529,246,1061,15,3862,308,65,28,155,5,562,4002,950,561,3987,51,9558,738,299,209,266,10,1520,1383,719,624,541,25,3299,1413,375,231,914,34,2964,661,132,113,319,11,1237,224,82,51,41,8,405,6837,4036,3119,48392,466,62850,594,101,60,189,9,951,1165,227,159,129,6,1693,766,114,76,459,13,1428,160,49,38,37,0,286,413,21,70,28,4,546,1038,352,228,1640,12,3268,14718,3432,2891,6745,279,28063,757,223,182,4127,44323,49616,79248,32173,24056,388982,49811,574269
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,84,252,196,2300,52,2888,3,23,14,608,19,666,227,5,10,18,5,262,15,11,0,12,0,39,75,10,8,26,4,121,551,245,174,1690,53,2715,60,3,20,0,0,83,64,7,0,12,0,90,90,24,16,177,0,314,38,13,3,21,5,79,21,4,4,5,0,27,78,3,0,0,0,92,145,56,27,583,8,821,89,34,9,97,3,231,22,0,0,0,0,22,50,10,6,6,0,73,12,3,0,9,0,20,7,8,6,19,4,39,40,6,5,7,0,58,37,3,18,12,0,67,33,4,0,17,0,47,14,4,3,10,0,36,25,0,3,4,0,30,136,70,52,480,9,752,15,0,0,0,0,16,24,3,0,5,0,40,34,3,0,9,0,44,8,0,0,0,0,11,50,0,0,0,0,61,21,10,4,22,0,60,660,74,47,134,18,933,44,5,4,47,3748,3846,2238,520,360,4349,3900,11371
