SOS_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
SOS10,26082,26560,22951,16948,72800,106417,32432,84786,3252,392234,34063,72349,65843,47858,174036,221449,48781,104346,6169,774905,49560,30777,24052,13809,57483,68020,14194,23774,5008,286678,49185,54177,41463,24197,41580,26134,8896,11063,4108,260805,25309,48297,46176,26073,104448,74475,14580,21971,3176,364504,35512,53328,30378,13212,32164,26678,5958,10274,2677,210177,16414,17693,16710,9087,34782,27496,8475,15588,3009,149265,32201,43945,28085,11949,30515,22097,4937,8127,3697,185548,4952,4582,3823,1903,8542,8103,1484,3640,13570,50595,273285,351702,279481,165032,556348,580867,139749,283568,44661,2674698
SOS11,3108,4519,4754,3867,14367,17450,6753,18283,644,73736,6361,12714,13916,10966,26385,27023,8238,15548,862,122010,4804,7957,7134,5669,24155,27698,7766,14584,1541,101314,7361,20338,17822,12890,17836,9879,3352,4824,1507,95818,3785,11002,11650,7995,22467,12864,3000,4095,623,77479,3881,19304,10488,5299,10478,6519,1893,2948,857,61674,2577,4085,3701,2345,9423,9993,4015,11610,920,48670,5079,20744,10687,6437,14174,12199,2981,5215,1637,79159,840,1190,794,539,1963,1647,396,1003,3449,11821,37794,101862,80943,55997,141266,125277,38391,78106,12042,671681
SOS12,347,521,565,411,1288,1782,616,2101,98,7730,590,1286,1359,1040,2094,2308,595,1384,99,10755,573,890,797,649,2135,2743,685,1421,190,10084,713,1965,1646,1028,1393,805,273,409,121,8350,398,1289,1284,783,1794,1100,241,365,65,7323,335,1602,845,445,797,533,152,254,60,5020,296,412,353,225,874,1006,377,1225,111,4870,540,1917,967,574,1156,1116,293,577,166,7297,95,132,82,59,188,178,34,108,368,1253,3889,10016,7889,5216,11711,11570,3258,7847,1277,62678
SOS13,2147,4474,4607,3526,6387,12220,4322,24049,1146,62882,2456,5688,5798,4174,7200,9029,2670,6538,408,43960,2466,3596,2918,2225,7180,10003,2588,6602,662,38237,2505,5888,4679,2986,3960,2753,801,1413,489,25472,1719,5786,5524,3112,6902,4785,1007,1886,360,31073,1393,5587,2829,1389,2442,2019,532,1325,325,17847,1230,1693,1462,881,2774,3844,1469,5288,489,19128,1973,6892,3577,2128,4095,4639,1255,3282,695,28537,469,554,389,228,609,755,182,619,1639,5451,16360,40158,31788,20651,41549,50043,14830,51005,6212,272591
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,21,17,14,15,45,61,19,42,3,234,55,64,56,33,83,106,19,78,3,500,40,31,24,22,47,57,10,39,13,279,53,74,62,29,38,40,5,31,5,334,19,41,30,15,61,41,9,18,3,236,29,45,26,19,25,9,3,10,4,171,30,20,25,23,38,35,19,62,3,253,37,97,75,31,64,52,23,34,16,419,9,13,0,0,7,4,0,7,29,77,284,414,316,184,406,405,111,314,87,2511
