SOS_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
SOS10,10021,3221,22028,11697,10751,7111,4575,6806,935,77142,171,219,203,230,281,204,188,346,51,1894,5188,7445,2639,2865,4536,1991,2307,1837,972,29784,4411,5325,5012,3819,4975,2819,3305,3811,9011,42488,327245,724597,220739,187452,257067,107847,71275,81790,34387,2012400
SOS11,3250,814,9481,5614,3088,2758,1635,3465,318,30421,36,48,51,103,65,91,36,153,9,595,825,992,775,783,662,328,616,694,226,5897,1215,1036,2066,1694,1278,1121,1393,2178,2049,14033,54234,114192,77687,68258,51201,24472,22311,30547,6806,449708
SOS12,298,71,749,457,270,231,135,280,27,2521,0,9,3,6,0,3,3,4,0,33,80,99,86,62,73,36,58,61,24,579,122,99,230,161,120,102,159,221,198,1413,5710,10087,7854,5929,4939,2059,2226,2949,738,42491
SOS13,1344,244,2292,1313,1180,653,484,986,141,8633,16,21,13,18,9,13,9,29,3,135,592,402,263,250,280,85,234,212,100,2420,1289,430,823,502,530,429,598,842,831,6270,41938,40976,28939,17710,20624,7538,9083,12304,3269,182372
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,11,3,33,9,9,8,3,25,0,108,0,0,0,0,0,0,0,0,0,3,8,10,5,5,0,0,9,3,0,31,4,10,6,3,10,3,8,19,19,84,186,453,205,217,159,95,124,224,44,1714
