SOS_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SOS10,419042,67230,86472,2464,424,575632,470221,80503,120849,1005,643,673217,161208,69466,289003,4081,1549,525308,24883,22347,27060,26,127,74441,3565,5208,9587,56,109,18521,41378,12759,34858,1042,508,90537,7769,2549,5099,632,262,16310,1279,589,1566,45,24,3500,240077,112923,367164,5872,2585,728624,12492,7940,13002,234,163,33834,13630,4116,8476,231,392,26845,1155458,272714,595962,9812,4205,2038151
SOS11,198761,15812,5718,3027,524,223853,174316,7419,2573,358,207,184871,73363,24206,15116,691,247,113612,11861,3661,2077,24,30,17655,4057,2977,1566,22,47,8666,25473,4183,2552,330,175,32708,4660,878,595,1064,213,7407,731,400,207,26,15,1379,120142,36312,22102,2144,720,181423,6875,4063,1305,183,200,12616,7698,1724,856,450,334,11058,507797,65322,32546,6166,1980,613818
SOS12,23346,323,138,625,74,24508,19132,205,80,60,39,19527,3810,421,250,28,14,4518,360,73,30,0,3,464,305,99,59,5,9,467,2941,119,119,60,27,3260,531,41,38,142,22,777,83,11,11,5,5,116,8023,756,501,235,80,9605,795,66,69,30,19,976,1045,37,23,71,39,1223,52345,1386,826,1025,254,55835
SOS13,88102,440,199,1245,560,90545,64348,296,113,263,172,65193,9025,187,104,38,71,9423,148,9,9,0,10,172,362,17,8,0,4,400,10874,79,123,193,134,11400,2879,36,26,263,116,3326,188,3,0,15,6,216,23484,327,264,524,342,24935,7982,65,102,197,159,8507,3225,21,22,136,85,3491,187132,1151,692,2365,1315,192660
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
