SOS_CODE_2021,I_4000more_1AW_OthNW,I_4000more_BNW,I_4000more_LFsta_NS,I_4000more_Tot,Part_inc_stated_BE_WFT,Part_inc_stated_BE_WPT,Part_inc_stated_BE_BAW,Part_inc_stated_1EFT_OthPT,Part_inc_stated_1EFT_OthAW,Part_inc_stated_1EFT_OthNW,Part_inc_stated_1EPT_OthAW,Part_inc_stated_1EPT_OthNW,Part_inc_stated_1AW_OthNW,Part_inc_stated_BNW,Part_inc_stated_LFsta_NS,Part_inc_stated_Tot,All_inc_NS_BE_WFT,All_inc_NS_BE_WPT,All_inc_NS_BE_BAW,All_inc_NS_1EFT_OthPT,All_inc_NS_1EFT_OthAW,All_inc_NS_1EFT_OthNW,All_inc_NS_1EPT_OthAW,All_inc_NS_1EPT_OthNW,All_inc_NS_1AW_OthNW,All_inc_NS_BNW,All_inc_NS_LFsta_NS,All_inc_NS_Tot,Tot_BE_WFT,Tot_BE_WPT,Tot_BE_BAW,Tot_1EFT_OthPT,Tot_1EFT_OthAW,Tot_1EFT_OthNW,Tot_1EPT_OthAW,Tot_1EPT_OthNW,Tot_1AW_OthNW,Tot_BNW,Tot_LFsta_NS,Tot_Tot
SOS10,461,4819,119,79682,366,97,220,203,240,378,140,273,261,1373,13542,17089,264,72,257,138,106,133,49,138,152,2496,3065,6862,116457,23173,6877,58528,18900,51793,9448,36301,11616,184072,19081,536256
SOS11,97,1010,28,10161,100,35,45,100,63,157,37,132,43,642,5892,7252,123,58,110,79,44,64,15,53,37,1592,1253,3432,28695,8266,1327,22045,2917,13602,1839,13528,2458,79006,8381,182059
SOS12,15,97,0,1040,6,4,3,8,5,29,5,16,14,69,617,777,11,10,11,13,5,11,0,7,6,179,136,389,2483,926,149,2178,328,1507,218,1546,357,8167,895,18748
SOS13,71,560,17,6511,94,41,25,69,33,86,19,74,42,214,2497,3188,173,45,66,81,20,63,12,34,38,489,452,1462,13431,4574,874,10315,1292,6318,947,5930,1269,24134,3416,72516
SOS17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOS19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
