SOS_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
SOS10,37,2383,869,455,2343,0.9,2027,2.7
SOS11,42,1600,702,320,1749,0.7,1347,2.4
SOS12,47,1563,676,300,1714,0.8,1359,2.4
SOS13,46,1900,753,300,1996,0.8,1704,2.7
SOS17,56,0,1649,0,0,0,0,0
SOS19,39,0,487,0,0,0,0,0
