SUA_CODE_2021,Aust_BP_B_OS,Aust_FO_B_OS,Aust_MO_B_OS,Aust_Both_parents_born_Aust,Aust_Birthplace_not_stated,Aust_Tot_resp,Aust_Abor_BP_B_OS,Aust_Abor_FO_B_OS,Aust_Abor_MO_B_OS,Aust_Abor_BP_B_Aus,Aust_Abor_BP_NS,Aust_Abor_Tot_resp,Chinese_BP_B_OS,Chinese_FO_B_OS,Chinese_MO_B_OS,Chinese_BP_B_Aus,Chinese_BP_NS,Chinese_Tot_resp,Croatian_BP_B_OS,Croatian_FO_B_OS,Croatian_MO_B_OS,Croatian_BP_B_Aus,Croatian_BP_NS,Croatian_Tot_resp,Dutch_BP_B_OS,Dutch_FO_B_OS,Dutch_MO_B_OS,Dutch_BP_B_Aus,Dutch_BP_NS,Dutch_Tot_resp,English_BP_B_OS,English_FO_B_OS,English_MO_B_OS,English_BP_B_Aus,English_BP_NS,English_Tot_resp,Filipino_BP_B_OS,Filipino_FO_B_OS,Filipino_MO_B_OS,Filipino_BP_B_Aus,Filipino_BP_NS,Filipino_Tot_resp,French_BP_B_OS,French_FO_B_OS,French_MO_B_OS,French_BP_B_Aus,French_BP_NS,French_Tot_resp,German_BP_B_OS,German_FO_B_OS,German_MO_B_OS,German_BP_B_Aus,German_BP_NS,German_Tot_resp,Greek_BP_B_OS,Greek_FO_B_OS,Greek_MO_B_OS,Greek_BP_B_Aus,Greek_BP_NS,Greek_Tot_resp,Hungarian_BP_B_OS,Hungarian_FO_B_OS,Hungarian_MO_B_OS,Hungarian_BP_B_Aus,Hungarian_BP_NS,Hungarian_Tot_resp,Indian_BP_B_OS,Indian_FO_B_OS,Indian_MO_B_OS,Indian_BP_B_Aus,Indian_BP_NS,Indian_Tot_resp,Irish_BP_B_OS,Irish_FO_B_OS,Irish_MO_B_OS,Irish_BP_B_Aus,Irish_BP_NS,Irish_Tot_resp,Italian_BP_B_OS,Italian_FO_B_OS,Italian_MO_B_OS,Italian_BP_B_Aus,Italian_BP_NS,Italian_Tot_resp,Korean_BP_B_OS,Korean_FO_B_OS,Korean_MO_B_OS,Korean_BP_B_Aus,Korean_BP_NS,Korean_Tot_resp,Lebanese_BP_B_OS,Lebanese_FO_B_OS,Lebanese_MO_B_OS,Lebanese_BP_B_Aus,Lebanese_BP_NS,Lebanese_Tot_resp,Macedonian_BP_B_OS,Macdonian_FO_B_OS,Macdonian_MO_B_OS,Macdonian_BP_B_Aus,Macdonian_BP_NS,Macedonian_Tot_resp,Maltese_BP_B_OS,Maltese_FO_B_OS,Maltese_MO_B_OS,Maltese_BP_B_Aus,Maltese_BP_NS,Maltese_Tot_resp,Maori_BP_B_OS,Maori_FO_B_OS,Maori_MO_B_OS,Maori_BP_B_Aus,Maori_BP_NS,Maori_Tot_resp,NZ_BP_B_OS,NZ_FO_B_OS,NZ_MO_B_OS,NZ_BP_B_Aus,NZ_BP_NS,NZ_Tot_resp,Polish_BP_B_OS,Polish_FO_B_OS,Polish_MO_B_OS,Polish_BP_B_Aus,Polish_BP_NS,Polish_Tot_resp,Russian_BP_B_OS,Russian_FO_B_OS,Russian_MO_B_OS,Russian_BP_B_Aus,Russian_BP_NS,Russian_Tot_resp,Samoan_BP_B_OS,Samoan_FO_B_OS,Samoan_MO_B_OS,Samoan_BP_B_Aus,Samoan_BP_NS,Samoan_Tot_resp,Scottish_BP_B_OS,Scottish_FO_B_OS,Scottish_MO_B_OS,Scottish_BP_B_Aus,Scottish_BP_NS,Scottish_Tot_resp,Serbian_BP_B_OS,Serbian_FO_B_OS,Serbian_MO_B_OS,Serbian_BP_B_Aus,Serbian_BP_NS,Serbian_Tot_resp,Sth_African_BP_B_OS,Sth_African_FO_B_OS,Sth_African_MO_B_OS,Sth_Afrcan_BP_B_Aus,Sth_African_BP_NS,Sth_African_Tot_resp,Spanish_BP_B_OS,Spanish_FO_B_OS,Spanish_MO_B_OS,Spanish_BP_B_Aus,Spanish_BP_NS,Spanish_Tot_resp,Sri_Lankan_BP_B_OS,Sri_Lankan_FO_B_OS,Sri_Lankan_MO_B_OS,Sri_Lankan_BP_B_Aus,Sri_Lankan_BP_NS,Sri_Lankan_Tot_resp,Vietnamese_BP_B_OS,Vietnamese_FO_B_OS,Vietnamese_MO_B_OS,Vietnamese_BP_B_Aus,Vietnamese_BP_NS,Vietnamese_Tot_resp,Welsh_BP_B_OS,Welsh_FO_B_OS,Welsh_MO_B_OS,Welsh_BP_B_Aus,Welsh_BP_NS,Welsh_Tot_resp,Other_BP_B_OS,Other_FO_B_OS,Other_MO_B_OS,Other_BP_B_Aus,Other_BP_NS,Other_Tot_resp,Ancestry_NS_BP_B_OS,Ancestry_NS_FO_B_OS,Ancestry_NS_MO_B_OS,Ancestry_NS_BP_B_Aus,Ancestry_NS_BP_NS,Ancestry_NS_Tot_resp,Tot_P_BP_B_OS,Tot_P_FO_B_OS,Tot_P_MO_B_OS,Tot_P_BP_B_Aus,Tot_P_BP_NS,Tot_P_Tot_resp
1010,2169,15365,11132,106718,1343,136723,79,802,481,14653,177,16194,3690,240,354,794,36,5111,669,204,110,453,12,1449,2166,743,468,1652,27,5053,25666,13602,9732,95670,1596,146271,2702,171,616,160,22,3663,963,199,194,913,7,2274,2829,927,644,6816,81,11298,1096,331,161,1019,17,2625,553,149,68,256,10,1045,2859,183,117,199,7,3368,5916,2957,1891,30265,310,41337,3079,1271,523,4697,54,9630,997,14,65,25,3,1095,489,191,82,406,9,1177,110,24,15,48,0,197,1497,495,272,1603,30,3890,1231,541,224,373,19,2390,1329,867,577,550,9,3330,1128,272,191,597,16,2204,893,105,137,281,15,1426,258,200,32,28,0,525,6187,3181,2197,24270,205,36046,376,76,31,125,4,603,1242,225,214,102,9,1795,1165,99,118,375,6,1762,221,65,34,56,0,376,465,29,87,17,4,598,1029,325,226,1101,12,2682,14273,3399,2553,4873,200,25294,801,188,134,1984,16145,19249,69796,27016,19191,207703,19468,343180
1011,441,2561,1847,22728,281,27863,12,166,71,3910,48,4194,536,59,50,157,4,812,70,28,8,62,0,174,452,180,115,373,0,1119,4401,2448,1648,22097,310,30909,383,12,94,34,6,532,194,32,28,212,3,478,652,230,157,2049,21,3109,106,46,14,124,4,289,110,25,10,46,0,188,1020,63,104,77,12,1277,904,526,324,7113,72,8939,464,200,66,902,8,1639,68,5,8,3,0,82,30,18,8,55,0,115,11,4,0,8,0,21,104,46,34,157,0,345,153,59,32,44,0,294,216,128,94,84,4,526,187,47,43,124,4,404,75,18,10,38,3,153,26,5,7,6,0,46,1028,586,409,6011,50,8083,32,3,4,14,0,47,227,27,26,26,0,307,130,18,14,59,0,222,33,12,0,10,0,49,90,6,12,5,0,104,159,49,34,211,5,456,5008,578,537,1075,69,7266,227,24,28,501,3918,4700,14309,4746,3388,47104,4649,74195
1012,195,831,578,14365,106,16081,9,146,43,5980,80,6257,308,14,20,116,0,465,15,5,7,11,0,36,125,53,46,175,0,398,818,721,534,12346,146,14559,353,4,56,23,0,435,36,11,9,90,0,142,121,49,38,1016,8,1237,46,15,12,88,0,160,20,10,0,9,0,37,675,15,8,13,0,717,184,182,104,3848,25,4335,81,61,25,421,0,586,55,0,4,0,0,62,42,14,13,39,0,104,6,0,0,0,0,9,10,15,6,78,0,111,81,15,12,23,0,123,43,40,31,38,0,150,50,17,20,71,0,161,25,3,15,15,0,61,8,0,0,0,0,13,221,186,129,2770,12,3319,9,0,0,0,0,8,67,12,11,8,0,98,23,4,4,28,0,61,87,3,10,3,0,105,51,3,6,0,0,56,22,15,6,72,0,119,2392,150,126,420,15,3111,118,16,15,233,3153,3528,5399,1506,1074,29125,3480,40578
1013,98,698,427,7271,275,8762,4,38,23,1094,35,1190,91,5,4,49,0,146,41,9,0,15,0,63,126,40,11,41,3,219,1154,668,439,7041,189,9486,117,0,23,6,0,145,32,17,11,54,3,116,148,39,31,505,11,731,20,11,0,25,0,61,30,4,0,17,0,48,65,9,6,7,0,77,195,120,70,2025,34,2442,129,57,13,225,5,433,19,0,4,0,0,22,18,7,0,19,0,47,6,0,0,0,0,8,55,24,7,40,4,130,22,18,11,7,3,62,46,17,14,27,5,100,70,11,0,24,0,100,20,4,0,8,0,35,3,0,0,0,0,3,297,176,113,1596,32,2214,11,0,0,0,3,17,35,3,3,0,0,45,33,3,0,16,0,56,5,0,0,0,4,7,21,0,0,0,0,21,37,17,6,40,5,105,532,121,63,224,19,959,24,6,3,153,1015,1206,2858,1242,754,14686,1536,21087
1014,92,650,475,8813,130,10163,4,23,31,1058,5,1122,232,6,14,66,4,323,27,9,3,18,3,55,77,24,22,93,0,222,871,611,450,8043,133,10102,193,6,30,10,0,239,44,11,5,53,0,110,111,64,39,583,15,803,67,29,10,54,4,165,21,13,3,17,0,57,227,6,7,3,0,242,207,166,78,2734,29,3212,104,45,14,195,0,355,51,0,6,0,0,53,25,10,0,23,5,62,11,3,0,0,0,15,25,13,4,74,0,128,47,12,4,5,0,79,47,20,24,23,0,117,45,22,0,37,0,112,19,0,4,20,0,39,17,8,0,0,0,25,237,173,124,1888,11,2426,20,3,5,0,0,27,22,4,10,10,0,49,41,0,11,24,0,73,7,0,0,4,0,16,22,9,0,0,0,29,28,18,9,80,0,136,1027,137,95,214,16,1495,56,10,4,191,1757,2024,3291,1214,842,17155,2067,24565
1015,54,407,314,7787,180,8746,3,31,19,1808,35,1893,70,14,9,23,0,110,3,0,0,13,0,22,75,22,23,61,0,183,440,412,311,6523,170,7852,82,6,38,0,3,129,20,0,3,38,0,57,75,43,23,676,4,825,9,6,0,28,6,43,4,0,4,4,0,17,79,3,4,16,0,104,93,76,54,1860,22,2105,37,25,3,214,0,284,3,0,0,0,0,3,4,0,3,8,0,15,0,0,0,0,0,0,11,3,3,33,0,48,19,19,9,17,0,60,22,27,18,20,4,86,17,10,8,21,0,61,6,0,0,8,0,24,10,0,0,0,0,15,133,126,70,1551,17,1897,3,0,0,3,0,3,20,0,0,6,0,28,15,0,0,3,0,19,4,0,4,3,0,15,15,0,3,0,0,27,13,5,5,23,0,49,287,71,41,235,19,651,21,15,7,190,1174,1403,1339,764,572,15078,1509,19255
1016,320,488,275,4338,73,5499,4,52,25,1003,27,1103,251,3,17,22,0,292,12,0,0,5,0,16,53,16,13,38,0,118,758,343,234,3882,64,5283,366,0,28,4,9,404,22,0,6,22,0,53,83,29,26,358,0,495,12,0,3,20,0,37,0,4,0,3,0,6,1255,18,6,9,11,1289,97,65,41,1218,10,1434,1781,471,158,2168,41,4617,21,0,0,3,0,20,23,6,4,11,0,41,10,0,0,0,0,12,12,6,0,14,0,23,70,14,6,4,0,99,49,23,17,10,0,102,9,10,0,14,0,33,5,0,0,0,0,5,345,22,24,4,4,398,88,91,65,1021,16,1277,9,0,0,7,0,18,73,12,3,3,0,95,82,12,12,34,0,138,16,0,0,0,0,15,16,0,0,0,0,16,13,5,5,36,0,52,2691,172,83,160,38,3136,176,9,5,92,1222,1507,7579,1149,624,9770,1447,20569
1017,47,356,224,5467,113,6205,3,47,21,2276,60,2415,69,3,3,21,0,93,7,4,0,9,0,20,49,19,13,22,0,101,428,317,204,4859,149,5961,93,3,38,3,3,145,18,3,4,32,0,58,89,17,17,324,8,458,24,3,0,25,0,48,6,5,0,5,0,11,55,4,0,3,0,62,73,59,44,1326,18,1519,26,21,3,107,0,157,0,0,0,0,0,5,5,9,0,16,0,26,0,0,0,0,0,4,31,8,5,46,0,92,17,10,5,15,0,48,17,19,12,23,0,79,13,10,0,14,0,46,5,7,0,11,0,17,9,3,0,0,0,10,103,68,45,947,18,1185,4,0,0,0,0,3,4,4,0,4,0,13,13,0,0,12,0,24,0,0,0,4,0,5,0,0,0,0,0,0,19,12,0,35,0,67,256,69,42,230,6,607,21,6,3,107,1889,2014,1156,640,396,11255,2204,15654
1018,143,956,653,9649,91,11490,3,65,44,1828,36,1974,145,7,20,68,3,245,18,8,5,13,0,48,101,49,32,114,0,300,1179,875,589,9083,119,11844,166,5,62,21,0,257,75,16,9,86,0,185,223,87,77,942,7,1337,35,21,7,40,0,105,37,12,0,16,0,64,156,23,12,19,3,207,267,220,112,3407,25,4038,288,155,34,742,6,1230,28,0,5,3,0,38,9,9,4,40,0,65,8,0,0,0,0,10,25,10,10,50,3,96,48,25,17,31,0,128,70,37,50,24,0,188,50,16,18,39,0,117,19,4,5,26,0,52,8,7,0,0,0,19,321,244,154,2635,19,3373,13,0,0,5,0,22,42,19,4,13,0,75,46,7,13,34,0,89,15,3,0,3,0,18,53,0,10,0,0,66,37,20,10,82,0,146,895,258,199,472,23,1850,33,11,4,231,1772,2047,3547,1801,1217,20227,2026,28816
1019,56,387,245,4414,75,5186,0,22,14,763,22,826,96,0,4,26,0,124,24,7,0,15,0,47,53,15,8,33,0,110,488,349,260,3795,109,5001,80,3,39,5,0,132,19,3,0,17,0,38,82,21,20,264,3,388,28,6,3,17,0,60,18,8,0,10,0,37,58,5,0,5,0,73,121,80,44,1171,20,1424,70,12,11,119,0,211,6,0,0,0,0,6,11,3,0,13,0,32,4,0,0,0,0,4,20,9,0,21,0,51,20,7,14,5,0,41,20,22,8,10,0,72,43,22,3,16,0,87,8,0,0,3,0,12,0,0,0,0,0,0,156,125,87,1020,14,1402,15,0,0,0,0,25,8,3,0,0,0,13,18,0,6,4,0,25,3,0,0,0,0,6,28,0,0,0,0,30,27,14,4,62,3,111,374,73,51,143,9,652,22,7,4,84,967,1082,1602,699,473,8433,1180,12385
1020,74,536,477,5947,36,7065,0,34,10,1032,7,1088,53,6,14,22,0,88,19,3,0,16,0,42,119,41,20,91,0,276,789,529,382,4741,58,6504,43,11,33,10,4,98,19,0,7,32,0,58,102,47,32,426,0,611,20,17,0,41,0,72,22,8,6,5,0,38,34,8,0,9,0,46,143,94,57,1191,10,1498,63,44,11,156,3,274,10,0,5,0,0,17,7,4,3,9,0,15,19,0,0,9,0,31,49,26,11,66,0,151,22,12,4,15,0,57,32,26,16,23,0,93,41,6,6,34,0,89,12,6,0,6,0,18,4,6,3,6,0,17,202,117,94,1180,7,1598,15,0,0,6,0,20,49,7,3,6,0,63,19,10,6,15,0,42,9,0,0,6,0,18,12,4,3,7,0,24,39,12,17,55,0,123,306,103,88,244,6,746,18,3,3,101,548,670,1839,980,749,10804,651,15020
