SUA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
1000,69,174,8,10,15,186,351,422,958,10277,9320,1631,21230,765,768,1532,22770,16596,748,40108
1001,13,33,0,0,0,33,28,26,83,1449,1237,187,2869,97,110,204,3074,1769,55,4899
1002,0,0,0,0,0,0,8,4,11,286,246,35,570,21,17,34,603,417,8,1028
1003,3,3,0,0,0,8,14,12,29,610,596,74,1288,26,34,54,1345,765,28,2135
1004,0,3,0,0,0,3,7,5,21,195,230,32,455,10,10,20,480,355,16,850
1005,7,17,0,0,0,15,14,14,48,657,479,65,1193,32,39,72,1273,614,19,1910
1006,3,10,0,0,0,10,11,4,21,477,414,66,964,13,19,33,996,601,16,1608
1007,6,10,0,0,0,10,10,8,29,299,201,55,553,19,17,41,588,461,13,1063
1008,0,3,0,0,0,3,0,0,3,83,117,25,220,0,6,11,232,146,4,385
1009,7,7,0,0,0,7,6,6,11,172,190,30,392,14,16,28,423,286,16,728
1010,14,51,3,0,3,55,111,105,268,4781,4005,1191,9975,295,268,558,10535,7368,206,18103
1011,8,12,0,0,0,17,22,30,69,1068,963,137,2173,72,66,144,2310,1437,57,3810
1012,4,15,0,0,0,13,15,23,56,712,425,92,1231,32,33,65,1301,655,39,1991
1013,0,7,0,0,0,7,15,7,27,213,237,52,498,14,6,22,520,467,18,1007
1014,3,7,0,0,0,7,13,6,19,380,289,43,714,19,29,47,762,465,10,1236
1015,4,4,0,0,0,8,14,14,33,276,283,39,602,26,27,55,653,554,22,1226
1016,0,0,0,0,0,0,11,10,19,286,190,30,510,11,15,28,540,303,16,852
1017,3,3,0,0,0,3,15,23,39,204,198,49,446,38,24,58,506,478,33,1015
1018,4,10,0,0,0,10,8,18,29,515,465,58,1041,25,45,76,1116,725,27,1868
1019,0,0,0,0,0,4,4,7,13,133,142,32,311,13,17,27,339,339,15,693
1020,0,3,0,0,0,3,9,7,14,188,159,34,381,12,6,16,400,229,10,644
1021,4,6,0,0,0,6,7,12,33,322,295,82,703,19,27,47,747,564,21,1329
1022,0,0,0,0,0,0,6,0,5,180,148,20,348,8,9,18,366,189,6,566
1023,4,8,0,0,0,9,6,5,20,190,136,34,366,17,14,33,398,254,9,663
1024,4,7,0,0,0,7,3,7,9,307,318,62,683,27,26,49,732,449,9,1187
1025,40,77,0,3,6,88,136,118,343,7422,5970,1090,14474,458,472,924,15405,9608,277,25283
1026,4,5,0,0,0,8,17,10,34,507,487,82,1070,37,41,75,1147,844,18,2011
1027,0,9,0,0,0,9,15,14,38,680,428,64,1171,34,32,70,1245,686,30,1957
1028,0,4,0,0,0,4,15,12,27,680,606,72,1356,30,47,73,1431,912,28,2376
1029,0,3,0,0,0,3,6,0,9,223,186,34,447,15,16,42,481,276,11,768
1030,0,3,0,0,0,3,8,3,14,221,244,44,512,20,20,36,550,412,14,981
1031,241,530,15,7,24,553,930,1228,2710,53219,31575,11413,96200,3283,2844,6130,102333,83648,2257,188234
1032,0,3,0,0,0,4,20,26,53,690,526,85,1303,64,75,138,1440,920,43,2401
1033,0,3,0,0,0,4,23,25,54,293,401,66,760,41,47,92,851,805,32,1689
1034,7,8,0,0,0,8,4,3,14,175,230,39,443,10,9,19,465,323,5,787
1035,5,8,0,0,0,9,23,21,54,839,641,81,1566,57,50,100,1666,991,46,2707
1036,13,39,4,0,0,42,84,80,203,3752,3022,856,7630,207,194,398,8026,5962,166,14154
