SUA_CODE_2021,P_Mng_0,P_Mng_1_19,P_Mng_20_29,P_Mng_30_34,P_Mng_35_39,P_Mng_40_44,P_Mng_45_49,P_Mng_50_over,P_Mng_hours_NS,P_Mng_Tot,P_Pro_0,P_Pro_1_19,P_Pro_20_29,P_Pro_30_34,P_Pro_35_39,P_Pro_40_44,P_Pro_45_49,P_Pro_50_over,P_Pro_hours_NS,P_Pro_Tot,P_TTW_0,P_TTW_1_19,P_TTW_20_29,P_TTW_30_34,P_TTW_35_39,P_TTW_40_44,P_TTW_45_49,P_TTW_50_over,P_TTW_hours_NS,P_TTW_Tot,P_CPS_0,P_CPS_1_19,P_CPS_20_29,P_CPS_30_34,P_CPS_35_39,P_CPS_40_44,P_CPS_45_49,P_CPS_50_over,P_CPS_hours_NS,P_CPS_Tot,P_CA_0,P_CA_1_19,P_CA_20_29,P_CA_30_34,P_CA_35_39,P_CA_40_44,P_CA_45_49,P_CA_50_over,P_CA_hours_NS,P_CA_Tot,P_Sal_0,P_Sal_1_19,P_Sal_20_29,P_Sal_30_34,P_Sal_35_39,P_Sal_40_44,P_Sal_45_49,P_Sal_50_over,P_Sal_hours_NS,P_Sal_Tot,P_MOD_0,P_MOD_1_19,P_MOD_20_29,P_MOD_30_34,P_MOD_35_39,P_MOD_40_44,P_MOD_45_49,P_MOD_50_over,P_MOD_hours_NS,P_MOD_Tot,P_Lab_0,P_Lab_1_19,P_Lab_20_29,P_Lab_30_34,P_Lab_35_39,P_Lab_40_44,P_Lab_45_49,P_Lab_50_over,P_Lab_hours_NS,P_Lab_Tot,P_ID_NS_0,P_ID_NS_1_19,P_ID_NS_20_24,P_ID_NS_30_34,P_ID_NS_35_39,P_ID_NS_40_44,P_ID_NS_45_49,P_ID_NS_50_over,P_ID_NS_hours_NS,P_ID_NS_Tot,P_Tot_0,P_Tot_1_19,P_Tot_20_29,P_Tot_30_34,P_Tot_35_39,P_Tot_40_44,P_Tot_45_49,P_Tot_50_over,P_Tot_hours_NS,P_Tot_Tot
1000,2662,5118,5410,4247,9464,15577,5710,27575,1271,77030,3829,8259,8770,6622,13079,14612,4438,9759,651,70021,3104,5364,4850,3768,13265,16970,4716,10543,1150,63729,3965,11448,9931,6837,8975,5201,1681,2725,934,51701,2365,7971,7981,5108,12197,7452,1623,2723,478,47895,1939,10046,5548,2831,5127,3614,1012,1994,576,32682,1875,2622,2524,1506,5671,6898,2728,9472,813,34105,3112,13025,6835,4164,8597,8863,2400,5112,1260,53369,699,899,592,372,1159,1135,278,882,2723,8752,23561,64749,52438,35464,77537,80319,24592,70781,9855,439281
1001,136,250,275,257,926,1352,561,1383,33,5164,422,743,1009,948,2084,1835,620,985,56,8689,219,386,413,327,1656,2340,622,970,76,7005,411,1295,1223,896,1174,885,244,318,119,6568,234,727,837,590,1585,982,249,288,42,5543,218,1456,686,381,692,431,123,231,61,4281,140,251,258,214,661,799,274,647,71,3318,235,1280,631,388,909,847,194,274,80,4843,40,85,54,40,129,120,46,71,192,775,2062,6477,5381,4035,9819,9590,2932,5167,720,46191
1002,48,82,87,60,291,276,118,318,8,1301,118,310,266,249,704,551,189,379,18,2781,58,96,99,78,351,290,88,130,18,1207,91,368,267,169,250,103,50,73,17,1381,53,168,170,101,430,149,38,60,11,1179,49,291,143,63,149,90,38,60,8,885,24,64,33,28,63,66,39,70,3,397,60,344,161,88,225,134,32,46,24,1111,10,21,13,7,34,11,3,8,43,147,507,1751,1233,839,2502,1672,593,1144,161,10396
1003,85,256,277,195,526,623,207,683,34,2883,254,553,655,513,873,1001,275,533,30,4677,120,244,277,251,694,732,160,337,43,2854,227,681,615,405,445,198,72,97,49,2791,100,393,388,279,575,345,66,121,19,2284,108,672,338,185,313,198,55,90,25,1996,44,123,99,72,146,141,52,163,21,857,134,640,303,206,319,282,36,127,38,2083,16,41,29,21,38,36,7,24,99,316,1095,3609,2980,2121,3925,3551,931,2169,352,20730
1004,37,56,63,45,154,167,60,160,11,759,49,96,128,98,218,156,60,100,12,926,46,96,85,83,224,261,47,121,24,980,67,213,183,148,164,88,32,41,18,945,48,142,134,82,193,99,24,52,5,779,53,239,124,68,155,70,17,25,20,762,20,44,37,20,63,59,24,47,4,316,57,229,101,71,126,91,16,37,23,752,10,23,20,9,15,23,0,5,35,131,389,1131,878,621,1299,1017,279,592,144,6347
1005,59,70,101,79,380,463,214,489,10,1857,156,294,341,272,827,777,228,457,13,3365,76,157,124,108,601,663,229,462,19,2438,169,510,456,370,619,313,117,182,35,2769,79,248,278,208,697,345,78,121,8,2062,82,532,284,114,267,146,52,87,18,1583,57,98,101,48,203,254,87,299,13,1168,120,479,263,145,331,274,96,143,38,1893,24,28,20,11,48,48,18,32,60,287,808,2424,1970,1356,3979,3277,1112,2259,236,17428
1006,114,190,239,153,420,607,256,755,37,2751,173,555,498,366,619,898,277,649,31,4056,141,299,237,169,620,867,227,378,43,2990,195,509,386,251,347,206,82,83,25,2082,110,424,349,199,465,310,82,114,18,2073,120,520,272,135,261,197,42,108,22,1686,55,95,75,60,221,210,92,231,25,1065,120,528,262,122,311,246,69,89,31,1787,21,35,31,17,33,54,8,34,62,294,1064,3155,2350,1471,3289,3593,1137,2437,294,18791
1007,29,30,33,31,160,153,65,173,7,677,79,73,85,69,283,321,92,170,8,1181,49,76,54,50,265,284,64,259,11,1115,78,195,178,160,224,175,57,79,25,1173,37,82,103,56,263,142,21,45,3,750,28,230,110,47,114,53,21,31,11,637,55,43,33,31,100,135,36,299,16,737,39,233,106,54,126,87,20,55,18,735,12,10,4,11,18,17,0,23,63,155,407,976,698,509,1557,1364,375,1127,165,7172
1008,36,140,121,88,168,205,55,151,12,967,56,225,229,171,200,298,52,132,16,1376,42,167,83,68,139,148,27,54,17,748,88,308,154,63,64,39,4,16,15,753,14,107,82,50,68,50,8,12,3,401,32,159,73,45,46,50,11,28,12,455,12,29,21,14,14,14,6,12,4,125,48,235,91,39,32,30,10,14,8,499,4,21,25,9,10,15,0,6,42,136,328,1388,874,545,741,847,172,424,139,5465
1009,29,47,47,38,136,162,63,178,10,718,67,148,144,144,241,226,78,134,9,1192,34,98,74,64,276,305,56,122,22,1053,72,251,239,126,172,81,29,41,13,1026,34,131,138,116,167,102,34,36,3,757,34,196,109,56,97,46,22,16,5,578,19,40,31,17,82,75,26,77,11,382,40,214,108,63,125,58,28,50,15,708,6,12,5,6,14,21,0,7,34,95,349,1130,897,634,1311,1085,334,664,117,6514
