SUA_CODE_2021,Tot_OcMngr,Tot_OcProf,Tot_OcTechTrdW,Tot_OcComPerS,Tot_OcClericAdm,Tot_OcSalesWk,Tot_OcMacOp_Driv,Tot_OcLab,Tot_OcID_NS,Tot_Tot
1000,77030,70021,63729,51701,47895,32682,34105,53369,8752,439281
1001,5164,8689,7005,6568,5543,4281,3318,4843,775,46191
1002,1301,2781,1207,1381,1179,885,397,1111,147,10396
1003,2883,4677,2854,2791,2284,1996,857,2083,316,20730
1004,759,926,980,945,779,762,316,752,131,6347
1005,1857,3365,2438,2769,2062,1583,1168,1893,287,17428
1006,2751,4056,2990,2082,2073,1686,1065,1787,294,18791
1007,677,1181,1115,1173,750,637,737,735,155,7172
1008,967,1376,748,753,401,455,125,499,136,5465
1009,718,1192,1053,1026,757,578,382,708,95,6514
1010,18247,30404,21775,19418,19526,13723,8919,14518,2523,149052
1011,3895,6369,4170,4615,3901,3141,1470,3888,522,31976
1012,2019,3785,2726,3038,2456,1889,1144,1988,355,19401
1013,708,1243,987,1191,812,832,284,799,133,6986
1014,1134,1656,1560,1757,1253,1014,908,1369,220,10874
1015,665,1115,883,1305,881,760,505,957,124,7194
1016,1320,1451,1374,1007,1112,924,702,2155,271,10301
1017,489,726,637,990,533,534,377,699,105,5082
1018,1158,2563,1642,1946,1520,1285,682,1731,184,12716
1019,428,636,741,666,617,406,520,536,86,4647
1020,752,1010,1282,930,913,601,560,707,138,6890
1021,1274,2093,1942,1481,1407,919,934,1217,236,11500
1022,628,937,1069,738,576,517,757,641,91,5949
1023,352,559,1057,572,492,456,978,727,106,5299
1024,1413,1883,1821,1584,1322,1098,546,1114,210,10996
1025,25683,54052,35275,32434,29673,20894,16628,22301,3566,240511
1026,1670,2597,2499,2640,1648,1611,922,1789,260,15631
1027,2131,4453,2845,2581,2444,1599,1342,1927,299,19618
1028,2393,4997,2763,3320,2641,2132,820,1892,356,21307
1029,722,1002,1473,1249,887,687,1368,805,148,8338
1030,864,1346,1271,1201,830,654,340,792,131,7427
1031,346657,676683,227805,202793,311246,172736,124812,147249,43982,2253956
1032,1966,3608,2682,2622,2218,1841,1296,3002,284,19521
1033,853,1390,1235,1614,944,1083,629,1328,169,9250
1034,828,1151,1127,906,679,739,246,735,100,6508
1035,2987,5876,3975,4004,3214,2620,1483,2908,461,27525
1036,15663,32151,20454,18323,17559,11346,9198,12062,2205,138956
