SUA_CODE_2021,P_EducTrain_GD_GC,P_EducTrain_BD,P_EducTrain_AdD_D,P_EducTrain_Cert,P_EducTrain_ID_NS,P_EducTrain_ToT,P_HealthCareSocA_PD,P_HealthCareSocA_GD_GC,P_HealthCareSocA_BD,P_HealthCareSocA_AdD_D,P_HealthCareSocA_Cert,P_HealthCareSocA_ID_NS,P_HealthCareSocA_ToT,P_ArtRecServ_PD,P_ArtRecServ_GD_GC,P_ArtRecServ_BD,P_ArtRecServ_AdD_D,P_ArtRecServ_Cert,P_ArtRecServ_ID_NS,P_ArtRecServ_ToT,P_OthServ_PD,P_OthServ_GD_GC,P_OthServ_BD,P_OthServ_AdD_D,P_OthServ_Cert,P_OthServ_ID_NS,P_OthServ_ToT,P_ID_NS_PD,P_ID_NS_GD_GC,P_ID_NS_BD,P_ID_NS_AdD_D,P_ID_NS_Cert,P_ID_NS_ID_NS,P_ID_NS_ToT,P_ToT_PD,P_ToT_GD_GC,P_ToT_BD,P_ToT_AdD_D,P_ToT_Cert,P_ToT_ID_NS,P_ToT_ToT
1017,23,142,50,121,9,380,30,36,191,166,401,39,874,0,0,3,4,15,0,23,0,0,10,18,111,0,136,0,0,7,10,66,26,113,81,83,533,448,1873,174,3191
1018,130,525,140,210,11,1212,226,137,803,429,788,55,2436,6,0,34,11,34,0,85,13,3,56,59,262,6,403,14,4,42,33,118,39,258,628,380,2256,1245,3717,241,8474
1019,27,105,37,69,5,282,24,37,148,88,192,23,499,0,0,8,4,25,4,39,0,0,16,11,100,4,135,0,0,8,14,52,17,94,130,106,533,445,1675,118,3001
1020,31,167,52,99,5,405,42,33,196,170,339,24,797,0,0,7,0,23,3,42,0,0,19,24,184,8,228,0,0,18,21,94,24,159,193,125,782,821,2568,144,4633
1021,62,366,107,159,15,894,126,73,492,343,634,56,1720,6,0,17,23,35,3,84,21,10,61,49,295,7,438,13,4,38,42,154,43,295,534,229,1572,1274,3988,250,7843
1022,46,214,41,75,11,443,58,35,185,102,179,20,579,0,0,12,7,19,0,43,4,0,15,23,146,3,195,3,0,15,8,53,18,97,216,120,877,579,2127,147,4064
1023,27,128,32,65,6,282,18,17,101,83,176,17,414,0,0,3,0,11,0,24,0,0,8,17,136,5,164,3,0,9,9,63,24,110,107,80,471,442,2072,128,3296
1024,76,323,122,154,15,798,99,55,347,269,429,54,1246,10,5,25,18,46,3,107,10,7,30,67,220,12,345,12,3,44,40,130,28,260,487,239,1626,1413,3486,271,7520
1025,1461,8616,2196,3049,249,19306,4223,1870,13279,6198,10860,938,37378,88,55,496,287,668,45,1630,223,100,774,1022,4727,134,6975,280,83,936,652,2447,689,5083,14302,5936,46109,25986,70653,4604,167587
1026,121,354,132,237,14,1000,215,130,685,434,879,75,2425,4,3,32,10,61,0,111,15,5,32,84,350,10,495,11,5,48,43,184,56,353,665,382,2165,1738,5353,383,10687
1027,144,760,203,283,29,1655,480,181,1217,562,942,72,3455,3,3,26,20,36,0,89,20,9,77,85,405,16,610,10,7,48,33,166,68,335,1235,533,3827,2085,5677,383,13740
1028,164,900,255,318,33,1979,493,186,1433,639,1212,103,4068,14,3,41,29,72,0,165,22,12,69,106,409,11,626,16,3,61,59,188,77,400,1246,582,4066,2507,6241,468,15118
1029,36,163,55,109,8,410,33,32,159,123,275,21,635,0,0,5,3,22,0,31,3,6,21,25,197,5,260,5,0,13,14,113,27,174,215,117,895,718,3201,178,5323
1030,65,238,74,117,3,578,77,47,284,190,392,33,1009,3,6,13,8,17,0,58,3,0,17,37,161,4,226,5,0,26,14,86,18,148,311,175,996,842,2620,172,5125
1031,12652,70017,16944,15981,2530,167971,50005,13280,108959,37729,37647,6978,254598,3455,823,10471,4052,4926,589,24313,5121,1250,12822,8826,25239,1386,54648,12127,1449,26662,10719,15886,9298,76143,313243,63941,686229,250895,349160,51817,1715289
1032,150,711,239,308,22,1612,331,160,990,527,942,86,3035,3,0,27,16,66,8,113,13,10,45,83,444,20,610,14,3,31,41,207,57,347,836,470,2978,1923,5966,471,12635
1033,61,239,91,162,12,621,131,67,430,328,751,72,1781,0,0,4,7,26,3,46,8,4,23,38,240,12,319,5,0,14,27,98,43,180,252,162,986,877,3230,272,5781
1034,60,235,59,87,11,539,69,43,232,150,218,20,724,0,0,15,12,17,0,46,3,0,21,21,148,5,206,0,0,13,18,70,19,132,290,175,977,679,2163,175,4461
1035,250,1135,310,484,43,2656,481,264,1600,740,1161,112,4352,12,0,39,25,55,3,128,24,15,107,131,582,16,876,21,8,73,59,308,89,558,1450,785,4978,2658,7982,595,18455
1036,1263,5349,1446,1849,160,13260,2691,1073,6722,3613,5704,503,20312,105,51,400,221,391,38,1199,202,59,538,559,2622,69,4045,247,44,658,390,1382,396,3121,10667,3887,27490,16193,39248,2620,100116
