SUA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
1000,82151,10381,4796,1095,217,72,1070,99792
1001,8327,1024,530,76,16,5,70,10055
1002,1697,192,98,19,4,3,22,2038
1003,3829,477,162,43,3,3,33,4555
1004,1035,160,63,15,0,0,21,1297
1005,2999,468,215,33,10,3,25,3751
1006,3826,422,169,37,5,4,28,4494
1007,1050,221,96,21,0,0,13,1417
1008,740,84,19,4,0,0,0,849
1009,1247,184,64,7,0,0,19,1515
1010,30984,3972,1802,324,66,29,248,37431
1011,5891,810,313,78,22,5,70,7180
1012,3316,531,217,47,7,7,46,4171
1013,1110,184,61,15,0,0,17,1394
1014,1848,278,168,34,5,0,26,2350
1015,1189,224,124,19,4,6,13,1579
1016,2009,190,76,35,0,3,20,2336
1017,891,156,84,17,0,7,17,1175
1018,1976,302,146,30,9,0,17,2477
1019,806,118,61,14,4,4,16,1020
1020,1527,222,103,14,6,5,16,1885
1021,2362,353,151,28,8,3,25,2936
1022,1105,146,74,18,4,0,14,1357
1023,952,176,98,19,3,0,16,1266
1024,2021,301,108,31,9,0,24,2488
1025,46157,6393,2562,463,107,38,386,56110
1026,2946,437,236,43,11,3,54,3720
1027,3663,501,244,38,5,5,33,4487
1028,3816,545,200,39,6,4,35,4640
1029,1587,257,116,18,5,0,7,1995
1030,1355,220,70,20,4,3,18,1694
1031,561108,39394,13955,5722,573,230,1795,622774
1032,3269,514,281,37,7,5,42,4148
1033,1630,254,151,46,6,3,28,2124
1034,1223,159,67,10,0,0,8,1468
1035,4993,627,282,39,14,4,41,5998
1036,30414,3395,1369,273,39,17,201,35709
