SUA_CODE_2021,F_AccomFoodS_Cert,F_AccomFoodS_ID_NS,F_AccomFoodS_ToT,F_TransPostWhse_PD,F_TransPostWhse_GD_GC,F_TransPostWhse_BD,F_TransPostWhse_AdD_D,F_TransPostWhse_Cert,F_TransPostWhse_ID_NS,F_TransPostWhse_ToT,F_InfoMedTelecom_PD,F_InfoMedTelecom_GD_GC,F_InfoMedTelecom_BD,F_InfoMedTelecom_AdD_D,F_InfoMedTelecom_Cert,F_InfoMedTelecom_ID_NS,F_InfoMedTelecom_ToT,F_FinInsurS_PD,F_FinInsurS_GD_GC,F_FinInsurS_BD,F_FinInsurS_AdD_D,F_FinInsurS_Cert,F_FinInsurS_ID_NS,F_FinInsurS_ToT,F_RentHirREserv_PD,F_RentHirREserv_GD_GC,F_RentHirREserv_BD,F_RentHirREserv_AdD_D,F_RentHirREserv_Cert,F_RentHirREserv_ID_NS,F_RentHirREserv_ToT,F_ProScieTechServ_PD,F_ProScieTechServ_GD_GC,F_ProScieTechServ_BD,F_ProScieTechServ_AdD_D,F_ProScieTechServ_Cert,F_ProScieTechServ_ID_NS,F_ProScieTechServ_ToT,F_AdminSupServ_PD,F_AdminSupServ_GD_GC,F_AdminSupServ_BD,F_AdminSupServ_AdD_D,F_AdminSupServ_Cert,F_AdminSupServ_ID_NS,F_AdminSupServ_ToT,F_PubAdmiSafety_PD,F_PubAdmiSafety_GD_GC,F_PubAdmiSafety_BD,F_PubAdmiSafety_AdD_D,F_PubAdmiSafety_Cert,F_PubAdmiSafety_ID_NS,F_PubAdmiSafety_ToT,F_EducTrain_PD,F_EducTrain_GD_GC,F_EducTrain_BD,F_EducTrain_AdD_D,F_EducTrain_Cert,F_EducTrain_ID_NS,F_EducTrain_ToT,F_HealthCareSocA_PD,F_HealthCareSocA_GD_GC,F_HealthCareSocA_BD,F_HealthCareSocA_AdD_D,F_HealthCareSocA_Cert,F_HealthCareSocA_ID_NS,F_HealthCareSocA_ToT,F_ArtRecServ_PD,F_ArtRecServ_GD_GC,F_ArtRecServ_BD,F_ArtRecServ_AdD_D,F_ArtRecServ_Cert,F_ArtRecServ_ID_NS,F_ArtRecServ_ToT,F_OthServ_PD,F_OthServ_GD_GC,F_OthServ_BD,F_OthServ_AdD_D,F_OthServ_Cert,F_OthServ_ID_NS,F_OthServ_ToT,F_ID_NS_PD,F_ID_NS_GD_GC,F_ID_NS_BD,F_ID_NS_AdD_D,F_ID_NS_Cert,F_ID_NS_ID_NS,F_ID_NS_ToT,F_ToT_PD,F_ToT_GD_GC,F_ToT_BD,F_ToT_AdD_D,F_ToT_Cert,F_ToT_ID_NS,F_ToT_ToT,P_AgriForestFish_PD,P_AgriForestFish_GD_GC,P_AgriForestFish_BD,P_AgriForestFish_AdD_D,P_AgriForestFish_Cert,P_AgriForestFish_ID_NS,P_AgriForestFish_ToT,P_Min_PD,P_Min_GD_GC,P_Min_BD,P_Min_AdD_D,P_Min_Cert,P_Min_ID_NS,P_Min_ToT,P_Mnfg_PD,P_Mnfg_GD_GC,P_Mnfg_BD,P_Mnfg_AdD_D,P_Mnfg_Cert,P_Mnfg_ID_NS,P_Mnfg_ToT,P_EGW_WS_PD,P_EGW_WS_GD_GC,P_EGW_WS_BD,P_EGW_WS_AdD_D,P_EGW_WS_Cert,P_EGW_WS_ID_NS,P_EGW_WS_ToT,P_Cnstn_PD,P_Cnstn_GD_GC,P_Cnstn_BD,P_Cnstn_AdD_D,P_Cnstn_Cert,P_Cnstn_ID_NS,P_Cnstn_ToT,P_WTrade_PD,P_WTrade_GD_GC,P_WTrade_BD,P_WTrade_AdD_D,P_WTrade_Cert,P_WTrade_ID_NS,P_WTrade_ToT,P_RTrade_PD,P_RTrade_GD_GC,P_RTrade_BD,P_RTrade_AdD_D,P_RTrade_Cert,P_RTrade_ID_NS,P_RTrade_ToT,P_AccomFoodS_PD,P_AccomFoodS_GD_GC,P_AccomFoodS_BD,P_AccomFoodS_AdD_D,P_AccomFoodS_Cert,P_AccomFoodS_ID_NS,P_AccomFoodS_ToT,P_TransPostWhse_PD,P_TransPostWhse_GD_GC,P_TransPostWhse_BD,P_TransPostWhse_AdD_D,P_TransPostWhse_Cert,P_TransPostWhse_ID_NS,P_TransPostWhse_ToT,P_InfoMedTelecom_PD,P_InfoMedTelecom_GD_GC,P_InfoMedTelecom_BD,P_InfoMedTelecom_AdD_D,P_InfoMedTelecom_Cert,P_InfoMedTelecom_ID_NS,P_InfoMedTelecom_ToT,P_FinInsurS_PD,P_FinInsurS_GD_GC,P_FinInsurS_BD,P_FinInsurS_AdD_D,P_FinInsurS_Cert,P_FinInsurS_ID_NS,P_FinInsurS_ToT,P_RentHirREserv_PD,P_RentHirREserv_GD_GC,P_RentHirREserv_BD,P_RentHirREserv_AdD_D,P_RentHirREserv_Cert,P_RentHirREserv_ID_NS,P_RentHirREserv_ToT,P_ProScieTechServ_PD,P_ProScieTechServ_GD_GC,P_ProScieTechServ_BD,P_ProScieTechServ_AdD_D,P_ProScieTechServ_Cert,P_ProScieTechServ_ID_NS,P_ProScieTechServ_ToT,P_AdminSupServ_PD,P_AdminSupServ_GD_GC,P_AdminSupServ_BD,P_AdminSupServ_AdD_D,P_AdminSupServ_Cert,P_AdminSupServ_ID_NS,P_AdminSupServ_ToT,P_PubAdmiSafety_PD,P_PubAdmiSafety_GD_GC,P_PubAdmiSafety_BD,P_PubAdmiSafety_AdD_D,P_PubAdmiSafety_Cert,P_PubAdmiSafety_ID_NS,P_PubAdmiSafety_ToT,P_EducTrain_PD
1000,3982,478,7351,49,51,332,454,1195,135,2206,70,52,357,177,240,26,931,134,93,589,598,1002,110,2525,37,39,335,467,1145,105,2114,834,449,3138,1465,2361,263,8515,119,80,668,833,2051,251,4001,1075,687,3446,2732,3498,261,11702,3167,2577,11343,3665,5221,464,26432,2678,2151,11186,7841,13271,1393,38524,168,77,650,311,629,72,1912,148,90,574,1134,3148,160,5250,203,80,875,718,1515,858,4248,9847,7307,41389,27830,52971,6411,145755,877,593,6138,5028,14388,1801,28826,218,92,785,745,5663,215,7715,377,173,1960,1729,9596,622,14457,173,69,576,657,2619,94,4198,245,126,1792,2202,22850,875,28086,141,61,775,784,3363,197,5318,488,238,2478,2436,9577,943,16160,342,141,1954,2149,7081,773,12444,148,107,761,1152,5836,487,8485,144,85,641,369,675,66,1979,330,176,1177,1004,1333,154,4175,90,70,629,790,1985,165,3724,1863,809,6292,2450,3726,429,15564,198,119,1061,1245,4262,409,7294,2203,1185,6078,5617,8968,601,24644,4405
1001,426,31,724,14,4,40,40,124,10,238,6,4,37,21,21,0,94,16,8,73,71,125,9,297,3,3,31,44,117,3,207,55,47,278,115,206,15,714,13,5,53,84,216,16,391,97,87,459,375,411,27,1461,356,368,1155,418,509,29,2830,452,412,1799,1080,1715,128,5591,9,13,43,18,49,0,124,18,10,59,154,379,21,630,17,11,69,65,133,62,356,1165,1034,4674,3142,5643,448,16099,20,17,66,79,180,16,378,0,0,8,6,54,3,67,101,50,441,336,1573,76,2573,14,5,33,44,145,4,230,36,18,188,298,2579,70,3195,11,12,81,84,389,14,582,73,30,330,406,1231,63,2138,45,5,206,254,784,46,1339,38,18,129,194,659,55,1080,9,12,71,48,72,5,221,41,26,151,141,164,13,533,8,3,54,73,202,11,354,139,100,612,247,356,29,1480,22,10,112,139,405,37,726,209,158,816,767,1081,50,3095,533
1002,86,4,159,0,0,9,3,13,0,21,3,0,9,4,12,0,30,6,0,20,16,32,4,81,3,0,11,8,20,0,47,56,16,91,36,35,5,244,9,4,26,15,40,0,107,62,17,88,34,40,0,238,392,129,428,135,144,22,1251,161,68,397,194,233,23,1077,7,5,13,6,9,0,42,9,0,30,19,69,4,127,18,0,18,13,14,17,76,759,272,1290,601,910,97,3926,74,8,117,56,77,10,344,0,0,11,3,25,0,44,11,0,39,21,112,3,195,3,0,10,5,27,0,47,16,3,32,26,401,9,487,0,0,13,16,33,4,71,16,10,96,59,220,16,413,23,8,61,52,179,22,340,7,0,22,12,67,8,115,5,3,24,9,28,0,68,21,9,45,34,37,4,155,3,0,20,10,45,0,82,132,42,197,56,65,11,504,24,10,49,31,107,9,216,120,24,169,82,117,3,518,687
1003,206,20,417,0,0,17,11,34,3,65,7,3,18,6,8,0,41,11,0,43,39,37,10,140,7,0,20,25,76,5,133,55,31,234,90,112,13,537,6,9,46,57,73,15,208,41,34,150,84,90,7,404,211,151,647,167,220,19,1422,279,136,914,450,653,63,2501,16,8,31,22,31,10,108,9,7,67,82,163,8,332,12,14,52,33,46,31,183,706,430,2598,1407,2236,267,7635,38,16,136,92,194,24,500,0,0,13,13,52,3,84,16,6,111,81,319,19,549,3,7,23,21,62,5,118,18,6,145,147,1179,51,1541,9,4,46,34,110,7,216,42,9,177,181,501,44,949,19,8,176,168,423,49,837,5,6,48,46,172,9,293,9,3,44,28,23,4,111,31,11,92,73,65,13,285,3,3,49,54,151,4,268,115,56,518,162,170,20,1038,11,12,80,89,200,31,420,83,55,285,191,271,18,905,314
1004,86,18,171,0,0,0,11,6,0,18,0,0,0,0,7,4,18,0,3,3,9,12,8,41,0,0,6,6,29,0,47,13,11,15,24,40,0,100,0,0,13,18,35,3,77,17,6,55,53,69,6,203,38,41,96,41,58,9,285,40,37,170,127,260,34,672,4,0,14,3,13,0,30,7,4,9,27,61,0,102,3,0,8,4,23,23,59,135,121,464,436,902,118,2173,0,0,3,3,22,0,42,0,0,0,0,9,0,17,0,0,11,20,81,4,114,5,0,0,9,23,5,39,6,0,33,51,457,19,566,4,0,7,5,42,0,57,4,4,30,55,247,26,366,12,5,50,63,161,18,302,0,0,0,13,56,8,80,0,0,8,7,22,3,44,4,4,11,21,21,8,63,0,0,10,16,51,0,82,25,10,63,39,61,6,206,3,0,16,37,86,13,160,31,27,86,115,152,8,420,57
1005,132,17,249,0,0,20,16,32,0,72,9,0,30,12,22,0,74,5,8,26,31,51,0,114,0,0,11,15,43,0,69,19,19,114,45,75,8,280,11,7,25,24,73,10,151,33,24,219,109,207,14,597,181,110,585,156,234,5,1269,150,110,625,360,595,49,1892,13,0,26,17,22,0,73,9,0,36,46,144,7,244,13,0,23,20,45,27,124,488,296,1953,1054,2130,171,6093,5,5,36,21,90,7,172,6,0,23,16,178,0,223,35,10,130,88,540,18,831,10,0,34,37,82,4,167,16,9,63,93,822,22,1024,0,0,8,20,112,5,146,32,14,146,106,443,30,772,20,0,101,66,266,26,484,11,7,42,48,209,11,314,8,0,57,21,50,4,144,17,5,64,51,75,0,210,0,0,29,27,66,0,134,67,25,212,79,142,9,537,16,10,40,40,150,11,270,68,60,390,242,479,29,1267,299
1006,152,18,367,0,5,22,18,46,5,94,8,0,33,11,14,0,65,26,6,69,38,39,9,181,8,5,38,44,82,4,181,74,42,219,89,109,23,549,3,9,30,55,80,6,185,30,25,87,72,57,11,285,249,133,468,143,183,22,1195,230,112,609,343,410,56,1762,8,7,29,30,28,4,104,8,11,31,72,158,6,292,16,8,41,48,57,19,189,781,374,2091,1277,1860,244,6618,15,4,55,38,114,10,246,3,0,13,19,95,5,133,63,10,154,106,472,24,827,12,4,18,12,56,5,103,21,6,137,126,1059,29,1375,36,4,93,68,192,13,409,62,16,195,171,397,52,891,41,10,218,138,306,30,750,14,9,58,82,239,20,428,20,0,71,22,31,3,156,58,22,152,76,62,11,380,19,7,82,70,131,15,316,193,76,514,180,200,26,1191,18,12,76,97,212,18,426,81,44,188,172,180,13,685,371
1007,78,11,124,0,0,0,3,13,0,23,0,0,0,0,7,0,16,0,0,0,8,17,4,38,0,0,0,3,16,3,26,6,4,9,5,20,0,40,5,0,7,7,29,7,51,10,5,50,46,57,6,171,42,42,168,42,99,9,407,70,65,267,187,352,28,969,0,0,0,10,11,0,28,0,4,6,16,71,7,103,0,0,12,7,20,14,54,138,131,561,408,946,113,2297,0,0,3,6,14,3,26,9,14,43,55,382,11,516,0,0,0,5,77,4,85,4,5,7,15,72,6,95,6,0,6,15,222,10,266,0,0,0,8,71,0,78,8,4,23,24,192,18,259,0,4,26,30,144,21,218,4,0,5,14,93,9,121,0,0,10,7,13,3,37,0,4,3,11,25,4,47,0,0,0,12,19,3,30,5,7,22,14,38,4,87,0,0,12,11,55,9,89,15,17,74,95,161,8,365,69
1008,75,19,381,0,0,10,6,4,3,24,3,0,30,7,8,0,53,0,0,14,9,4,7,29,3,0,16,19,16,3,51,44,8,132,26,14,4,230,6,10,37,22,20,6,92,10,7,35,0,5,0,60,57,21,108,32,18,4,243,85,25,185,73,57,12,431,6,0,23,18,10,4,49,8,4,21,16,40,3,93,3,0,80,20,19,24,147,277,82,973,404,364,102,2192,7,3,26,9,11,0,57,0,0,0,5,5,0,6,5,5,44,22,40,3,124,6,0,6,4,3,0,21,12,3,60,22,231,16,337,8,0,15,6,15,0,54,13,5,110,55,76,11,259,43,10,253,193,195,33,742,6,0,27,17,24,4,82,9,0,40,16,19,0,81,13,5,38,12,7,8,81,10,0,30,28,34,5,113,87,11,252,45,45,10,451,12,6,71,40,46,7,176,19,5,43,10,18,5,100,73
1009,93,11,144,0,0,5,6,13,0,25,0,0,3,0,0,0,11,0,4,3,13,18,0,37,0,0,3,11,32,6,50,6,0,47,24,31,0,125,4,0,10,17,44,8,80,4,6,30,30,36,0,111,53,41,209,66,105,9,480,37,38,224,151,278,33,765,0,0,5,3,5,0,18,0,0,5,24,86,5,126,0,0,6,4,12,9,41,126,105,630,432,965,109,2362,3,0,17,11,45,4,83,0,0,0,7,20,0,24,0,0,11,30,138,5,187,8,6,25,23,49,0,111,0,3,27,41,476,19,564,0,0,6,10,45,0,67,3,5,25,41,232,17,321,3,3,32,31,169,14,252,3,5,10,18,83,5,124,0,0,4,6,10,0,23,3,4,11,22,23,0,67,5,0,4,15,49,6,74,25,7,92,49,52,6,223,4,0,17,25,100,8,154,15,13,59,64,91,7,239,77
