SUA_CODE_2021,M_AgriForestFish_0,M_AgriForestFish_1_19,M_AgriForestFish_20_29,M_AgriForestFish_30_34,M_AgriForestFish_35_39,M_AgriForestFish_40_44,M_AgriForestFish_45_49,M_AgriForestFish_50_over,M_AgriForestFish_hours_NS,M_AgriForestFish_Tot,M_Min_0,M_Min_1_19,M_Min_20_29,M_Min_30_34,M_Min_35_39,M_Min_40_44,M_Min_45_49,M_Min_50_over,M_Min_hours_NS,M_Min_Tot,M_Mnfg_0,M_Mnfg_1_19,M_Mnfg_20_29,M_Mnfg_30_34,M_Mnfg_35_39,M_Mnfg_40_44,M_Mnfg_45_49,M_Mnfg_50_over,M_Mnfg_hours_NS,M_Mnfg_Tot,M_EGW_WS_0,M_EGW_WS_1_19,M_EGW_WS_20_29,M_EGW_WS_30_34,M_EGW_WS_35_39,M_EGW_WS_40_44,M_EGW_WS_45_49,M_EGW_WS_50_over,M_EGW_WS_hours_NS,M_EGW_WS_Tot,M_Cnstn_0,M_Cnstn_1_19,M_Cnstn_20_29,M_Cnstn_30_34,M_Cnstn_35_39,M_Cnstn_40_44,M_Cnstn_45_49,M_Cnstn_50_over,M_Cnstn_hours_NS,M_Cnstn_Tot,M_WTrade_0,M_WTrade_1_19,M_WTrade_20_29,M_WTrade_30_34,M_WTrade_35_39,M_WTrade_40_44,M_WTrade_45_49,M_WTrade_50_over,M_WTrade_hours_NS,M_WTrade_Tot,M_RTrade_0,M_RTrade_1_19,M_RTrade_20_29,M_RTrade_30_34,M_RTrade_35_39,M_RTrade_40_44,M_RTrade_45_49,M_RTrade_50_over,M_RTrade_hours_NS,M_RTrade_Tot,M_AccomFoodS_0,M_AccomFoodS_1_19,M_AccomFoodS_20_29,M_AccomFoodS_30_34,M_AccomFoodS_35_39,M_AccomFoodS_40_44,M_AccomFoodS_45_49,M_AccomFoodS_50_over,M_AccomFoodS_hours_NS,M_AccomFoodS_Tot,M_TransPostWhse_0,M_TransPostWhse_1_19,M_TransPostWhse_20_29,M_TransPostWhse_30_34,M_TransPostWhse_35_39,M_TransPostWhse_40_44,M_TransPostWhse_45_49,M_TransPostWhse_50_over,M_TransPostWhse_hours_NS,M_TransPostWhse_Tot,M_InfoMedTelecom_0,M_InfoMedTelecom_1_19,M_InfoMedTelecom_20_29,M_InfoMedTelecom_30_34,M_InfoMedTelecom_35_39,M_InfoMedTelecom_40_44,M_InfoMedTelecom_45_49,M_InfoMedTelecom_50_over,M_InfoMedTelecom_hours_NS,M_InfoMedTelecom_Tot,M_FinInsurS_0,M_FinInsurS_1_19,M_FinInsurS_20_29,M_FinInsurS_30_34,M_FinInsurS_35_39,M_FinInsurS_40_44,M_FinInsurS_45_49,M_FinInsurS_50_over,M_FinInsurS_hours_NS,M_FinInsurS_Tot,M_RentHirREserv_0,M_RentHirREserv_1_19,M_RentHirREserv_20_29,M_RentHirREserv_30_34,M_RentHirREserv_35_39,M_RentHirREserv_40_44,M_RentHirREserv_45_49,M_RentHirREserv_50_over,M_RentHirREserv_hours_NS,M_RentHirREserv_Tot,M_ProScieTechServ_0,M_ProScieTechServ_1_19,M_ProScieTechServ_20_29,M_ProScieTechServ_30_34,M_ProScieTechServ_35_39,M_ProScieTechServ_40_44,M_ProScieTechServ_45_49,M_ProScieTechServ_50_over,M_ProScieTechServ_hours_NS,M_ProScieTechServ_Tot,M_AdminSupServ_0,M_AdminSupServ_1_19,M_AdminSupServ_20_29,M_AdminSupServ_30_34,M_AdminSupServ_35_39,M_AdminSupServ_40_44,M_AdminSupServ_45_49,M_AdminSupServ_50_over,M_AdminSupServ_hours_NS,M_AdminSupServ_Tot,M_PubAdmiSafety_0,M_PubAdmiSafety_1_19,M_PubAdmiSafety_20_29,M_PubAdmiSafety_30_34,M_PubAdmiSafety_35_39,M_PubAdmiSafety_40_44,M_PubAdmiSafety_45_49,M_PubAdmiSafety_50_over,M_PubAdmiSafety_hours_NS,M_PubAdmiSafety_Tot,M_EducTrain_0,M_EducTrain_1_19,M_EducTrain_20_29,M_EducTrain_30_34,M_EducTrain_35_39,M_EducTrain_40_44,M_EducTrain_44_49,M_EducTrain_50_over,M_EducTrain_hours_NS,M_EducTrain_Tot,M_HealthCareSocA_0,M_HealthCareSocA_1_19,M_HealthCareSocA_20_29,M_HealthCareSocA_30_34,M_HealthCareSocA_35_39,M_HealthCareSocA_40_44,M_HealthCareSocA_45_49,M_HealthCareSocA_50_over,M_HealthCareSocA_hours_NS,M_HealthCareSocA_Tot,M_ArtRecServ_0,M_ArtRecServ_1_19,M_ArtRecServ_20_29,M_ArtRecServ_30_34,M_ArtRecServ_35_39,M_ArtRecServ_40_44,M_ArtRecServ_45_49,M_ArtRecServ_50_over,M_ArtRecServ_hours_NS,M_ArtRecServ_Tot,M_OthServ_0,M_OthServ_1_19,M_OthServ_20_29,M_OthServ_30_34,M_OthServ_35_39,M_OthServ_40_44,M_OthServ_45_49,M_OthServ_50_over,M_OthServ_hours_NS,M_OthServ_Tot,M_ID_NS_0,M_ID_NS_1_19,M_ID_NS_20_29,M_ID_NS_30_34,M_ID_NS_35_39,M_ID_NS_40_44,M_ID_NS_45_49,M_ID_NS_50_over,M_ID_NS_hours_NS,M_ID_NS_Tot
1000,862,2360,2142,1785,3283,6933,2565,16017,783,36720,598,171,240,102,964,1819,1174,4224,197,9484,606,858,802,850,4227,5115,1811,3209,240,17717,197,137,140,175,1224,1457,388,849,40,4610,1765,2355,2152,2033,5742,10775,2837,7704,647,36009,175,420,286,230,1168,1678,612,1530,65,6160,561,2965,1634,963,2677,2414,816,1823,183,14029,879,3585,1516,794,1397,1223,388,1317,206,11296,631,1213,1215,596,1675,2257,874,3795,296,12557,68,158,105,83,325,381,76,283,10,1490,67,162,133,108,363,555,158,442,19,2008,71,238,164,103,296,484,170,575,27,2131,233,933,710,539,1254,2095,577,1843,76,8254,349,1232,770,476,837,1046,291,710,119,5825,1064,659,573,523,6107,4374,1478,1936,177,16887,381,1210,787,711,1760,1687,598,1383,83,8601,472,1251,1308,1127,2228,1869,427,1085,124,9887,218,487,287,187,620,517,105,371,56,2851,302,768,537,438,1851,2386,745,1876,117,9024,625,1047,719,525,1811,2270,567,1733,2179,11473
1001,12,32,21,19,68,108,35,123,4,426,11,0,5,0,7,16,0,45,0,81,83,124,100,86,789,1080,390,521,21,3202,4,7,5,10,70,99,30,42,0,264,90,149,144,161,713,1401,424,834,39,3950,20,37,28,19,165,228,103,143,4,743,65,443,211,187,459,383,121,213,31,2120,83,458,207,82,198,168,58,109,24,1386,76,87,96,74,265,358,143,510,22,1622,4,14,10,6,56,56,16,30,0,187,8,11,18,11,63,104,22,57,0,290,5,17,10,8,48,50,14,66,0,213,21,71,61,53,203,253,72,178,4,902,20,120,80,60,132,113,43,60,9,633,98,89,100,60,597,869,204,239,20,2280,35,108,88,70,333,247,93,173,6,1159,75,144,205,185,392,356,95,173,13,1646,19,67,21,15,33,37,7,14,0,202,13,68,58,47,208,277,84,159,11,924,27,87,69,44,219,246,81,120,175,1066
1002,13,29,39,31,89,55,22,46,3,330,4,0,0,0,4,0,5,28,0,50,9,12,9,3,68,50,29,51,0,244,0,4,0,3,19,20,7,7,0,62,19,29,37,24,139,204,50,106,12,625,0,5,4,3,23,21,18,21,0,97,12,120,48,28,109,72,29,52,5,468,27,143,64,24,62,46,15,40,9,415,13,24,13,11,37,21,8,53,0,185,6,3,9,5,19,7,3,3,0,55,6,3,7,3,21,17,10,16,4,85,0,6,0,3,8,9,4,14,0,53,6,38,22,21,82,58,25,39,3,294,11,28,21,27,34,23,4,17,0,167,26,18,14,12,151,58,23,32,0,339,23,102,50,38,284,164,49,121,0,831,9,58,48,50,89,77,26,57,4,425,8,12,5,3,11,20,0,11,0,70,10,21,16,10,47,41,17,22,0,186,4,19,9,6,33,35,9,23,36,169
1003,14,61,78,57,82,106,37,126,12,568,24,0,7,3,3,14,0,56,0,99,13,32,34,35,129,136,53,104,0,551,0,7,3,4,27,48,13,20,0,124,68,101,110,145,381,584,117,345,25,1879,3,21,15,13,48,61,28,42,0,224,24,203,138,85,204,154,41,86,9,942,81,322,117,74,106,73,24,67,12,873,27,61,50,38,65,66,28,85,7,426,0,6,7,3,15,25,8,19,0,94,3,9,7,7,43,47,11,36,0,176,11,22,17,13,31,36,14,36,5,175,10,56,47,52,86,152,47,110,0,553,8,63,70,56,47,70,9,26,5,367,41,34,29,29,224,132,59,65,6,615,25,82,77,59,146,149,39,102,3,681,70,111,137,113,191,193,42,84,11,944,20,48,30,5,17,30,5,27,5,181,15,30,31,30,81,113,27,59,6,388,8,46,42,24,74,96,16,40,78,436
1004,3,0,8,6,11,7,7,10,5,55,0,0,0,0,0,4,3,9,0,19,4,3,14,5,36,31,16,24,4,131,5,0,7,4,27,7,3,8,0,53,29,47,41,42,138,205,41,133,9,680,0,5,5,3,12,26,0,9,0,64,21,97,41,30,77,63,16,27,11,380,16,90,39,24,43,41,5,37,10,303,13,26,24,11,20,28,8,25,0,150,0,0,0,4,12,8,3,4,0,40,0,3,3,0,10,10,5,0,0,31,0,10,3,8,5,11,4,9,0,45,3,20,23,10,21,24,5,15,0,121,5,33,17,13,18,24,9,12,0,138,25,19,14,12,113,47,21,19,9,269,11,20,14,5,23,12,7,20,0,109,13,29,31,45,47,29,9,19,4,224,0,5,3,4,3,4,0,0,0,27,3,13,8,16,36,55,6,14,3,150,5,18,5,6,32,25,4,15,33,150
1005,6,25,12,9,36,52,13,70,5,223,19,7,11,0,19,62,38,134,0,289,52,37,55,33,229,255,122,203,4,986,7,4,0,4,44,41,17,41,0,162,30,60,47,54,237,415,153,316,13,1330,5,9,12,6,42,63,22,57,3,201,31,161,103,58,174,100,50,76,7,761,25,204,99,29,85,74,27,40,8,584,23,38,46,32,74,81,34,154,6,491,3,16,7,3,49,25,5,7,0,117,4,0,5,3,29,40,6,23,0,114,0,8,4,9,18,24,14,20,0,92,4,22,22,18,59,74,23,73,0,300,12,36,33,14,54,38,11,25,0,216,46,31,26,17,340,227,67,86,3,846,15,67,44,38,152,119,37,93,0,565,25,47,79,67,181,134,33,62,8,643,5,32,10,9,22,14,7,13,0,100,11,28,19,17,85,92,31,73,0,359,8,28,22,17,61,77,27,57,68,366
1006,5,27,24,13,45,57,22,56,3,247,5,5,5,3,37,46,17,47,0,162,28,45,32,36,240,259,107,197,10,950,0,8,10,7,28,33,14,13,0,110,81,108,101,75,273,544,135,292,33,1640,22,29,17,17,87,121,38,92,0,424,36,144,88,38,124,106,34,69,7,639,73,235,107,44,89,64,32,69,7,731,48,49,37,47,71,106,60,154,6,578,3,9,10,3,30,30,10,25,0,136,4,25,13,17,27,63,17,59,0,224,3,25,14,7,15,39,25,44,0,174,16,100,56,48,87,184,60,172,3,735,8,84,50,37,66,77,19,34,10,390,33,18,17,10,167,113,59,60,5,479,14,67,39,14,70,112,43,105,6,473,22,46,76,70,124,111,30,67,8,558,15,25,17,10,26,29,5,17,0,139,13,41,28,21,70,109,36,63,0,386,26,52,28,15,73,92,21,76,65,444
1007,0,0,6,4,4,4,0,22,3,50,46,16,15,6,47,157,57,374,12,731,0,3,4,3,37,32,6,22,0,116,5,0,0,3,50,32,11,7,0,108,16,27,21,24,78,115,23,91,3,395,6,5,0,7,18,29,4,44,0,120,11,81,32,16,74,39,11,41,0,319,19,74,40,13,38,29,9,20,8,245,13,12,17,16,47,44,9,63,3,234,0,3,0,6,9,3,3,0,0,35,4,0,0,0,4,5,0,0,0,15,0,0,0,0,8,3,5,3,0,25,4,4,0,6,14,13,3,9,0,61,5,15,13,5,12,9,4,16,0,84,25,12,4,3,96,63,33,25,5,265,7,12,13,8,32,26,12,21,3,139,8,30,22,29,105,94,14,31,0,337,4,11,4,6,4,5,3,0,0,33,6,26,7,7,30,37,3,24,3,148,3,9,0,9,17,28,6,28,40,143
1008,0,3,10,10,15,3,4,12,0,53,0,3,0,0,0,4,0,4,0,7,3,16,6,10,26,28,10,19,0,118,0,0,0,0,6,4,0,4,0,17,20,32,40,37,71,117,20,43,8,387,0,3,8,4,11,14,3,9,0,48,5,52,35,15,21,17,7,20,0,169,61,218,90,37,50,33,11,34,15,548,11,14,6,12,3,7,3,5,0,76,3,10,0,3,5,16,5,5,3,44,0,11,3,5,9,7,5,17,0,57,4,12,5,4,6,14,6,9,0,68,7,25,28,26,36,90,21,39,0,262,4,46,11,9,16,23,3,3,3,119,3,4,8,0,20,12,3,10,0,51,6,21,19,14,16,26,0,12,0,120,14,36,26,33,30,32,7,16,0,199,4,19,22,7,6,9,0,12,4,70,0,8,12,8,6,15,0,6,3,61,4,21,18,9,29,31,6,19,39,177
1009,3,12,10,12,14,24,9,35,4,118,3,0,0,0,5,6,4,6,0,36,3,16,10,0,75,49,25,38,3,219,0,4,0,0,34,32,7,5,0,88,18,48,35,41,166,239,64,109,15,732,7,4,3,4,20,20,6,14,0,78,14,76,30,20,51,38,19,24,0,272,11,61,42,24,38,32,6,22,3,238,6,27,15,7,24,17,9,54,0,164,3,3,4,0,6,3,0,3,0,16,0,4,0,4,8,11,7,10,0,44,0,5,0,4,3,8,6,10,0,31,4,14,13,3,28,26,6,19,6,114,4,26,19,10,31,9,0,11,0,117,18,13,9,4,57,29,13,25,0,164,7,23,13,18,40,44,13,25,0,189,20,37,29,30,64,43,11,14,3,256,0,11,8,0,5,3,0,3,0,29,9,10,14,10,29,33,7,23,0,136,4,16,11,3,30,29,0,12,30,142
