SUA_CODE_2021,FOL_IAL_Oth_NS,FOL_IAL_Oth_Tot,FOL_IAL_Tot_SEO,FOL_IAL_Tot_UOLSE_VWorW,FOL_IAL_Tot_UOLSE_NWorNAA,FOL_IAL_Tot_UOLSE_Tot,FOL_IAL_Tot_NS,FOL_IAL_Tot_Tot,FOL_Italian_SEO,FOL_Italian_UOLSE_VWorW,FOL_Italian_UOLSE_NWorNAA,FOL_Italian_UOLSE_Tot,FOL_Italian_NS,FOL_Italian_Tot,FOL_Japan_SEO,FOL_Japan_UOLSE_VWorW,FOL_Japan_UOLSE_NWorNAA,FOL_Japan_UOLSE_Tot,FOL_Japan_NS,FOL_Japan_Tot,FOL_Khmer_SEO,FOL_Khmer_UOLSE_VWorW,FOL_Khmer_UOLSE_NWorNAA,FOL_Khmer_UOLSE_Tot,FOL_Khmer_NS,FOL_Khmer_Tot,FOL_Korean_SEO,FOL_Korean_UOLSE_VWorW,FOL_Korean_UOLSE_NWorNAA,FOL_Korean_UOLSE_Tot,FOL_Korean_NS,FOL_Korean_Tot,FOL_Macedon_SEO,FOL_Macedon_UOLSE_VWorW,FOL_Macedon_UOLSE_NWorNAA,FOL_Macedon_UOLSE_Tot,FOL_Macedon_NS,FOL_Macedon_Tot,FOL_Malayalam_SEO,FOL_Malayalam_UOLSE_VWorW,FOL_Malayalam_UOLSE_NWorNAA,FOL_Malayalam_UOLSE_Tot,FOL_Malayalam_NS,FOL_Malayalam_Tot,FOL_Persian_ED_SEO,FOL_Persian_ED_UOLSE_VWorW,FOL_Persian_ED_UOLSE_NWorNAA,FOL_Persian_ED_UOLSE_Tot,FOL_Persian_ED_NS,FOL_Persian_ED_Tot,FOL_Polish_SEO,FOL_Polish_UOLSE_VWorW,FOL_Polish_UOLSE_NWorNAA,FOL_Polish_UOLSE_Tot,FOL_Polish_NS,FOL_Polish_Tot,FOL_Portuguese_SEO,FOL_Portuguese_UOLSE_VWorW,FOL_Portuguese_UOLSE_NWorNAA,FOL_Portuguese_UOLSE_Tot,FOL_Portuguese_NS,FOL_Portuguese_Tot,FOL_Russian_SEO,FOL_Russian_UOLSE_VWorW,FOL_Russian_UOLSE_NWorNAA,FOL_Russian_UOLSE_Tot,FOL_Russian_NS,FOL_Russian_Tot,FOL_Samoan_SEO,FOL_Samoan_UOLSE_VWorW,FOL_Samoan_UOLSE_NWorNAA,FOL_Samoan_UOLSE_Tot,FOL_Samoan_NS,FOL_Samoan_Tot,FOL_Serbian_SEO,FOL_Serbian_UOLSE_VWorW,FOL_Serbian_UOLSE_NWorNAA,FOL_Serbian_UOLSE_Tot,FOL_Serbian_NS,FOL_Serbian_Tot,FOL_SAL_Filipin_SEO,FOL_SAL_Filipin_UOLSE_VWorW,FOL_SAL_Filipin_UOLSE_NWorNAA,FOL_SAL_Filipin_UOLSE_Tot,FOL_SAL_Filipin_NS,FOL_SAL_Filipin_Tot,FOL_SAL_Indon_SEO,FOL_SAL_Indon_UOLSE_VWorW,FOL_SAL_Indon_UOLSE_NWorNAA,FOL_SAL_Indon_UOLSE_Tot,FOL_SAL_Indon_NS,FOL_SAL_Indon_Tot,FOL_SAL_Tagalog_SEO,FOL_SAL_Tagalog_UOLSE_VWorW,FOL_SAL_Tagalog_UOLSE_NWorNAA,FOL_SAL_Tagalog_UOLSE_Tot,FOL_SAL_Tagalog_NS,FOL_SAL_Tagalog_Tot,FOL_SAL_Oth_SEO,FOL_SAL_Oth_UOLSE_VWorW,FOL_SAL_Oth_UOLSE_NWorNAA,FOL_SAL_Oth_UOLSE_Tot,FOL_SAL_Oth_NS,FOL_SAL_Oth_Tot,FOL_SAL_Tot_SEO,FOL_SAL_Tot_UOLSE_VWorW,FOL_SAL_Tot_UOLSE_NWorNAA,FOL_SAL_Tot_UOLSE_Tot,FOL_SAL_Tot_NS,FOL_SAL_Tot_Tot,FOL_Spanish_SEO,FOL_Spanish_UOLSE_VWorW,FOL_Spanish_UOLSE_NWorNAA,FOL_Spanish_UOLSE_Tot,FOL_Spanish_NS,FOL_Spanish_Tot,FOL_Tamil_SEO,FOL_Tamil_UOLSE_VWorW,FOL_Tamil_UOLSE_NWorNAA,FOL_Tamil_UOLSE_Tot,FOL_Tamil_NS,FOL_Tamil_Tot,FOL_Thai_SEO,FOL_Thai_UOLSE_VWorW,FOL_Thai_UOLSE_NWorNAA,FOL_Thai_UOLSE_Tot,FOL_Thai_NS,FOL_Thai_Tot,FOL_Turkish_SEO,FOL_Turkish_UOLSE_VWorW,FOL_Turkish_UOLSE_NWorNAA,FOL_Turkish_UOLSE_Tot,FOL_Turkish_NS,FOL_Turkish_Tot,FOL_Vietnamese_SEO,FOL_Vietnamese_UOLSE_VWorW,FOL_Vietnamese_UOLSE_NWorNAA,FOL_Vietnamese_UOLSE_Tot,FOL_Vietnamese_NS,FOL_Vietnamese_Tot,FOL_Oth_SEO,FOL_Oth_UOLSE_VWorW,FOL_Oth_UOLSE_NWorNAA,FOL_Oth_UOLSE_Tot,FOL_Oth_NS,FOL_Oth_Tot,FOL_Tot_SEO,FOL_Tot_UOLSE_VWorW,FOL_Tot_UOLSE_NWorNAA,FOL_Tot_UOLSE_Tot,FOL_Tot_NS,FOL_Tot_Tot,F_LUatH_NS_SEO,F_LUatH_NS_UOLSE_VWorW,F_LUatH_NS_UOLSE_NWorNAA,F_LUatH_NS_UOLSE_Tot,F_LUatH_NS_NS,F_LUatH_NS_Tot,F_Tot_SEO,F_Tot_UOLSE_VWorW,F_Tot_UOLSE_NWorNAA,F_Tot_UOLSE_Tot,F_Tot_NS,F_Tot_Tot,PSEO_SEO,PSEO_UOLSE_VWorW,PSEO_UOLSE_NWorNAA,PSEO_UOLSE_Tot,PSEO_NS,PSEO_Tot,POL_Afrikaans_SEO,POL_Afrikaans_UOLSE_VWorW,POL_Afrikaans_UOLSE_NWorNAA,POL_Afrikaans_UOLSE_Tot,POL_Afrikaans_NS,POL_Afrikaans_Tot,POL_Arabic_SEO,POL_Arabic_UOLSE_VWorW,POL_Arabic_UOLSE_NWorNAA,POL_Arabic_UOLSE_Tot,POL_Arabic_NS,POL_Arabic_Tot,POL_AIndLng_SEO,POL_AIndLng_UOLSE_VWorW,POL_AIndLng_UOLSE_NWorNAA,POL_AIndLng_UOLSE_Tot,POL_AIndLng_NS,POL_AIndLng_Tot,POL_CL_Canton_SEO,POL_CL_Canton_UOLSE_VWorW,POL_CL_Canton_UOLSE_NWorNAA,POL_CL_Canton_UOLSE_Tot,POL_CL_Canton_NS,POL_CL_Canton_Tot,POL_CL_Mandarin_SEO,POL_CL_Mandarin_UOLSE_VWorW,POL_CL_Mandarin_UOLSE_NWorNAA,POL_CL_Mandarin_UOLSE_Tot,POL_CL_Mandarin_NS,POL_CL_Mandarin_Tot
1000,0,61,..,1649,174,1824,17,1849,..,1106,111,1212,18,1233,..,321,30,357,0,358,..,67,17,89,0,87,..,130,42,177,0,181,..,128,12,143,0,143,..,366,40,398,10,409,..,61,9,64,3,67,..,224,14,245,5,252,..,300,26,325,0,327,..,242,17,259,3,267,..,71,5,77,0,80,..,168,20,190,5,196,..,621,21,643,6,644,..,209,11,221,3,225,..,789,21,810,5,815,..,248,41,287,10,294,..,1862,91,1959,23,1979,..,982,65,1049,17,1063,..,114,8,115,0,117,..,649,126,775,8,779,..,80,3,86,3,87,..,273,111,387,3,388,..,3903,424,4328,96,4421,..,17780,2099,19879,300,20177,..,1208,88,1296,39787,41084,448603,18980,2187,21172,40090,509868,896076,..,..,..,..,896076,..,1022,20,1043,3,1043,..,1295,147,1444,22,1461,..,1356,39,1398,31,1425,..,675,283,955,14,974,..,1394,807,2203,34,2236
1001,0,23,..,980,294,1279,8,1288,..,103,10,115,3,114,..,26,3,23,0,23,..,13,5,20,0,20,..,31,4,33,0,39,..,6,0,6,0,6,..,76,11,83,0,86,..,21,0,21,0,21,..,21,0,21,0,21,..,17,0,17,0,19,..,24,5,28,0,28,..,6,0,3,0,3,..,39,5,43,0,43,..,116,8,124,4,132,..,27,0,28,0,27,..,177,9,184,0,184,..,32,5,32,0,32,..,355,21,370,0,373,..,75,4,82,0,82,..,26,0,32,0,32,..,73,12,89,0,89,..,0,0,7,0,7,..,89,56,142,0,143,..,592,188,780,15,796,..,3188,718,3906,47,3958,..,157,28,196,2386,2577,43873,3352,751,4101,2431,50407,84788,..,..,..,..,84788,..,79,3,87,0,82,..,143,13,150,4,155,..,82,0,88,0,88,..,60,14,72,3,76,..,248,82,327,3,332
1002,0,5,..,311,18,335,5,337,..,14,0,14,0,14,..,26,0,27,0,27,..,0,0,0,0,0,..,8,0,10,0,10,..,0,0,0,0,0,..,23,0,28,0,28,..,26,0,26,0,26,..,3,0,3,0,3,..,13,0,14,0,14,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,34,0,34,0,34,..,9,0,9,0,9,..,36,0,36,0,36,..,10,0,10,0,10,..,94,0,97,0,97,..,40,0,46,0,46,..,14,0,14,0,14,..,13,4,17,0,17,..,4,0,4,0,4,..,43,10,46,0,46,..,314,145,465,4,471,..,1239,218,1453,12,1463,..,60,22,84,1197,1281,9869,1298,238,1536,1207,12607,18828,..,..,..,..,18828,..,17,0,17,0,17,..,113,16,127,0,127,..,39,0,44,0,43,..,50,16,66,0,66,..,138,22,161,0,164
1003,0,3,..,98,6,101,0,101,..,67,3,78,0,78,..,50,10,62,0,60,..,10,0,10,0,10,..,7,0,14,0,14,..,7,0,4,0,4,..,5,4,8,0,8,..,13,0,13,0,13,..,12,0,12,0,12,..,65,4,68,0,71,..,15,0,15,0,15,..,0,0,0,0,0,..,0,0,0,0,0,..,24,0,24,0,23,..,15,0,15,0,15,..,27,4,29,0,29,..,4,0,4,0,4,..,76,0,79,0,80,..,87,6,95,0,95,..,8,0,8,0,8,..,77,15,91,0,91,..,3,0,3,3,10,..,22,5,27,0,27,..,208,19,229,3,238,..,1121,97,1213,13,1232,..,61,7,69,1260,1321,21417,1179,106,1284,1269,23969,41457,..,..,..,..,41457,..,44,4,47,0,47,..,28,0,26,0,26,..,69,0,69,0,68,..,38,16,52,0,52,..,57,9,69,0,69
1004,0,6,..,43,0,48,0,47,..,33,3,29,0,29,..,6,0,8,0,8,..,0,0,3,0,3,..,0,0,0,0,0,..,0,0,0,0,0,..,15,0,17,0,17,..,0,0,0,0,0,..,9,0,15,0,15,..,8,0,8,0,8,..,9,0,11,0,11,..,4,0,4,0,4,..,3,0,6,0,6,..,22,0,22,0,22,..,4,0,4,0,4,..,16,0,22,0,19,..,0,0,0,0,0,..,42,0,47,0,44,..,24,3,29,0,29,..,0,0,0,0,0,..,13,4,18,0,18,..,0,0,0,0,0,..,11,4,12,0,12,..,89,9,102,0,101,..,433,55,486,9,493,..,26,0,29,583,615,7924,461,51,519,594,9027,15359,..,..,..,..,15359,..,17,0,13,0,20,..,5,0,9,0,10,..,47,0,47,0,47,..,16,4,17,0,17,..,37,8,49,0,49
1005,0,8,..,277,28,303,10,311,..,14,3,20,0,20,..,18,0,19,0,19,..,8,4,6,0,6,..,16,5,15,0,15,..,0,0,0,0,0,..,29,0,27,0,33,..,17,8,21,0,21,..,6,0,6,0,6,..,0,0,0,0,0,..,9,0,10,0,10,..,4,0,4,0,4,..,13,0,13,0,11,..,32,0,32,0,34,..,8,0,13,0,13,..,56,4,58,0,58,..,4,0,10,0,10,..,104,7,108,0,111,..,43,0,48,0,48,..,27,3,35,0,29,..,26,18,43,0,43,..,0,0,5,0,5,..,33,5,38,0,38,..,155,15,171,3,171,..,1018,124,1139,25,1161,..,32,4,35,857,892,16744,1054,123,1171,875,18791,32668,..,..,..,..,32668,..,52,0,52,0,52,..,107,10,115,3,124,..,53,0,53,0,52,..,47,23,71,0,69,..,88,5,94,0,94
1006,0,5,..,329,23,355,5,353,..,112,0,113,0,113,..,13,0,16,0,15,..,4,0,9,0,9,..,15,6,19,0,19,..,25,0,23,0,23,..,39,0,40,0,40,..,14,4,13,0,13,..,18,0,19,0,21,..,15,0,15,0,15,..,12,0,12,0,12,..,0,0,0,0,0,..,24,0,24,0,24,..,37,0,40,0,40,..,13,0,14,0,14,..,57,0,57,0,57,..,16,0,15,0,15,..,124,3,128,0,128,..,72,8,79,0,83,..,7,0,7,0,7,..,60,8,61,0,61,..,8,0,11,0,11,..,20,3,27,0,35,..,185,23,207,3,214,..,1523,132,1660,18,1677,..,60,9,67,968,1034,19052,1579,143,1720,992,21763,36393,..,..,..,..,36393,..,56,0,56,0,56,..,68,6,72,0,72,..,6,0,5,0,5,..,67,23,91,0,91,..,152,38,193,3,200
1007,0,0,..,18,4,18,0,20,..,23,4,27,0,27,..,5,0,7,0,7,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,21,4,21,0,21,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,39,3,45,0,45,..,3,0,3,0,3,..,40,3,38,0,38,..,13,0,9,0,9,..,88,9,98,0,98,..,0,0,0,0,0,..,0,4,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,6,0,6,0,6,..,69,0,72,0,77,..,299,29,327,3,334,..,20,0,23,729,753,7938,319,38,355,735,9020,15480,..,..,..,..,15480,..,9,0,9,0,9,..,19,0,28,0,28,..,45,0,52,0,52,..,6,0,3,0,3,..,22,4,23,0,23
1008,0,0,..,11,0,11,0,11,..,61,10,70,0,70,..,39,17,57,0,57,..,0,0,0,0,0,..,5,0,5,0,5,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,6,0,6,0,6,..,82,3,85,0,87,..,11,0,11,0,11,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,7,0,7,..,5,0,5,0,5,..,10,0,10,0,10,..,0,0,0,0,0,..,27,0,27,0,27,..,184,9,191,0,191,..,0,0,0,0,0,..,15,0,20,0,20,..,3,0,3,0,5,..,11,0,10,0,10,..,123,5,126,0,131,..,767,48,818,6,824,..,20,0,27,454,476,4348,787,49,841,462,5648,8469,..,..,..,..,8469,..,9,0,9,0,9,..,12,0,14,0,14,..,5,0,5,0,5,..,3,0,3,0,3,..,21,0,19,0,19
1009,0,0,..,5,0,5,0,5,..,8,0,8,0,8,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,8,0,8,0,8,..,4,0,4,0,4,..,0,0,0,0,0,..,0,0,0,0,0,..,0,0,0,0,0,..,7,0,11,0,11,..,4,0,4,0,4,..,9,0,9,0,9,..,0,0,0,0,0,..,20,0,20,0,20,..,18,6,17,0,17,..,0,0,0,0,0,..,11,0,15,0,15,..,4,0,4,0,4,..,3,3,8,0,8,..,60,7,64,0,64,..,217,22,240,0,242,..,15,0,18,329,351,8920,234,22,259,334,9512,17330,..,..,..,..,17330,..,8,0,8,0,8,..,8,0,8,0,8,..,20,0,22,0,22,..,17,9,30,0,30,..,8,0,5,0,6
