SUA_CODE_2021,P_FoodHospPersServ_Occ_Mng,P_FoodHospPersServ_Occ_Pro,P_FoodHospPersServ_Occ_TTW,P_FoodHospPersServ_Occ_CPS,P_FoodHospPersServ_Occ_CA,P_FoodHospPersServ_Occ_Sal,P_FoodHospPersServ_Occ_MOD,P_FoodHospPersServ_Occ_Lab,P_FoodHospPersServ_Occ_IDNS,P_FoodHospPersServ_Total,P_MixFieldProg_Occ_Mng,P_MixFieldProg_Occ_Pro,P_MixFieldProg_Occ_TTW,P_MixFieldProg_Occ_CPS,P_MixFieldProg_Occ_CA,P_MixFieldProg_Occ_Sal,P_MixFieldProg_Occ_MOD,P_MixFieldProg_Occ_Lab,P_MixFieldProg_Occ_IDNS,P_MixFieldProg_Total,P_FS_ID_Occ_Mng,P_FS_ID_Occ_Pro,P_FS_ID_Occ_TTW,P_FS_ID_Occ_CPS,P_FS_ID_Occ_CA,P_FS_ID_Occ_Sal,P_FS_ID_Occ_MOD,P_FS_ID_Occ_Lab,P_FS_ID_Occ_IDNS,P_FS_ID_Total,P_FS_NS_Occ_Mng,P_FS_NS_Occ_Pro,P_FS_NS_Occ_TTW,P_FS_NS_Occ_CPS,P_FS_NS_Occ_CA,P_FS_NS_Occ_Sal,P_FS_NS_Occ_MOD,P_FS_NS_Occ_Lab,P_FS_NS_Occ_IDNS,P_FS_NS_Total,P_Tot_Occ_Mng,P_Tot_Occ_Pro,P_Tot_Occ_TTW,P_Tot_Occ_CPS,P_Tot_Occ_CA,P_Tot_Occ_Sal,P_Tot_Occ_MOD,P_Tot_Occ_Lab,P_Tot_Occ_IDNS,P_Total_Total
1011,176,41,474,307,167,157,52,180,21,1560,0,3,3,0,0,6,0,17,0,33,54,51,34,37,28,12,13,48,9,294,83,60,92,86,58,48,32,142,97,695,2738,6047,3208,3337,2716,1309,633,1653,294,21936
1012,84,28,231,152,96,77,27,84,10,799,0,3,8,8,0,5,0,4,0,33,16,22,20,25,24,4,13,23,3,156,25,40,54,53,40,35,35,54,72,406,1485,3554,2034,2175,1622,769,531,806,212,13187
1013,42,7,146,88,27,42,6,47,7,414,0,0,0,0,0,0,0,4,0,4,8,8,6,6,4,3,0,10,0,54,20,16,31,39,18,28,5,27,29,206,491,1172,761,863,506,320,113,336,78,4639
1014,48,17,151,101,45,50,29,53,3,486,0,0,0,0,4,5,0,7,0,20,18,17,15,9,13,4,13,5,0,93,16,20,33,27,6,11,21,42,41,215,813,1550,1169,1291,785,379,389,485,130,6996
1015,20,10,95,76,36,33,17,32,0,318,0,0,0,0,0,0,0,0,0,5,5,12,5,5,4,6,7,5,0,54,18,10,17,35,11,10,17,35,23,166,440,1048,651,964,602,280,194,367,67,4617
1016,33,7,114,63,36,20,15,61,6,362,0,0,0,0,0,0,4,10,0,11,9,7,16,13,7,3,13,49,3,121,20,16,36,25,21,16,18,75,55,276,770,1329,1036,713,645,321,273,780,139,6002
1017,26,3,67,48,19,27,14,33,5,232,0,0,0,0,0,0,0,0,0,0,0,5,7,9,3,5,8,3,0,42,11,15,14,30,8,20,14,28,21,158,339,659,455,734,362,202,147,247,55,3191
1018,49,10,166,91,44,57,23,79,4,518,0,3,0,0,0,0,0,0,0,12,13,15,14,16,17,4,9,16,0,107,22,18,34,35,20,23,15,40,35,234,817,2419,1221,1416,1024,486,292,681,115,8474
1019,23,9,58,40,39,14,21,33,3,243,0,0,0,0,0,0,0,0,0,9,5,3,4,4,4,0,3,0,0,37,6,0,14,14,17,10,19,12,16,102,302,583,590,462,376,146,278,215,44,3001
1020,35,6,66,49,40,24,17,17,3,266,0,0,0,0,0,0,0,0,0,4,10,3,16,8,15,4,10,3,8,77,11,7,34,11,11,11,10,15,29,143,560,920,1025,669,613,244,257,248,99,4633
1021,48,14,147,80,56,47,39,56,9,480,3,0,0,0,0,0,0,0,0,7,16,20,10,17,9,6,6,7,8,97,17,13,33,18,18,16,27,27,34,198,961,1938,1503,1098,912,382,412,496,144,7843
1022,31,3,82,57,25,21,34,29,3,282,0,0,0,0,0,0,0,0,0,0,8,4,9,0,4,3,10,7,3,53,10,0,18,15,9,10,21,12,17,120,460,889,850,498,392,204,430,267,58,4064
1023,9,0,61,35,22,24,33,21,0,206,0,0,0,0,0,0,0,0,0,3,5,0,18,3,0,0,14,4,5,56,6,6,21,6,4,9,25,18,25,117,245,511,866,382,337,154,486,255,58,3296
1024,74,18,201,114,45,57,28,57,8,594,0,0,0,0,0,0,0,0,0,3,20,18,18,13,15,0,10,7,9,107,25,32,37,33,20,24,17,15,35,231,1090,1755,1427,1079,869,450,278,443,134,7520
1025,881,301,3023,1737,1128,860,539,877,82,9435,6,13,14,21,24,20,13,26,0,136,254,369,270,237,274,118,235,172,69,1994,338,333,598,466,372,265,390,466,603,3843,20217,50830,27870,22132,20238,8012,8065,8054,2170,167587
1026,84,15,238,159,60,69,40,94,4,773,0,0,3,3,0,4,0,3,0,16,22,24,18,34,16,5,6,17,7,155,27,26,49,52,33,36,25,39,47,338,1237,2436,1983,1910,1130,652,414,771,147,10687
1027,91,29,282,148,100,70,54,89,12,881,3,0,4,5,5,0,0,5,0,20,25,29,25,25,19,10,12,9,4,157,22,43,36,28,37,37,38,55,44,349,1629,4233,2219,1842,1666,611,643,724,177,13740
1028,137,35,338,180,123,97,33,112,14,1066,3,3,0,8,6,5,0,6,0,24,30,37,25,27,26,13,16,10,9,193,37,31,42,49,46,44,19,34,70,372,1849,4714,2183,2290,1847,873,355,787,206,15118
1029,27,6,92,70,24,31,55,31,6,340,0,0,0,0,0,0,0,0,0,4,8,5,8,10,7,5,19,9,9,77,17,3,20,18,16,11,39,16,31,177,542,923,1204,725,598,231,745,273,76,5323
1030,40,11,140,72,35,40,12,37,4,386,0,0,0,0,0,0,0,0,0,4,7,23,9,22,6,0,10,8,3,84,15,9,20,21,4,20,11,18,20,144,649,1241,980,844,552,284,161,343,73,5125
1031,8315,2664,17031,8823,8789,5629,3739,5264,768,61015,143,194,178,177,243,173,172,315,50,1648,4705,6661,2181,2408,4028,1780,1993,1542,857,26145,3815,4684,3959,2945,4272,2336,2730,3040,7932,35708,290689,632576,174844,146787,220773,93061,59441,66878,30243,1715289
1032,96,27,244,164,87,81,50,119,10,877,0,4,0,5,0,5,0,5,0,21,15,25,19,17,18,6,14,26,0,139,34,16,48,45,43,38,33,86,40,391,1394,3398,1992,1867,1453,686,582,1108,155,12635
1033,41,6,144,86,33,35,10,59,3,413,0,0,0,0,0,4,0,3,0,5,6,14,7,13,5,0,5,7,0,59,19,13,34,41,21,29,23,48,27,259,567,1308,904,1207,569,381,254,500,94,5781
1034,50,7,137,65,26,30,11,41,7,368,0,0,0,0,0,3,0,0,0,5,4,5,9,10,0,8,0,9,0,46,16,5,22,17,18,15,9,24,11,135,625,1085,882,616,446,308,108,321,64,4461
1035,124,39,311,244,117,101,43,134,8,1130,5,5,6,13,10,7,0,14,0,58,37,41,30,38,29,14,15,24,6,238,35,31,66,59,42,32,41,71,72,464,2202,5496,2948,2698,2150,952,661,1095,249,18455
1036,555,150,1412,874,637,413,287,473,49,4856,6,9,0,12,6,15,6,10,3,69,175,275,145,151,165,57,122,102,44,1223,174,193,316,250,226,143,199,241,346,2089,12629,30208,16193,13259,12079,4703,4636,4964,1444,100116
