SUA_CODE_2021,Sme_Usl_ad_5_yr_ago_as_2021_M,Sme_Usl_ad_5_yr_ago_as_2021_F,Sme_Usl_ad_5_yr_ago_as_2021_P,Dif_Usl_ad_5_yr_ago_Sme_SA2_M,Dif_Usl_ad_5_yr_ago_Sme_SA2_F,Dif_Usl_ad_5_yr_ago_Sme_SA2_P,Dif_Us_ad_5_ago_Dif_SA2_NSW_M,Dif_Us_ad_5_ago_Dif_SA2_NSW_F,Dif_Us_ad_5_ago_Dif_SA2_NSW_P,Dif_Us_ad_5_ago_Dif_SA2_Vic_M,Dif_Us_ad_5_ago_Dif_SA2_Vic_F,Dif_Us_ad_5_ago_Dif_SA2_Vic_P,Dif_Us_ad_5_ago_Dif_SA2_Qld_M,Dif_Us_ad_5_ago_Dif_SA2_Qld_F,Dif_Us_ad_5_ago_Dif_SA2_Qld_P,Dif_Us_ad_5_ago_Dif_SA2_SA_M,Dif_Us_ad_5_ago_Dif_SA2_SA_F,Dif_Us_ad_5_ago_Dif_SA2_SA_P,Dif_Us_ad_5_ago_Dif_SA2_WA_M,Dif_Us_ad_5_ago_Dif_SA2_WA_F,Dif_Us_ad_5_ago_Dif_SA2_WA_P,Dif_Us_ad_5_ago_Dif_SA2_Tas_M,Dif_Us_ad_5_ago_Dif_SA2_Tas_F,Dif_Us_ad_5_ago_Dif_SA2_Tas_P,Dif_Us_ad_5_ago_Dif_SA2_NT_M,Dif_Us_ad_5_ago_Dif_SA2_NT_F,Dif_Us_ad_5_ago_Dif_SA2_NT_P,Dif_Us_ad_5_ago_Dif_SA2_ACT_M,Dif_Us_ad_5_ago_Dif_SA2_ACT_F,Dif_Us_ad_5_ago_Dif_SA2_ACT_P,Dif_Us_ad_5_ago_Dif_SA2_OT_M,Dif_Us_ad_5_ago_Dif_SA2_OT_F,Dif_Us_ad_5_ago_Dif_SA2_OT_P,Dif_Us_ad_5_ago_Dif_SA2_Tot_M,Dif_Us_ad_5_ago_Dif_SA2_Tot_F,Dif_Us_ad_5_ago_Dif_SA2_Tot_P,Difnt_Usl_add_5_yr_ago_OS_M,Difnt_Usl_add_5_yr_ago_OS_F,Difnt_Usl_add_5_yr_ago_OS_P,Difnt_Usl_add_5_yr_ago_Ns_M,Difnt_Usl_add_5_yr_ago_Ns_F,Difnt_Usl_add_5_yr_ago_Ns_P,Difnt_Usl_add_5_yr_ago_Tot_M,Difnt_Usl_add_5_yr_ago_Tot_F,Difnt_Usl_add_5_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
1000,275324,271252,546577,45777,49298,95074,82177,85943,168124,5942,6361,12302,7810,8349,16162,815,869,1686,1337,1326,2662,408,404,814,739,734,1469,4586,4769,9347,19,17,38,103837,108770,212604,6743,7233,13977,3108,2660,5772,159464,167958,327422,50331,44638,94961,485122,483849,968966
1001,22510,24092,46605,3802,4184,7983,5975,6630,12602,6032,6532,12562,844,810,1652,144,129,270,202,202,405,114,113,225,163,162,330,171,172,344,0,3,4,13642,14754,28393,1093,1179,2272,433,340,769,18962,20450,39414,2801,2787,5589,44279,47326,91611
1002,4728,5173,9901,2026,2113,4139,1541,1910,3446,71,97,169,239,310,549,26,31,62,47,52,97,9,8,25,23,36,61,31,45,70,0,0,4,1992,2482,4476,770,885,1648,69,55,124,4850,5537,10389,1090,1268,2360,10675,11977,22651
1003,11331,11957,23293,2255,2553,4805,4299,4876,9170,296,324,614,661,770,1429,31,38,69,79,77,153,16,24,43,60,55,112,44,40,76,0,0,0,5472,6205,11675,504,551,1049,182,164,346,8408,9474,17878,1337,1479,2823,21080,22915,43990
1004,4018,4310,8323,774,807,1583,1818,2034,3851,91,104,195,92,110,198,15,19,33,20,28,44,7,9,17,16,13,25,350,355,703,0,0,0,2404,2667,5070,122,134,264,60,53,108,3362,3659,7023,721,699,1420,8098,8668,16771
1005,8410,8691,17105,1859,1920,3775,4690,5207,9905,81,79,167,136,167,306,30,37,63,32,24,56,11,22,35,16,19,36,25,30,60,0,0,0,5024,5600,10622,328,374,704,151,139,285,7362,8022,15383,1711,1015,2726,17485,17733,35215
1006,9860,10824,20685,1740,1862,3600,5260,5835,11091,49,58,102,122,150,270,20,18,39,43,38,79,9,21,31,8,16,26,49,86,135,4,6,8,5561,6219,11780,500,536,1037,109,97,204,7913,8709,16624,1005,1168,2172,18781,20700,39476
1007,5029,5163,10186,1192,1443,2641,426,473,892,80,81,164,91,82,168,181,197,380,37,37,74,16,22,37,14,17,30,9,10,11,0,0,0,846,900,1752,124,128,253,55,55,115,2218,2534,4761,828,841,1670,8077,8541,16620
1008,2158,2192,4351,575,574,1146,739,872,1611,218,263,473,145,162,308,15,24,38,35,30,60,5,5,12,6,6,14,20,7,29,0,0,0,1179,1370,2550,551,687,1236,76,87,159,2376,2709,5089,492,505,999,5023,5414,10437
1009,4834,5099,9941,976,1070,2043,1936,2145,4084,84,83,164,140,148,286,12,9,26,33,30,60,6,8,16,18,13,30,28,31,63,0,0,0,2256,2474,4731,76,99,182,62,52,112,3372,3693,7066,458,438,894,8666,9233,17903
1010,88792,93982,182772,10680,11484,22160,41163,44873,86038,548,593,1136,863,1033,1896,128,129,259,260,291,551,86,98,185,85,100,182,179,193,373,0,0,4,43301,47320,90619,2942,3247,6189,1302,1213,2515,58224,63259,121482,9306,10337,19645,156322,167573,323897
1011,17672,18948,36623,3371,3683,7048,7162,7997,15162,403,472,877,799,888,1687,62,62,124,111,114,226,41,44,87,50,52,105,79,98,182,0,4,6,8723,9742,18463,1260,1422,2685,367,334,708,13719,15180,28896,2361,2480,4843,33756,36604,70360
1012,8635,9357,17985,1703,1936,3636,4569,5197,9772,148,122,273,210,214,425,29,31,59,66,66,135,15,21,34,25,29,52,36,38,71,0,0,0,5106,5718,10817,605,627,1229,204,187,386,7612,8463,16077,1730,1720,3449,17980,19538,37515
1013,5211,5753,10966,1095,1269,2367,2189,2453,4640,51,57,104,92,115,209,3,7,12,18,27,47,7,5,18,8,8,17,23,26,48,0,0,0,2397,2699,5096,129,151,284,74,102,178,3690,4227,7919,691,809,1502,9599,10788,20388
1014,5818,6074,11893,2085,2335,4424,1592,1751,3349,59,64,123,96,105,196,21,9,32,29,24,52,3,4,5,9,6,13,129,175,305,0,0,0,1939,2139,4078,300,272,567,77,99,181,4402,4843,9247,1216,759,1975,11436,11678,23114
1015,4804,5042,9851,1429,1669,3097,1155,1347,2498,44,58,107,242,262,498,11,9,24,13,21,28,10,7,19,9,18,28,3,8,12,0,3,3,1493,1725,3221,75,99,173,83,89,171,3087,3577,6665,791,824,1620,8681,9451,18132
1016,5040,5227,10267,1506,1579,3084,905,970,1869,163,136,293,81,98,177,25,19,49,17,29,45,8,10,19,3,10,18,22,38,59,0,0,0,1225,1308,2531,911,818,1726,66,37,98,3703,3739,7439,756,729,1486,9495,9695,19185
1017,3757,4063,7822,1015,1174,2187,997,1110,2109,29,22,50,96,108,197,6,5,12,10,3,18,6,9,14,12,13,22,4,7,10,0,0,0,1156,1285,2438,40,52,91,64,56,124,2275,2570,4845,1396,741,2143,7431,7378,14809
1018,6840,7449,14294,1347,1525,2871,2923,3122,6042,121,133,258,368,410,772,27,32,58,28,41,61,20,15,39,31,39,71,11,19,29,0,0,0,3536,3798,7331,270,272,543,135,148,277,5292,5741,11028,978,1038,2017,13102,14229,27334
1019,3323,3472,6792,787,820,1612,885,944,1826,17,11,28,52,44,95,10,11,15,9,7,17,5,5,8,0,0,0,3,0,4,0,0,0,975,1025,1996,51,80,130,21,11,34,1833,1939,3768,784,467,1246,5937,5875,11811
1020,3833,3765,7599,766,785,1549,1652,1656,3310,66,72,137,148,148,297,29,27,57,23,36,55,7,7,12,35,30,63,29,28,57,0,0,0,1995,2007,3997,77,88,167,62,47,110,2893,2917,5813,382,314,697,7112,6995,14106
1021,6721,6966,13690,1049,1191,2246,3797,4057,7858,49,70,116,115,132,247,14,17,32,33,37,73,9,11,26,9,10,19,24,25,52,0,0,0,4053,4365,8414,165,185,348,123,130,250,5394,5871,11260,624,703,1318,12732,13531,26265
1022,2635,2737,5376,1023,1080,2099,1295,1399,2693,25,32,53,118,130,246,12,7,21,31,32,60,5,4,5,11,18,27,3,9,12,0,0,0,1492,1628,3120,95,109,198,45,40,82,2654,2854,5509,383,397,778,5668,5990,11661
1023,2800,2749,5547,965,972,1930,1039,1120,2157,9,15,29,120,122,244,19,19,34,29,17,48,11,8,11,10,9,13,3,0,5,0,0,0,1237,1304,2541,102,104,209,84,63,149,2387,2440,4823,687,395,1080,5866,5587,11453
1024,6826,7290,14119,1720,1926,3645,2963,3216,6179,137,138,274,162,188,348,30,29,64,54,44,97,12,30,42,30,27,57,52,61,110,0,0,0,3440,3737,7175,315,321,638,90,89,181,5565,6069,11632,806,863,1666,13201,14224,27423
1025,128578,133077,261652,15929,17066,32994,63339,68828,132171,1203,1280,2488,2055,2250,4302,433,445,875,544,520,1062,191,206,401,404,381,790,567,592,1159,15,11,28,68749,74514,143263,5298,5684,10983,2144,2027,4173,92126,99286,191410,13612,12268,25882,234312,244633,478943
1026,9194,9554,18742,1862,2120,3989,3775,4070,7843,142,139,283,199,191,391,39,40,80,76,57,135,12,19,32,23,27,49,99,97,189,10,4,11,4377,4641,9015,353,374,724,167,151,317,6763,7282,14054,2120,1382,3498,18073,18222,36298
1027,9360,10056,19417,2362,2532,4897,4650,5131,9781,119,114,231,227,234,465,50,54,103,48,61,111,14,25,38,33,29,59,53,71,123,0,0,5,5196,5715,10910,455,516,973,181,146,323,8189,8915,17105,1202,1247,2449,18747,20213,38965
1028,11199,12400,23600,1972,2186,4158,6372,7456,13824,267,316,580,431,493,926,38,46,87,59,65,120,39,52,89,39,45,79,115,111,223,0,0,0,7361,8578,15939,521,580,1101,196,243,438,10048,11580,21633,1278,1389,2673,22528,25371,47902
1029,4004,3916,7921,1382,1474,2860,1418,1400,2815,101,48,148,335,204,539,41,22,64,52,41,98,26,9,33,34,19,51,23,8,25,0,0,0,2037,1742,3774,141,124,264,69,48,120,3636,3385,7021,598,378,972,8234,7685,15916
1030,4946,5221,10170,993,1125,2118,2132,2367,4502,54,62,109,99,98,199,7,11,19,33,40,68,8,8,16,20,27,48,90,97,183,7,9,20,2453,2715,5172,136,128,270,75,58,136,3657,4035,7694,652,642,1296,9267,9896,19163
1031,1185200,1234516,2419721,118276,120464,238743,570647,581997,1152643,11961,11678,23638,12685,12472,25161,3655,3635,7292,5544,5140,10683,949,951,1900,1214,1033,2250,3827,3806,7637,48,39,77,610531,620749,1231281,186134,190301,376436,16236,14030,30269,931169,945551,1876723,124679,119507,244186,2241055,2299575,4540630
1032,9605,10302,19911,2315,2549,4861,4742,5150,9894,106,85,188,289,350,641,43,36,77,37,46,80,12,19,29,20,20,35,16,23,37,0,0,0,5268,5722,10991,758,735,1489,165,161,329,8503,9167,17677,1688,1780,3471,19799,21256,41052
1033,6457,7048,13506,1718,1946,3665,2114,2336,4447,44,58,104,128,139,265,13,11,27,13,18,34,12,13,19,17,17,33,8,14,20,0,0,3,2346,2606,4949,152,169,322,111,102,209,4328,4819,9148,1200,1265,2468,11985,13138,25123
1034,4189,4516,8705,1133,1244,2380,1511,1659,3170,60,66,123,71,80,149,11,19,28,21,19,39,3,4,10,8,12,21,97,104,199,0,0,0,1774,1967,3743,114,114,233,38,41,80,3062,3362,6427,549,532,1077,7801,8412,16216
1035,12952,13785,26734,2333,2689,5030,5958,6843,12802,447,544,991,442,431,869,135,142,275,76,91,163,21,27,44,70,53,121,200,203,405,0,0,0,7347,8337,15680,1098,1096,2194,229,201,433,11007,12324,23329,1553,1622,3176,25517,27725,53240
1036,83174,86044,169212,9912,10341,20251,33406,35826,69236,611,657,1259,758,822,1579,132,151,281,252,254,502,74,83,156,96,92,187,381,431,816,0,5,5,35695,38328,74023,4001,3870,7866,1024,942,1964,50630,53480,104113,7318,7647,14962,141119,147169,288292
