SUA_CODE_2021,F_GrpH_Mem_0_14,F_GrpH_Mem_15_24,F_GrpH_Mem_25_34,F_GrpH_Mem_35_44,F_GrpH_Mem_45_54,F_GrpH_Mem_55_64,F_GrpH_Mem_65_74,F_GrpH_Mem_75_84,F_GrpH_Mem_85ov,F_GrpH_Mem_Tot,F_LonePsn_0_14,F_LonePsn_15_24,F_LonePsn_25_34,F_LonePsn_35_44,F_LonePsn_45_54,F_LonePsn_55_64,F_LonePsn_65_74,F_LonePsn_75_84,F_LonePsn_85ov,F_LonePsn_Tot,F_Vis_within_Aus_0_14,F_Vis_within_Aus_15_24,F_Vis_within_Aus_25_34,F_Vis_within_Aus_35_44,F_Vis_within_Aus_45_54,F_Vis_within_Aus_55_64,F_Vis_within_Aus_65_74,F_Vis_within_Aus_75_84,F_Vis_within_Aus_85ov,F_Vis_within_Aus_Tot,F_Tot_0_14,F_Tot_15_24,F_Tot_25_34,F_Tot_35_44,F_Tot_45_54,F_Tot_55_64,F_Tot_65_74,F_Tot_75_84,F_Tot_85ov,F_Tot_Tot,P_Ptn_in_RM_0_14,P_Ptn_in_RM_15_24,P_Ptn_in_RM_25_34,P_Ptn_in_RM_35_44,P_Ptn_in_RM_45_54,P_Ptn_in_RM_55_64,P_Ptn_in_RM_65_74,P_Ptn_in_RM_75_84,P_Ptn_in_RM_85ov,P_Ptn_in_RM_Tot,P_Ptn_in_DFM_0_14,P_Ptn_in_DFM_15_24,P_Ptn_in_DFM_25_34,P_Ptn_in_DFM_35_44,P_Ptn_in_DFM_45_54,P_Ptn_in_DFM_55_64,P_Ptn_in_DFM_65_74,P_Ptn_in_DFM_75_84,P_Ptn_in_DFM_85ov,P_Ptn_in_DFM_Tot,P_LonePnt_0_14,P_LonePnt_15_24,P_LonePnt_25_34,P_LonePnt_35_44,P_LonePnt_45_54,P_LonePnt_55_64,P_LonePnt_65_74,P_LonePnt_75_84,P_LonePnt_85ov,P_LonePnt_Tot,P_CU15_0_14,P_CU15_15_24,P_CU15_25_34,P_CU15_35_44,P_CU15_45_54,P_CU15_55_64,P_CU15_65_74,P_CU15_75_84,P_CU15_85ov,P_CU15_Tot,P_DpStu_0_14,P_DpStu_15_24,P_DpStu_25_34,P_DpStu_35_44,P_DpStu_45_54,P_DpStu_55_64,P_DpStu_65_74,P_DpStu_75_84,P_DpStu_85ov,P_DpStu_Tot,P_NDpChl_0_14,P_NDpChl_15_24,P_NDpChl_25_34,P_NDpChl_35_44,P_NDpChl_45_54,P_NDpChl_55_64,P_NDpChl_65_74,P_NDpChl_75_84,P_NDpChl_85ov,P_NDpChl_Tot,P_OthRI_0_14,P_OthRI_15_24,P_OthRI_25_34,P_OthRI_35_44,P_OthRI_45_54,P_OthRI_55_64,P_OthRI_65_74,P_OthRI_75_84,P_OthRI_85ov,P_OthRI_Tot,P_URI_in_FH_0_14,P_URI_in_FH_15_24,P_URI_in_FH_25_34,P_URI_in_FH_35_44,P_URI_in_FH_45_54,P_URI_in_FH_55_64,P_URI_in_FH_65_74,P_URI_in_FH_75_84,P_URI_in_FH_85ov,P_URI_in_FH_Tot,P_GrpH_Mem_0_14,P_GrpH_Mem_15_24,P_GrpH_Mem_25_34,P_GrpH_Mem_35_44,P_GrpH_Mem_45_54,P_GrpH_Mem_55_64,P_GrpH_Mem_65_74,P_GrpH_Mem_75_84,P_GrpH_Mem_85ov,P_GrpH_Mem_Tot,P_LonePsn_0_14,P_LonePsn_15_24,P_LonePsn_25_34,P_LonePsn_35_44,P_LonePsn_45_54,P_LonePsn_55_64,P_LonePsn_65_74,P_LonePsn_75_84,P_LonePsn_85ov,P_LonePsn_Tot,P_Vis_within_Aus_0_14,P_Vis_within_Aus_15_24,P_Vis_within_Aus_25_34,P_Vis_within_Aus_35_44,P_Vis_within_Aus_45_54,P_Vis_within_Aus_55_64,P_Vis_within_Aus_65_74,P_Vis_within_Aus_75_84,P_Vis_within_Aus_85ov,P_Vis_within_Aus_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
1000,..,1303,1618,688,1304,2217,1688,578,168,9566,..,1265,2464,2180,4633,10760,13285,11395,5576,51560,1433,2041,1484,901,1080,1654,1418,674,281,10969,79965,43822,45902,50448,60404,71005,62216,33057,10537,457346,..,1258,29073,53596,66589,81264,77940,37560,6498,353780,..,8826,23758,16586,16628,15084,8506,2255,271,91915,..,1287,6090,9001,10039,5950,3403,2538,1795,40107,162206,..,..,..,..,..,..,..,..,162206,..,33623,..,..,..,..,..,..,..,33623,..,29631,12352,5258,4206,2686,505,14,0,54655,..,3593,1805,986,1558,3096,3681,2470,1372,18557,..,2736,2348,1136,1174,1093,674,239,66,9468,..,2754,3783,1692,2770,4455,3825,1352,297,20929,..,2792,6216,6112,11536,23072,26093,18506,7975,102301,2873,3964,3499,2435,2624,3240,2880,1288,422,23221,165082,90458,88926,96800,117112,139943,127512,66224,18709,910766
1001,..,414,295,82,113,156,98,40,4,1202,..,278,603,461,660,1228,1495,1226,597,6546,118,152,114,73,86,84,96,46,15,778,8838,5309,6226,5976,5760,5705,4942,2877,948,46586,..,140,3878,6177,5944,6135,5590,2779,540,31195,..,1269,3228,1715,1306,908,420,159,12,9017,..,188,865,1305,1315,596,286,226,119,4896,17652,..,..,..,..,..,..,..,..,17652,..,3713,..,..,..,..,..,..,..,3713,..,2965,1158,400,295,172,31,0,0,5020,..,441,306,141,136,265,241,127,75,1730,..,335,293,103,64,37,20,6,3,865,..,830,816,210,280,311,236,71,13,2778,..,531,1359,1095,1484,2216,2374,1704,797,11558,231,310,263,208,166,145,176,67,24,1583,17885,10729,12160,11357,11004,10787,9366,5138,1583,90005
1002,..,192,116,20,26,31,21,10,0,418,..,83,168,115,170,316,346,318,173,1685,54,210,50,19,32,17,21,18,10,436,1936,1515,1475,1238,1262,1303,1067,743,282,10821,..,62,903,1299,1236,1339,1180,719,158,6898,..,343,651,310,271,229,100,26,0,1934,..,32,179,263,262,144,61,53,31,1032,3764,..,..,..,..,..,..,..,..,3764,..,905,..,..,..,..,..,..,..,905,..,548,241,93,66,49,5,0,0,997,..,118,77,32,34,50,52,23,24,417,..,84,69,26,14,9,0,4,0,206,..,365,263,65,61,58,44,20,4,879,..,158,332,272,338,571,543,444,225,2881,104,343,91,53,62,39,42,18,16,770,3865,2968,2803,2402,2336,2493,2025,1316,464,20676
1003,..,93,183,65,78,148,94,49,5,717,..,48,94,114,236,578,829,741,438,3081,59,53,56,39,37,53,75,27,16,406,3405,1941,2123,2569,2960,3193,3267,1946,784,22186,..,47,1095,2522,2965,3280,3752,2093,479,16228,..,301,1148,943,786,655,396,119,17,4353,..,32,208,493,649,333,169,141,103,2137,7030,..,..,..,..,..,..,..,..,7030,..,1639,..,..,..,..,..,..,..,1639,..,1341,523,246,212,162,25,0,0,2513,..,150,113,59,82,122,186,99,88,897,..,166,210,98,70,49,32,7,0,631,..,177,366,158,193,280,192,80,10,1464,..,84,202,309,502,1068,1332,1055,595,5145,107,118,105,83,91,92,119,46,26,786,7139,4045,3974,4914,5554,6044,6195,3634,1325,42822
1004,..,18,28,20,23,43,30,16,6,181,..,16,54,35,107,261,355,302,134,1267,17,14,10,13,16,31,28,19,5,152,1172,647,671,747,958,1379,1484,843,253,8151,..,24,346,663,878,1332,1837,938,173,6190,..,128,357,251,268,312,190,58,11,1576,..,34,127,184,229,125,70,50,31,854,2332,..,..,..,..,..,..,..,..,2332,..,463,..,..,..,..,..,..,..,463,..,445,197,94,92,57,13,0,0,903,..,77,24,23,28,64,56,45,32,353,..,47,33,12,26,7,8,3,4,144,..,34,73,38,53,93,68,28,5,389,..,44,111,115,269,462,621,450,186,2251,30,42,30,26,44,61,61,32,13,349,2363,1343,1304,1415,1882,2504,2918,1612,458,15799
1005,..,214,106,31,45,47,39,6,4,496,..,117,203,112,227,404,450,432,214,2161,34,85,52,25,23,33,37,22,10,319,3270,2150,2355,2056,2148,2058,1733,1007,380,17161,..,71,1440,2096,2214,2194,2046,1031,216,11318,..,550,1231,658,458,342,132,44,3,3414,..,71,336,479,522,253,114,86,50,1909,6645,..,..,..,..,..,..,..,..,6645,..,1497,..,..,..,..,..,..,..,1497,..,1144,472,164,110,86,16,0,0,1986,..,188,130,31,60,96,109,66,40,725,..,124,110,39,42,22,11,5,0,362,..,416,266,91,102,114,96,22,3,1112,..,222,466,348,518,764,739,608,275,3939,84,154,114,59,69,63,49,32,17,639,6726,4452,4574,3960,4087,3942,3308,1889,613,33546
1006,..,59,57,33,48,62,63,31,5,350,..,24,82,93,203,465,834,768,317,2783,47,73,34,34,33,51,34,28,19,361,3357,1841,1901,2123,2646,2714,3021,2075,601,20288,..,51,1533,2616,2993,3104,3415,2302,439,16442,..,264,809,546,602,450,335,122,16,3130,..,35,129,292,497,293,142,128,101,1611,6682,..,..,..,..,..,..,..,..,6682,..,1652,..,..,..,..,..,..,..,1652,..,1295,586,224,194,118,23,0,0,2451,..,118,99,41,59,121,121,140,55,754,..,109,162,37,46,22,29,8,3,413,..,101,163,84,95,126,119,63,10,764,..,51,174,212,430,793,1175,1025,426,4285,87,119,93,64,59,76,71,47,26,645,6768,3779,3747,4114,4968,5111,5430,3826,1080,38828
1007,..,30,36,12,24,35,20,12,0,165,..,53,105,78,139,278,311,278,168,1414,42,46,32,18,18,37,33,16,5,244,1361,788,1017,867,909,1224,1037,640,267,8108,..,8,410,660,782,1148,1082,570,136,4800,..,221,606,308,234,223,98,29,0,1720,..,38,228,255,228,131,93,54,36,1066,2633,..,..,..,..,..,..,..,..,2633,..,441,..,..,..,..,..,..,..,441,..,558,243,117,98,69,9,0,0,1093,..,109,46,30,38,70,58,27,18,397,..,48,19,12,11,8,5,5,0,111,..,49,75,29,47,61,44,24,6,337,..,114,253,200,336,579,593,409,220,2712,94,71,64,54,35,68,63,27,5,478,2721,1666,1943,1668,1814,2358,2043,1132,432,15777
1008,..,119,364,108,43,43,41,9,0,726,..,9,61,66,80,117,173,83,35,618,0,17,30,17,18,23,14,4,3,130,671,429,967,769,612,605,542,200,65,4871,..,4,165,515,506,525,497,187,28,2428,..,52,464,348,230,177,107,16,3,1392,..,4,25,90,122,75,36,18,14,386,1328,..,..,..,..,..,..,..,..,1328,..,256,..,..,..,..,..,..,..,256,..,166,89,44,25,16,5,0,0,342,..,26,17,7,9,18,34,23,10,141,..,49,176,55,20,22,11,0,0,331,..,165,685,229,105,92,71,15,0,1354,..,23,100,147,167,239,278,145,43,1151,6,28,63,42,30,44,37,5,3,244,1332,761,1770,1486,1218,1197,1085,402,98,9350
1009,..,4,5,6,19,55,39,32,10,175,..,9,29,30,70,226,369,349,203,1291,23,22,14,11,19,31,32,16,6,178,1135,631,517,755,1045,1536,1791,1153,377,8941,..,12,310,748,1079,1632,2345,1398,274,7792,..,93,272,227,313,336,241,112,18,1601,..,15,71,153,211,115,51,52,60,725,2266,..,..,..,..,..,..,..,..,2266,..,574,..,..,..,..,..,..,..,574,..,515,187,94,94,82,23,0,0,983,..,47,16,8,23,50,56,51,41,299,..,49,34,13,23,23,13,5,0,166,..,18,19,21,44,113,92,52,10,362,..,20,50,62,174,412,664,575,277,2233,40,50,35,30,33,54,61,33,5,344,2306,1392,997,1353,1998,2803,3539,2281,677,17350
