SUA_CODE_2021,M_Tot_15_19,M_Tot_20_24,M_Tot_25_34,M_Tot_35_44,M_Tot_45_54,M_Tot_55_64,M_Tot_65_74,M_Tot_75_84,M_Tot_85ov,M_Tot_Tot,F_Ag_For_Fshg_15_19,F_Ag_For_Fshg_20_24,F_Ag_For_Fshg_25_34,F_Ag_For_Fshg_35_44,F_Ag_For_Fshg_45_54,F_Ag_For_Fshg_55_64,F_Ag_For_Fshg_65_74,F_Ag_For_Fshg_75_84,F_Ag_For_Fshg_85ov,F_Ag_For_Fshg_Tot,F_Mining_15_19,F_Mining_20_24,F_Mining_25_34,F_Mining_35_44,F_Mining_45_54,F_Mining_55_64,F_Mining_65_74,F_Mining_75_84,F_Mining_85ov,F_Mining_Tot,F_Manufact_15_19,F_Manufact_20_24,F_Manufact_25_34,F_Manufact_35_44,F_Manufact_45_54,F_Manufact_55_64,F_Manufact_65_74,F_Manufact_75_84,F_Manufact_85ov,F_Manufact_Tot,F_El_Gas_Wt_Waste_15_19,F_El_Gas_Wt_Waste_20_24,F_El_Gas_Wt_Waste_25_34,F_El_Gas_Wt_Waste_35_44,F_El_Gas_Wt_Waste_45_54,F_El_Gas_Wt_Waste_55_64,F_El_Gas_Wt_Waste_65_74,F_El_Gas_Wt_Waste_75_84,F_El_Gas_Wt_Waste_85ov,F_El_Gas_Wt_Waste_Tot,F_Constru_15_19,F_Constru_20_24,F_Constru_25_34,F_Constru_35_44,F_Constru_45_54,F_Constru_55_64,F_Constru_65_74,F_Constru_75_84,F_Constru_85ov,F_Constru_Tot,F_WhlesaleTde_15_19,F_WhlesaleTde_20_24,F_WhlesaleTde_25_34,F_WhlesaleTde_35_44,F_WhlesaleTde_45_54,F_WhlesaleTde_55_64,F_WhlesaleTde_65_74,F_WhlesaleTde_75_84,F_WhlesaleTde_85ov,F_WhlesaleTde_Tot,F_RetTde_15_19,F_RetTde_20_24,F_RetTde_25_34,F_RetTde_35_44,F_RetTde_45_54,F_RetTde_55_64,F_RetTde_65_74,F_RetTde_75_84,F_RetTde_85ov,F_RetTde_Tot,F_Accom_food_15_19,F_Accom_food_20_24,F_Accom_food_25_34,F_Accom_food_35_44,F_Accom_food_45_54,F_Accom_food_55_64,F_Accom_food_65_74,F_Accom_food_75_84,F_Accom_food_85ov,F_Accom_food_Tot,F_Trans_post_wrehsg_15_19,F_Trans_post_wrehsg_20_24,F_Trans_post_wrehsg_25_34,F_Trans_post_wrehsg_35_44,F_Trans_post_wrehsg_45_54,F_Trans_post_wrehsg_55_64,F_Trans_post_wrehsg_65_74,F_Trans_post_wrehsg_75_84,F_Trans_post_wrehsg_85ov,F_Trans_post_wrehsg_Tot,F_Info_media_teleco_15_19,F_Info_media_teleco_20_24,F_Info_media_teleco_25_34,F_Info_media_teleco_35_44,F_Info_media_teleco_45_54,F_Info_media_teleco_55_64,F_Info_media_teleco_65_74,F_Info_media_teleco_75_84,F_Info_media_teleco_85ov,F_Info_media_teleco_Tot,F_Fin_Insur_15_19,F_Fin_Insur_20_24,F_Fin_Insur_25_34,F_Fin_Insur_35_44,F_Fin_Insur_45_54,F_Fin_Insur_55_64,F_Fin_Insur_65_74,F_Fin_Insur_75_84,F_Fin_Insur_85ov,F_Fin_Insur_Tot,F_RtnHir_REst_15_19,F_RtnHir_REst_20_24,F_RtnHir_REst_25_34,F_RtnHir_REst_35_44,F_RtnHir_REst_45_54,F_RtnHir_REst_55_64,F_RtnHir_REst_65_74,F_RtnHir_REst_75_84,F_RtnHir_REst_85ov,F_RtnHir_REst_Tot,F_Pro_scien_tec_15_19,F_Pro_scien_tec_20_24,F_Pro_scien_tec_25_34,F_Pro_scien_tec_35_44,F_Pro_scien_tec_45_54,F_Pro_scien_tec_55_64,F_Pro_scien_tec_65_74,F_Pro_scien_tec_75_84,F_Pro_scien_tec_85ov,F_Pro_scien_tec_Tot,F_Admin_supp_15_19,F_Admin_supp_20_24,F_Admin_supp_25_34,F_Admin_supp_35_44,F_Admin_supp_45_54,F_Admin_supp_55_64,F_Admin_supp_65_74,F_Admin_supp_75_84,F_Admin_supp_85ov,F_Admin_supp_Tot,F_Public_admin_sfty_15_19,F_Public_admin_sfty_20_24,F_Public_admin_sfty_25_34,F_Public_admin_sfty_35_44,F_Public_admin_sfty_45_54,F_Public_admin_sfty_55_64,F_Public_admin_sfty_65_74,F_Public_admin_sfty_75_84,F_Public_admin_sfty_85ov,F_Public_admin_sfty_Tot,F_Educ_trng_15_19,F_Educ_trng_20_24,F_Educ_trng_25_34,F_Educ_trng_35_44,F_Educ_trng_45_54,F_Educ_trng_55_64,F_Educ_trng_65_74,F_Educ_trng_75_84,F_Educ_trng_85ov,F_Educ_trng_Tot,F_HlthCare_SocAs_15_19,F_HlthCare_SocAs_20_24,F_HlthCare_SocAs_25_34,F_HlthCare_SocAs_35_44,F_HlthCare_SocAs_45_54,F_HlthCare_SocAs_55_64,F_HlthCare_SocAs_65_74,F_HlthCare_SocAs_75_84,F_HlthCare_SocAs_85ov,F_HlthCare_SocAs_Tot,F_Art_recn_15_19,F_Art_recn_20_24,F_Art_recn_25_34,F_Art_recn_35_44,F_Art_recn_45_54,F_Art_recn_55_64,F_Art_recn_65_74,F_Art_recn_75_84,F_Art_recn_85ov,F_Art_recn_Tot,F_Oth_scs_15_19,F_Oth_scs_20_24,F_Oth_scs_25_34,F_Oth_scs_35_44,F_Oth_scs_45_54,F_Oth_scs_55_64,F_Oth_scs_65_74,F_Oth_scs_75_84,F_Oth_scs_85ov,F_Oth_scs_Tot
1015,267,345,740,676,684,651,172,37,5,3581,0,0,4,13,8,12,14,6,0,59,0,0,0,0,0,0,0,0,0,0,3,5,13,13,8,20,4,0,0,70,0,0,0,9,4,5,0,0,0,22,0,0,14,15,20,8,6,0,0,67,0,3,3,6,7,0,0,0,0,27,78,64,87,67,81,65,21,0,0,456,91,67,61,45,35,44,8,0,0,346,0,4,7,14,7,19,3,0,0,58,0,4,6,8,3,4,0,0,0,28,0,3,15,18,17,10,4,0,0,77,0,5,17,8,5,7,0,0,0,50,3,7,22,29,19,14,11,0,0,106,3,10,22,21,26,30,8,0,0,123,3,26,77,93,103,47,13,0,0,355,7,28,86,120,108,96,15,0,0,463,9,89,226,194,239,226,35,0,0,1025,0,3,10,5,6,10,0,0,0,43,9,12,26,23,31,19,6,0,0,127
1016,311,476,1304,1128,958,869,294,47,4,5392,6,17,64,62,60,41,19,4,0,270,0,0,0,0,0,0,0,0,0,0,26,52,227,168,140,86,19,0,0,721,0,0,6,13,5,4,0,0,0,33,0,10,15,11,16,11,7,0,0,76,4,4,17,11,15,16,8,0,0,84,150,67,115,99,115,94,29,0,0,661,66,46,66,36,45,52,14,6,0,332,0,4,12,6,14,14,3,0,0,57,0,4,7,3,3,0,0,0,0,19,7,3,19,20,23,12,3,0,0,91,0,6,7,5,9,10,4,0,0,34,3,21,70,42,37,33,10,6,0,208,3,6,41,39,26,36,6,5,0,156,0,10,50,54,47,35,0,0,0,201,10,25,120,123,116,83,31,3,0,511,16,76,238,259,197,181,49,9,0,1024,10,6,8,9,3,0,0,0,0,37,16,22,52,30,18,22,10,0,0,166
1017,199,228,483,429,492,443,163,20,5,2468,0,5,5,5,6,13,9,9,0,44,0,0,0,0,0,0,0,0,0,0,3,3,18,11,17,9,4,0,0,67,0,0,4,3,0,0,0,0,0,12,5,3,15,13,12,13,0,0,0,58,0,3,4,0,3,4,0,0,0,18,55,40,63,60,60,54,15,4,0,344,91,46,32,33,28,27,3,0,0,261,0,3,8,4,8,13,3,0,0,43,8,0,0,0,0,4,0,0,0,8,3,3,5,10,12,11,0,0,0,43,0,0,4,5,5,3,0,0,0,24,0,9,17,17,9,16,5,0,0,72,0,5,20,41,14,20,9,0,0,108,0,8,25,41,33,27,7,0,0,146,7,24,54,72,94,67,16,0,0,337,21,63,153,171,205,196,55,3,0,850,0,4,3,4,3,3,4,0,0,17,0,4,23,19,15,11,10,0,0,78
1018,454,566,1310,1237,1225,1114,324,45,6,6281,13,10,23,13,31,7,4,4,0,100,0,0,0,0,0,0,0,0,0,0,14,20,42,42,35,48,8,0,0,210,0,0,8,8,0,9,0,0,0,20,0,4,30,18,16,23,3,0,0,94,0,5,13,3,16,9,5,0,0,58,159,117,156,135,144,104,23,0,0,841,155,78,96,57,53,51,13,0,0,503,0,0,3,12,16,18,3,0,0,65,3,6,11,6,12,0,0,0,0,37,0,12,34,26,18,24,4,0,0,127,0,4,18,17,13,14,9,0,0,70,8,32,60,69,65,44,13,0,0,292,6,19,46,38,51,53,5,0,0,221,6,14,31,57,71,55,14,0,0,243,8,50,159,238,219,178,36,3,0,902,35,135,439,450,492,490,112,3,0,2155,8,7,10,13,20,8,4,0,0,60,8,18,61,37,50,37,11,0,0,236
1019,151,237,499,422,491,443,116,23,5,2383,0,0,0,0,0,0,0,0,0,5,0,0,11,3,0,0,0,0,0,18,0,4,7,10,15,4,0,0,0,42,0,0,0,4,4,3,5,0,0,18,0,3,10,7,7,10,4,0,0,42,0,4,11,9,8,15,0,0,0,45,27,25,59,44,57,53,8,0,0,277,52,42,38,31,33,40,8,0,0,245,0,4,8,3,9,17,7,0,0,44,0,3,6,0,0,0,0,0,0,12,4,6,32,12,16,8,0,0,0,84,0,6,6,4,7,6,0,0,0,21,4,13,20,16,9,11,5,0,0,79,0,10,19,25,23,33,0,0,0,112,0,19,52,56,75,57,7,0,0,267,3,14,46,54,80,42,13,0,0,258,7,40,112,97,106,134,27,3,0,520,0,0,6,5,5,0,3,0,0,21,7,9,23,9,20,8,3,4,0,84
1020,252,307,640,746,819,614,171,20,3,3580,6,0,5,0,8,3,6,0,0,35,0,0,6,10,8,0,0,0,0,16,8,3,15,24,34,19,3,0,0,105,0,0,4,3,4,0,0,0,0,19,0,4,31,29,25,22,3,0,0,116,0,0,19,10,18,4,4,0,0,55,60,41,46,58,86,71,15,0,0,378,126,56,30,29,35,17,0,0,0,292,0,3,11,10,20,20,6,0,0,68,0,0,4,6,4,5,0,0,0,16,0,3,21,38,26,20,3,0,0,107,0,6,11,17,11,7,0,0,0,54,0,10,31,43,52,25,3,0,0,177,3,10,37,39,40,37,3,0,0,170,7,19,53,74,82,35,3,0,0,282,7,20,68,103,73,47,13,0,0,335,30,51,159,191,195,159,35,6,0,820,5,3,8,10,10,6,0,0,0,38,9,12,26,19,29,23,0,0,0,123
1021,360,603,1188,1170,1212,1036,311,49,0,5927,5,6,13,4,13,6,11,0,0,65,0,3,8,4,6,0,0,0,0,21,12,10,36,42,48,37,12,3,0,197,0,5,8,10,5,5,0,0,0,25,10,26,53,52,41,39,7,4,0,231,0,0,12,13,18,14,4,0,0,66,102,74,116,102,124,94,25,0,0,625,127,52,68,34,42,24,3,0,0,349,3,6,25,14,31,25,10,0,0,111,0,3,5,12,18,11,0,0,0,49,0,8,42,32,33,31,0,0,0,160,0,7,20,20,11,20,12,5,0,90,8,10,64,57,54,45,11,0,0,253,6,7,28,31,42,37,3,0,0,159,0,14,62,56,58,48,4,0,0,242,14,53,121,158,200,130,42,0,0,714,40,156,375,308,390,360,79,9,0,1713,5,12,18,7,6,10,3,0,0,66,17,21,49,46,53,39,16,0,0,248
1022,199,276,735,654,575,456,145,32,5,3088,3,6,5,6,5,8,8,3,0,42,0,11,55,34,22,12,0,0,0,137,13,3,26,26,18,10,0,0,0,97,0,0,3,3,3,0,0,0,0,11,3,0,11,22,12,10,0,0,0,70,0,8,9,11,6,9,3,0,0,50,56,39,72,68,80,51,17,4,0,386,92,40,67,44,37,30,8,3,0,329,0,0,7,8,9,9,0,0,0,37,0,5,7,3,5,0,0,0,0,17,0,5,11,10,9,8,0,0,0,47,0,9,14,12,12,3,0,0,0,53,4,4,34,26,37,23,5,0,0,130,0,10,32,30,26,28,8,0,0,133,0,0,24,48,28,15,5,0,0,123,4,18,112,90,86,67,9,0,0,386,19,39,131,129,139,118,22,0,0,595,6,3,12,11,4,5,0,0,0,37,7,14,40,16,17,14,8,0,0,118
1023,176,259,675,611,559,440,101,12,0,2837,0,5,12,13,3,4,5,0,0,37,0,25,63,59,48,16,0,0,0,216,7,9,14,15,18,5,0,0,0,69,0,6,14,5,15,4,7,0,0,44,0,7,17,14,15,14,4,0,0,58,0,3,9,9,7,4,0,0,0,33,29,30,83,59,55,41,3,0,0,309,90,31,41,36,44,26,8,0,0,264,0,3,10,0,9,9,6,0,0,33,4,0,4,4,3,4,0,0,0,18,3,0,13,5,12,8,0,0,0,36,0,4,0,10,5,3,4,0,0,22,4,3,23,17,15,11,3,0,0,78,4,15,46,47,29,26,4,0,0,168,0,10,32,34,28,24,5,0,0,134,4,20,62,67,80,40,8,0,0,274,14,39,119,86,101,87,24,0,0,469,6,0,4,10,4,0,0,0,0,24,12,8,32,20,14,14,4,0,0,96
1024,435,418,802,937,1261,1253,389,80,0,5566,0,0,3,11,5,8,0,0,0,30,0,0,3,3,0,4,0,0,0,20,0,5,11,26,38,30,7,0,0,112,0,0,5,6,0,3,0,0,0,14,0,3,27,44,33,31,10,3,0,150,5,5,3,7,18,9,3,4,0,51,135,89,78,97,145,154,22,3,0,727,148,112,113,96,132,91,21,3,0,719,0,0,3,22,36,25,3,3,0,96,0,4,3,4,3,4,4,0,0,22,0,4,20,28,42,33,11,3,0,145,0,18,14,23,33,25,13,0,0,119,3,15,46,68,70,55,17,0,0,292,6,20,37,45,52,52,11,0,0,224,0,8,43,65,110,64,13,0,0,295,9,39,85,142,192,164,50,0,0,680,19,69,171,204,341,355,73,3,0,1246,13,0,10,22,15,15,9,0,0,90,11,13,45,41,64,32,11,0,0,223
