SUA_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
1010,37124,5025,2517,340,48,45060,40017,2466,1682,64,32,44262,16003,3790,4629,312,89,24827,1236,1307,781,5,14,3330,361,373,368,5,3,1107,4231,645,654,56,32,5616,654,137,61,122,11,982,118,41,40,9,0,206,22602,6291,6534,513,144,36071,1214,1499,530,25,12,3279,1250,454,229,40,34,2000,102204,15739,11484,980,279,130681
1011,8649,883,615,286,45,10486,7270,565,323,19,12,8187,2639,1111,1358,12,20,5143,366,217,196,3,0,779,201,133,126,0,0,460,1134,273,270,21,14,1708,171,43,25,89,15,342,37,17,14,0,3,66,4545,1786,1986,130,53,8497,273,177,69,9,5,539,278,82,79,30,12,483,21024,3499,3074,477,129,28198
1012,3598,250,71,17,6,3943,4755,107,29,0,4,4896,2151,584,609,21,10,3381,331,90,151,0,0,571,89,45,44,3,0,184,715,60,55,7,3,842,71,22,45,5,4,153,15,12,14,0,0,46,3383,809,920,35,14,5165,93,172,56,5,4,322,163,44,36,0,9,251,11998,1385,1106,54,41,14582
1013,3214,857,489,122,7,4680,1447,168,146,4,0,1772,665,286,598,29,8,1589,28,82,72,0,0,179,43,65,69,0,0,177,248,93,99,7,6,453,23,13,19,17,0,73,7,5,7,0,0,22,1013,545,867,51,13,2493,91,39,172,4,8,314,112,37,55,4,4,205,5870,1648,1728,184,39,9463
1014,2881,203,24,15,0,3130,2752,111,16,6,3,2886,1341,409,203,20,5,1977,391,83,36,0,0,508,35,61,18,0,0,117,377,57,36,6,0,481,37,14,7,14,0,71,13,4,4,0,0,18,2194,626,301,41,8,3176,67,73,5,0,0,141,108,21,8,4,10,142,8002,1027,359,71,23,9486
1015,2524,92,110,53,0,2788,1987,45,24,25,0,2080,861,202,310,10,5,1381,177,44,33,0,0,256,38,71,22,0,0,137,453,61,73,7,6,602,45,19,21,25,0,106,16,12,4,0,0,32,1587,398,464,44,8,2508,67,7,21,5,0,104,93,21,17,6,8,136,6265,568,630,136,27,7616
1016,2081,64,76,17,3,2246,1921,41,40,0,4,2004,827,178,544,24,0,1573,215,22,42,0,0,285,33,20,29,0,0,82,351,35,82,7,4,481,86,12,35,17,0,159,14,3,9,0,0,28,1526,274,740,52,13,2606,121,17,18,0,0,158,117,11,20,7,4,165,5771,408,894,82,29,7182
1017,1920,5,41,14,0,1983,1548,12,5,3,3,1566,593,65,145,6,0,807,133,8,30,0,0,164,124,12,49,0,3,193,283,7,23,0,0,320,46,0,9,27,0,80,10,0,0,0,0,10,1189,85,261,37,6,1577,77,0,4,0,0,79,110,0,7,15,10,144,4842,106,314,66,16,5347
1018,3380,308,91,77,3,3866,3244,189,62,0,0,3504,1088,587,373,3,10,2065,233,146,53,0,0,426,52,136,37,0,0,231,681,141,84,11,3,917,50,14,16,94,0,176,8,18,4,3,0,36,2115,1043,565,112,15,3855,88,86,7,4,0,186,117,33,13,3,3,166,8939,1668,737,207,28,11573
1019,1869,120,6,16,3,2009,1294,37,6,3,4,1340,655,195,63,7,0,917,227,81,18,0,0,325,8,16,11,0,0,38,177,22,11,3,0,215,19,3,5,3,5,28,5,3,0,0,0,9,1095,321,101,11,10,1534,41,87,6,0,0,135,102,27,8,0,0,135,4399,595,121,23,10,5149
1020,1771,26,0,37,4,1833,2125,15,3,0,0,2139,564,46,3,0,0,613,15,0,0,0,0,16,15,0,3,0,0,13,175,10,0,10,0,200,167,0,0,29,0,200,6,0,0,0,0,6,946,57,9,40,0,1061,49,0,3,0,0,55,54,0,0,4,0,60,4949,103,24,83,3,5155
1021,3565,201,39,93,0,3908,3306,67,14,5,4,3395,1363,168,101,0,9,1640,32,26,3,0,0,57,16,22,10,0,0,53,447,17,20,5,4,498,74,21,5,9,19,123,11,0,0,0,0,18,1948,244,144,15,24,2378,186,298,7,6,4,500,136,35,0,12,3,179,9134,842,210,136,36,10362
1022,1341,109,0,11,6,1470,1484,43,0,4,0,1527,773,294,20,7,4,1092,127,31,17,0,0,170,27,19,3,0,0,53,184,33,0,0,0,217,26,10,0,13,7,43,8,3,0,0,0,9,1142,386,40,16,10,1587,30,6,0,0,5,43,51,15,0,44,0,105,4047,556,49,73,12,4727
1023,1130,44,7,15,10,1197,1456,32,3,0,0,1492,829,289,18,0,0,1139,155,72,0,0,0,227,43,32,0,0,0,75,209,17,0,0,0,227,27,9,0,6,9,48,4,0,0,0,0,7,1271,422,20,3,7,1728,49,17,0,5,5,70,49,14,0,0,0,61,3958,518,27,17,15,4545
1024,4099,1035,312,108,43,5593,2300,432,88,6,9,2837,816,642,357,3,0,1817,13,45,37,0,0,92,18,80,25,0,0,119,298,130,61,3,5,497,107,48,10,10,9,184,4,9,3,0,0,23,1252,948,496,19,17,2732,111,224,24,4,5,374,87,53,19,0,4,162,7857,2692,936,141,78,11695
1025,53749,5507,2152,403,63,61882,61723,3631,1700,54,41,67147,22793,7907,5847,233,72,36848,3752,2362,1872,3,12,8014,756,694,533,8,7,1995,6637,1350,969,58,42,9056,1085,210,123,166,12,1598,163,66,53,6,0,283,35184,12579,9404,478,148,57794,1657,1134,350,23,14,3174,1547,410,277,30,35,2296,153857,23254,13876,995,305,192297
1026,4381,223,58,55,7,4722,4033,156,24,4,0,4219,1859,591,163,4,0,2622,449,141,21,0,0,622,312,169,52,0,3,537,533,66,28,6,0,628,274,17,6,5,19,320,20,14,3,0,0,36,3455,996,277,16,20,4765,106,30,14,3,4,158,164,40,7,7,17,236,12142,1445,384,87,45,14108
1027,4390,269,59,19,0,4736,5054,114,41,6,0,5220,2512,689,264,17,5,3492,476,181,75,0,0,738,71,78,28,0,0,176,530,85,30,0,3,652,65,11,6,11,10,107,20,7,3,0,0,28,3683,1054,417,28,21,5201,97,74,29,0,10,210,180,38,18,0,7,247,13404,1556,559,53,49,15616
1028,6025,1135,700,38,8,7910,4460,479,277,7,10,5225,2013,1025,1274,19,6,4346,113,117,122,0,0,357,138,199,165,0,0,506,584,195,183,10,4,981,63,39,27,10,6,147,11,19,15,0,0,40,2923,1606,1791,43,20,6383,192,292,172,0,3,659,185,94,74,6,9,369,13782,3606,3011,96,52,20544
1029,1593,89,44,16,0,1745,2267,105,20,0,0,2396,604,309,118,0,3,1037,235,32,24,0,0,294,35,14,9,0,0,58,157,34,3,4,0,208,78,0,0,45,0,134,3,0,0,0,0,7,1120,398,157,53,6,1732,57,12,7,3,0,70,51,9,8,0,0,73,5087,611,231,82,9,6020
1030,3225,265,68,25,6,3589,2149,58,23,0,7,2228,1160,112,98,0,0,1367,16,11,7,0,0,39,24,17,6,0,0,41,323,23,17,4,0,370,96,15,0,20,0,134,5,0,0,0,0,10,1626,170,125,21,0,1957,81,215,3,0,3,311,105,19,8,0,8,138,7186,725,234,55,25,8225
1031,324924,51965,77538,1176,346,455952,370215,69940,114145,828,581,555707,125339,54580,270140,3438,1376,454878,17757,16790,22818,17,98,57486,2698,4036,8538,50,92,15402,30951,9693,31814,886,450,73791,6198,1992,4696,356,231,13480,1003,453,1427,30,25,2942,183942,87554,339436,4777,2271,617981,10125,5152,11538,171,140,27126,10801,2996,7654,155,344,21950,900007,217612,550302,7112,3688,1678712
1032,4602,275,20,32,25,4959,4649,117,14,3,7,4784,2851,1142,223,4,13,4232,417,139,58,0,0,626,107,96,26,0,3,233,802,120,12,0,6,938,70,24,4,19,10,123,39,21,5,3,0,69,4286,1549,329,26,30,6211,180,88,5,0,23,297,225,49,6,8,17,305,13946,2076,368,70,93,16555
1033,3698,267,90,21,5,4076,2566,71,27,0,0,2668,1272,295,346,6,0,1924,245,54,78,0,0,385,116,73,82,0,0,277,436,50,43,4,3,536,40,26,12,14,0,87,19,15,7,0,0,33,2127,514,568,27,10,3242,89,32,14,0,6,137,216,29,23,24,0,298,8690,912,725,81,22,10424
1034,3138,175,34,160,13,3516,1629,54,16,5,4,1705,645,159,53,4,0,857,53,45,14,0,0,103,71,64,19,0,0,154,322,39,15,3,3,380,18,0,4,23,7,49,3,3,0,0,0,8,1116,313,95,26,7,1555,68,9,10,8,0,94,79,13,0,14,0,107,6021,557,157,208,25,6970
1035,5789,244,252,16,3,6300,6770,98,117,8,5,6994,3029,460,1362,30,7,4892,718,37,134,0,0,885,75,47,71,0,0,191,865,76,120,6,0,1062,258,13,24,7,4,309,24,5,9,0,0,46,4967,642,1714,45,19,7390,223,141,65,3,8,438,212,27,54,5,4,295,17960,1149,2204,74,35,21419
1036,32335,3493,3245,472,31,39575,31676,3230,2610,87,23,37621,8928,4162,7069,174,56,20394,3222,1995,1534,8,3,6757,203,280,248,3,7,746,2860,751,1078,58,35,4778,278,67,116,61,8,543,79,33,47,0,0,168,15573,7297,10096,309,115,33382,724,445,663,25,14,1865,870,234,277,22,16,1426,81177,14694,16888,908,203,113867
