SUA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
1000,6349,137,42,44,31,6589,3134,85,34,20,13,3283,3008,60,30,19,4,3121,6007,117,45,45,16,6228,8053,140,64,29,21,8305,19661,352,143,85,32,20274,17430,331,88,66,30,17948,19275,244,82,52,45,19700,9506,79,40,27,21,9678,8141,67,30,19,15,8272,5730,35,27,24,21,5842,6969,123,36,33,10,7176,113271,1769,655,464,261,116422
1001,501,26,0,0,0,524,271,27,0,0,0,298,216,33,4,0,0,256,473,71,0,0,0,544,874,89,10,0,0,971,2853,117,10,0,0,2983,2751,44,0,0,4,2802,2083,24,3,0,4,2115,645,6,0,0,0,653,457,10,0,0,0,466,284,0,0,0,0,282,582,26,0,0,0,609,11983,470,30,14,13,12511
1002,106,0,0,0,0,108,41,0,0,0,0,46,50,0,0,0,0,47,102,5,0,0,0,109,156,10,4,0,0,176,509,8,3,0,0,525,503,10,0,0,0,514,377,9,0,0,0,384,145,4,0,0,0,147,108,3,0,0,0,118,76,0,0,0,0,82,115,5,0,0,0,115,2293,69,12,0,6,2377
1003,204,35,4,0,0,243,66,17,3,0,0,90,67,20,8,0,0,91,107,39,3,0,0,147,161,38,8,0,0,210,458,97,24,3,0,589,567,111,33,0,0,707,900,145,28,4,0,1074,528,60,9,0,0,599,484,44,5,0,0,528,289,29,7,0,0,324,262,47,8,0,0,322,4099,673,142,16,7,4935
1004,106,7,12,0,0,124,49,5,4,0,0,55,37,4,0,0,0,40,54,9,0,0,0,61,80,7,8,0,4,93,239,15,15,0,0,270,292,20,9,0,0,317,319,13,7,0,0,339,133,4,3,0,0,140,74,3,5,0,0,86,42,0,0,0,0,42,84,4,5,0,0,91,1514,83,58,0,0,1661
1005,150,3,7,0,0,159,51,3,0,0,0,62,65,7,0,0,0,71,115,8,5,0,0,122,189,18,4,0,0,213,653,45,16,0,5,716,967,33,3,0,0,1009,1061,24,3,0,0,1093,390,4,0,0,0,397,220,0,0,0,0,230,124,5,0,0,0,132,196,17,0,0,0,211,4193,180,36,0,0,4419
1006,243,4,3,0,0,257,82,0,0,0,0,87,65,8,0,0,0,76,107,6,0,0,0,111,159,3,6,0,0,170,472,22,7,0,6,508,620,17,6,3,3,645,1156,20,6,0,0,1182,727,8,7,6,0,741,617,15,3,0,0,634,504,0,5,0,0,507,308,9,0,0,0,319,5067,117,46,11,8,5245
1007,138,0,0,0,0,138,179,6,0,0,0,180,174,0,0,0,0,178,331,0,0,0,0,335,322,3,0,0,0,324,475,0,0,0,0,473,225,0,0,0,0,227,110,0,0,0,0,110,38,0,0,0,0,38,25,0,0,0,0,22,23,0,0,0,0,23,143,0,0,0,0,143,2179,8,0,0,4,2195
1008,51,11,0,0,0,62,19,6,0,0,0,24,11,0,0,0,0,15,9,5,4,0,0,17,14,8,0,0,0,23,46,15,4,4,0,73,56,35,7,0,0,103,102,34,12,0,0,153,68,37,3,0,0,112,106,27,7,0,0,140,151,17,8,0,0,171,58,14,0,0,0,75,687,217,53,3,0,960
1009,100,0,0,0,0,105,48,3,0,0,0,51,41,5,0,0,0,41,68,8,0,0,0,77,86,5,0,0,0,94,241,9,3,0,0,255,301,10,0,0,0,311,407,11,0,4,0,420,163,0,0,0,0,170,112,0,0,0,0,115,58,0,0,0,0,55,83,4,0,0,0,86,1707,58,18,4,0,1785
1010,1687,119,91,9,0,1905,628,61,51,4,0,740,575,74,28,5,0,681,992,103,54,5,0,1148,1421,139,86,4,0,1648,4147,345,281,10,4,4786,5930,525,354,12,3,6820,9670,553,362,12,9,10608,5831,212,130,3,6,6181,4284,123,91,4,4,4504,2529,69,57,3,6,2667,2327,151,89,5,5,2577,40017,2466,1682,64,32,44262
1011,342,28,18,0,0,393,140,16,6,0,0,171,116,27,9,0,0,150,255,22,16,0,0,292,321,46,36,0,0,411,974,115,97,3,0,1182,1336,126,52,0,0,1522,1865,101,45,0,3,2022,781,19,0,0,0,808,473,16,15,0,0,505,227,18,5,4,0,253,428,25,22,3,0,481,7270,565,323,19,12,8187
1012,123,0,0,0,0,130,60,8,0,0,0,63,83,0,3,0,0,82,152,4,3,0,0,162,298,10,10,0,0,318,1023,36,10,0,0,1065,1140,19,4,0,3,1159,967,12,0,0,3,980,319,3,0,0,0,324,187,0,0,0,0,188,123,5,0,0,0,125,288,11,0,0,0,299,4755,107,29,0,4,4896
1013,69,14,13,0,0,100,29,14,8,0,0,53,34,5,4,3,0,46,63,10,10,0,0,82,116,12,9,0,0,137,208,37,30,0,0,276,241,30,25,0,0,297,349,21,6,0,0,385,150,3,3,0,0,157,65,0,8,0,0,69,47,3,6,0,0,55,76,14,13,0,0,107,1447,168,146,4,0,1772
1014,95,12,3,0,0,113,42,0,3,0,0,46,54,5,3,0,0,59,87,5,0,0,0,91,165,8,3,0,0,175,487,34,4,0,0,523,602,28,0,4,0,637,642,15,0,0,0,659,233,3,0,0,0,234,139,5,0,0,0,142,75,3,0,0,0,83,121,6,3,0,0,128,2752,111,16,6,3,2886
1015,71,0,0,0,0,77,42,0,0,0,0,42,58,5,6,0,0,62,122,3,0,0,0,132,185,7,0,3,0,185,573,14,11,3,0,598,442,10,6,3,0,460,272,6,0,3,0,285,58,0,0,0,0,60,45,0,0,0,0,47,36,0,0,0,0,39,84,0,0,4,0,93,1987,45,24,25,0,2080
1016,83,6,0,0,0,88,44,0,0,0,0,42,35,6,0,0,0,45,59,4,3,0,0,69,132,6,7,0,0,144,446,9,11,0,0,467,431,10,12,0,0,449,360,3,0,0,0,362,98,0,0,0,0,100,79,0,0,0,0,79,51,0,0,0,0,53,99,0,0,0,0,109,1921,41,40,0,4,2004
1017,75,0,0,0,0,77,56,3,0,0,0,59,42,0,0,0,0,45,103,0,0,0,0,103,139,0,0,0,0,136,413,4,3,0,0,417,282,4,0,0,0,286,206,0,0,0,0,210,63,0,0,0,0,63,43,0,0,0,0,43,16,0,0,0,0,16,105,5,0,0,0,104,1548,12,5,3,3,1566
1018,154,8,0,0,0,163,63,7,3,0,0,73,85,12,3,0,0,100,149,23,8,0,0,179,226,18,8,0,0,253,697,61,15,0,0,773,786,27,9,0,0,829,637,20,10,0,0,668,157,0,0,0,0,158,92,0,0,0,0,97,40,0,0,0,0,40,158,8,0,0,0,174,3244,189,62,0,0,3504
1019,62,7,0,0,0,67,30,0,0,0,0,31,33,4,0,0,0,31,66,3,0,0,0,66,91,5,0,0,0,99,292,6,0,0,0,306,253,5,0,0,0,261,203,0,3,0,0,210,110,0,0,0,0,111,58,0,0,0,0,58,26,0,0,0,0,26,64,3,0,0,0,72,1294,37,6,3,4,1340
1020,82,0,0,0,0,78,40,0,0,0,0,40,27,0,0,0,0,28,75,0,0,0,0,78,90,5,0,0,0,91,279,5,0,0,0,285,338,5,0,0,0,346,517,0,0,0,0,525,276,0,0,0,0,276,205,0,0,0,0,205,74,0,0,0,0,74,115,0,0,0,0,117,2125,15,3,0,0,2139
1021,157,8,4,0,0,169,65,3,0,0,0,64,50,9,0,0,0,58,98,3,0,3,0,105,116,0,0,0,0,118,359,13,0,0,0,377,518,13,0,0,0,533,850,8,10,0,0,870,437,0,0,0,0,441,293,0,0,0,0,294,160,0,0,0,0,160,200,5,4,0,0,210,3306,67,14,5,4,3395
1022,45,9,0,0,0,50,33,0,0,0,0,33,24,0,0,0,0,22,37,4,0,0,0,36,69,6,0,0,0,68,219,12,0,0,0,227,311,12,0,0,0,318,404,6,0,0,0,406,145,0,0,0,0,144,83,4,0,0,0,88,59,0,0,0,0,59,66,3,0,0,0,67,1484,43,0,4,0,1527
1023,45,4,0,0,0,51,27,0,0,0,0,27,28,0,0,0,0,29,71,4,0,0,0,79,95,3,0,0,0,95,312,7,0,0,0,325,353,3,0,0,0,360,254,0,0,0,0,255,72,0,0,0,0,77,63,0,0,0,0,63,38,0,0,0,0,38,90,0,0,0,0,90,1456,32,3,0,0,1492
