SUA_CODE_2021,Preschool_M,Preschool_F,Preschool_P,Primary_Government_M,Primary_Government_F,Primary_Government_P,Primary_Catholic_M,Primary_Catholic_F,Primary_Catholic_P,Primry_Othr_non_Govt_M,Primry_Othr_non_Govt_F,Primry_Othr_non_Govt_P,Primary_Tot_Primary_M,Primary_Tot_Primary_F,Primary_Tot_Primary_P,Secondary_Government_M,Secondary_Government_F,Secondary_Government_P,Secondary_Catholic_M,Secondary_Catholic_F,Secondary_Catholic_P,Secondary_Other_non_Govt_M,Secondary_Other_non_Govt_F,Secondary_Other_non_Govt_P,Secondary_Tot_Secondary_M,Secondary_Tot_Secondary_F,Secondary_Tot_Secondary_P,Tert_Voc_edu_Ft_15_24_M,Tert_Voc_edu_Ft_15_24_F,Tert_Voc_edu_Ft_15_24_P,Tert_Voc_edu_Ft_25_ov_M,Tert_Voc_edu_Ft_25_ov_F,Tert_Voc_edu_Ft_25_ov_P,Tert_Voc_edu_Pt_15_24_M,Tert_Voc_edu_Pt_15_24_F,Tert_Voc_edu_Pt_15_24_P,Tert_Voc_edu_Pt_25_ov_M,Tert_Voc_edu_Pt_25_ov_F,Tert_Voc_edu_Pt_25_ov_P,Tert_Voc_edu_F_Pt_ns_M,Tert_Voc_edu_F_Pt_ns_F,Tert_Voc_edu_F_Pt_ns_P,Tert_Voc_edu_Tot_M,Tert_Voc_edu_Tot_F,Tert_Voc_edu_Tot_P,Tert_Uni_oth_h_edu_Ft_15_24_M,Tert_Uni_oth_h_edu_Ft_15_24_F,Tert_Uni_oth_h_edu_Ft_15_24_P,Tert_Uni_oth_h_edu_Ft_25_ov_M,Tert_Uni_oth_h_edu_Ft_25_ov_F,Tert_Uni_oth_h_edu_Ft_25_ov_P,Tert_Uni_oth_h_edu_Pt_15_24_M,Tert_Uni_oth_h_edu_Pt_15_24_F,Tert_Uni_oth_h_edu_Pt_15_24_P,Tert_Uni_oth_h_edu_Pt_25_ov_M,Tert_Uni_oth_h_edu_Pt_25_ov_F,Tert_Uni_oth_h_edu_Pt_25_ov_P,Tert_Uni_oth_h_edu_F_Pt_ns_M,Tert_Uni_oth_h_edu_F_Pt_ns_F,Tert_Uni_oth_h_edu_F_Pt_ns_P,Tert_Uni_other_high_edu_Tot_M,Tert_Uni_other_high_edu_Tot_F,Tert_Uni_other_high_edu_Tot_P,Tert_Tot_Tert_M,Tert_Tot_Tert_F,Tert_Tot_Tert_P,Othr_typ_educ_inst_Ft_stud_M,Othr_typ_educ_inst_Ft_stud_F,Othr_typ_educ_inst_Ft_stud_P,Othr_typ_educ_inst_Pt_stud_M,Othr_typ_educ_inst_Pt_stud_F,Othr_typ_educ_inst_Pt_stud_P,Oth_typ_ed_instit_F_Pt_ns_M,Oth_typ_ed_instit_F_Pt_ns_F,Oth_typ_ed_instit_F_Pt_ns_P,Other_type_educ_instit_Tot_M,Other_type_educ_instit_Tot_F,Other_type_educ_instit_Tot_P,Type_educanl_institution_ns_M,Type_educanl_institution_ns_F,Type_educanl_institution_ns_P,Tot_M,Tot_F,Tot_P
1021,275,287,560,601,598,1202,125,129,257,327,357,688,1061,1086,2148,392,392,787,117,109,220,261,243,500,767,738,1512,40,46,84,30,53,83,150,82,236,96,195,297,0,4,3,319,385,704,158,228,381,77,86,157,32,40,79,90,184,278,0,0,0,352,537,897,673,923,1600,20,32,55,38,55,88,0,0,0,54,87,139,565,615,1179,3392,3741,7129
1022,164,140,304,413,390,800,175,178,352,4,0,7,589,566,1161,227,247,476,126,140,263,11,5,15,363,391,754,19,21,34,9,15,18,76,49,117,72,127,201,0,0,0,167,209,380,8,36,41,11,36,48,5,16,22,44,85,122,0,0,0,64,169,235,239,373,614,10,10,21,27,41,66,0,0,0,35,51,85,348,360,710,1746,1885,3632
1023,171,152,327,441,419,859,143,99,243,48,56,107,630,573,1205,302,277,575,97,97,192,28,34,55,426,402,824,13,18,29,11,26,43,69,53,126,44,99,145,0,0,0,136,199,338,9,30,38,13,21,38,7,22,24,25,62,94,0,0,0,60,133,196,201,332,536,8,10,16,18,42,61,0,0,0,34,51,81,656,379,1035,2108,1896,4007
1024,198,204,407,650,622,1275,110,112,222,138,154,293,901,895,1793,543,533,1078,81,95,177,179,174,352,798,803,1605,34,24,55,23,33,59,125,59,183,103,183,285,0,0,5,290,299,589,93,161,255,38,67,102,12,33,47,63,157,221,0,3,3,215,416,633,504,715,1222,13,19,30,16,42,60,0,0,0,31,64,90,739,840,1583,3178,3520,6695
1025,6113,5643,11755,15586,14405,29993,4118,3926,8040,1991,1865,3860,21718,20218,41939,10678,10260,20940,2918,3175,6093,2184,2148,4327,15786,15599,31385,801,918,1715,615,968,1585,2503,1538,4037,2280,3572,5849,25,22,46,6217,7014,13231,4666,6342,11006,1879,2586,4466,759,1148,1909,2350,4198,6548,16,13,31,9680,14283,23955,15917,21311,37223,469,462,933,847,1355,2203,26,20,42,1341,1847,3186,12823,11278,24097,73702,75886,149589
1026,476,426,901,1136,1158,2299,213,215,433,197,205,407,1557,1583,3142,767,688,1458,220,221,437,181,200,375,1172,1110,2279,59,65,122,41,76,112,173,121,300,161,334,498,6,6,5,432,598,1031,101,171,272,74,125,208,25,50,79,103,196,303,0,0,6,310,554,865,743,1156,1897,47,33,82,51,100,147,4,0,5,97,132,229,2084,1309,3390,6126,5721,11845
1027,556,486,1043,1348,1250,2593,401,405,797,276,265,540,2027,1919,3952,756,711,1463,382,399,780,392,373,767,1535,1481,3020,40,57,90,44,93,132,212,152,369,241,368,611,5,0,5,532,674,1202,132,254,389,102,157,256,33,70,104,223,347,568,0,0,0,492,826,1316,1022,1500,2522,31,42,78,46,91,138,0,3,3,82,139,220,1175,1201,2373,6402,6729,13128
1028,498,443,940,972,908,1876,597,600,1197,321,314,631,1894,1820,3712,554,539,1092,760,764,1531,305,275,576,1629,1579,3205,92,63,158,58,109,166,161,114,277,208,389,601,0,6,8,518,693,1211,290,577,860,116,191,315,41,85,127,190,359,553,0,6,5,637,1221,1857,1153,1914,3071,36,41,76,63,128,194,3,0,4,107,173,274,1179,1274,2454,6458,7201,13658
1029,205,196,401,535,534,1067,215,178,399,68,81,150,826,796,1618,361,362,722,139,109,253,69,71,143,574,539,1117,20,18,38,16,26,45,104,65,171,84,151,234,5,0,5,224,260,492,55,73,126,16,45,67,14,23,42,42,99,137,0,0,0,128,240,371,357,505,862,30,15,45,37,53,90,0,0,0,65,67,139,583,367,948,2607,2470,5082
1030,208,161,365,589,560,1147,26,33,55,50,48,99,666,642,1307,376,376,757,78,95,178,58,55,113,511,537,1046,17,27,43,18,29,44,79,41,125,71,142,220,0,0,0,186,236,424,24,59,88,19,68,88,4,15,20,44,82,135,0,0,0,99,234,332,286,471,751,20,13,29,15,42,61,0,0,5,33,56,92,629,610,1243,2332,2473,4810
1031,51939,47077,99020,138532,129302,267836,37849,37550,75402,25660,25139,50804,202423,192310,394736,86035,81415,167456,40527,40536,81059,32643,31850,64494,159489,154037,313528,9062,9035,18094,11556,16734,28288,16913,8366,25282,21498,33866,55359,240,234,471,59274,68226,127497,69100,79811,148910,24456,28422,52876,9306,10421,19726,21766,32460,54223,347,341,688,124970,151451,276419,184616,220091,404702,11562,11154,22718,14230,19124,33353,296,262,559,26092,30539,56629,126852,121140,247989,751408,765195,1516597
1032,522,451,977,1317,1292,2601,458,427,877,206,184,392,1977,1900,3879,1191,796,1983,256,321,572,212,293,500,1661,1407,3067,45,75,123,35,118,151,177,156,327,186,386,571,0,0,6,442,734,1171,66,169,233,62,119,180,29,72,104,127,284,414,0,3,3,290,639,928,739,1374,2107,25,33,62,73,93,161,3,4,9,101,129,230,1630,1681,3311,6619,6945,13566
1033,261,240,499,736,709,1441,154,128,291,159,146,308,1048,990,2037,524,522,1047,126,109,237,94,122,222,750,757,1504,37,54,87,23,59,82,106,106,210,77,195,270,0,0,3,242,415,654,31,63,100,25,57,84,13,24,36,40,112,146,0,0,0,105,260,369,349,677,1022,16,13,32,22,42,62,0,3,10,41,62,102,1084,1144,2228,3523,3868,7385
1034,190,156,347,535,496,1026,44,47,94,0,9,8,584,547,1131,424,447,874,19,21,42,16,20,31,462,482,947,13,13,27,6,31,37,73,28,101,45,87,140,0,0,0,142,160,307,22,49,76,21,43,56,4,11,10,28,86,118,0,0,0,71,193,262,214,350,564,10,7,17,15,36,50,0,0,0,24,47,67,495,501,995,1964,2078,4045
1035,722,641,1369,1535,1323,2857,709,768,1479,310,284,595,2551,2380,4934,895,958,1850,641,662,1300,350,320,669,1880,1947,3830,96,107,200,95,140,230,331,211,537,311,477,790,4,6,3,838,928,1773,383,907,1284,143,270,413,64,145,214,274,509,784,0,0,0,869,1830,2699,1709,2768,4474,78,65,141,98,146,246,0,0,0,177,211,387,1498,1566,3064,8538,9516,18046
1036,3756,3425,7179,9373,8619,17989,2254,2269,4522,901,920,1818,12540,11825,24363,6341,6175,12514,2466,2508,4968,1013,986,1999,9824,9683,19506,453,546,999,403,682,1084,1746,1011,2757,1330,2193,3525,20,20,41,3956,4454,8411,3316,4529,7849,1295,1463,2765,535,713,1251,1138,2167,3300,13,14,23,6303,8889,15196,10276,13359,23640,282,292,576,434,693,1122,12,9,20,723,994,1721,6916,7156,14078,44046,46439,90480
