LGA_CODE_2021,P_PGrad_Deg_35_44,P_PGrad_Deg_45_54,P_PGrad_Deg_55_64,P_PGrad_Deg_65_74,P_PGrad_Deg_75_84,P_PGrad_Deg_85ov,P_PGrad_Deg_Total,P_GradDip_and_GradCert_15_24,P_GradDip_and_GradCert_25_34,P_GradDip_and_GradCert_35_44,P_GradDip_and_GradCert_45_54,P_GradDip_and_GradCert_55_64,P_GradDip_and_GradCert_65_74,P_GradDip_and_GradCert_75_84,P_GradDip_and_GradCert_85ov,P_GradDip_and_GradCert_Total,P_BachDeg_15_24,P_BachDeg_25_34,P_BachDeg_35_44,P_BachDeg_45_54,P_BachDeg_55_64,P_BachDeg_65_74,P_BachDeg_75_84,P_BachDeg_85ov,P_BachDeg_Total,P_AdvDip_and_Dip_15_24,P_AdvDip_and_Dip_25_34,P_AdvDip_and_Dip_35_44,P_AdvDip_and_Dip_45_54,P_AdvDip_and_Dip_55_64,P_AdvDip_and_Dip_65_74,P_AdvDip_and_Dip_75_84,P_AdvDip_and_Dip_85ov,P_AdvDip_and_Dip_Total,P_Cert_III_IV_15_24,P_Cert_III_IV_25_34,P_Cert_III_IV_35_44,P_Cert_III_IV_45_54,P_Cert_III_IV_55_64,P_Cert_III_IV_65_74,P_Cert_III_IV_75_84,P_Cert_III_IV_85ov,P_Cert_III_IV_Total,P_Cert_I_II_15_24,P_Cert_I_II_25_34,P_Cert_I_II_35_44,P_Cert_I_II_45_54,P_Cert_I_II_55_64,P_Cert_I_II_65_74,P_Cert_I_II_75_84,P_Cert_I_II_85ov,P_Cert_I_II_Total,P_Cert_Levl_nfd_15_24,P_Cert_Levl_nfd_25_34,P_Cert_Levl_nfd_35_44,P_Cert_Levl_nfd_45_54,P_Cert_Levl_nfd_55_64,P_Cert_Levl_nfd_65_74,P_Cert_Levl_nfd_75_84,P_Cert_Levl_nfd_85ov,P_Cert_Levl_nfd_Total,P_Cert_Lev_Tot_15_24,P_Cert_Lev_Tot_25_34,P_Cert_Lev_Tot_35_44,P_Cert_Lev_Tot_45_54,P_Cert_Lev_Tot_55_64,P_Cert_Lev_Tot_65_74,P_Cert_Lev_Tot_75_84,P_Cert_Lev_Tot_85ov,P_Cert_Lev_Tot_Total,P_Lev_Edu_IDes_15_24,P_Lev_Edu_IDes_25_34,P_Lev_Edu_IDes_35_44,P_Lev_Edu_IDes_45_54,P_Lev_Edu_IDes_55_64,P_Lev_Edu_IDes_65_74,P_Lev_Edu_IDes_75_84,P_Lev_Edu_IDes_85ov,P_Lev_Edu_IDes_Total,P_Lev_Edu_NS_15_24,P_Lev_Edu_NS_25_34,P_Lev_Edu_NS_35_44,P_Lev_Edu_NS_45_54,P_Lev_Edu_NS_55_64,P_Lev_Edu_NS_65_74,P_Lev_Edu_NS_75_84,P_Lev_Edu_NS_85ov,P_Lev_Edu_NS_Total,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Total
LGA10050,416,297,262,159,57,3,1679,25,163,243,235,217,163,43,3,1101,277,1453,1499,1071,745,640,229,45,5967,183,712,749,822,803,593,244,61,4166,930,2065,1681,1642,1546,1010,424,142,9427,119,140,97,98,89,67,20,5,626,44,73,117,150,193,178,86,30,875,1094,2277,1889,1884,1823,1259,529,170,10926,15,25,37,26,23,53,43,9,235,470,517,491,436,496,493,487,247,3634,2082,5615,5326,4774,4381,3364,1626,540,27703
LGA10180,499,381,380,285,139,36,2111,12,92,125,132,137,134,31,4,666,211,867,667,616,546,418,207,52,3580,89,240,286,355,391,262,154,41,1814,416,745,606,550,599,395,198,58,3556,135,55,49,35,53,30,10,3,375,39,34,42,76,106,91,62,14,451,585,829,691,667,759,516,267,67,4384,15,21,14,20,21,23,21,3,150,811,415,291,287,304,299,335,183,2926,1732,2858,2576,2457,2539,1935,1159,396,15646
LGA10250,355,322,319,283,95,17,1608,9,77,158,205,212,223,51,8,951,149,991,1376,1283,1002,966,379,105,6248,94,437,595,813,806,762,372,108,4002,531,1061,1237,1288,1494,1101,480,157,7347,84,61,55,76,101,83,24,3,475,28,77,106,128,196,264,120,37,940,639,1192,1398,1488,1791,1442,617,199,8767,7,14,18,37,54,66,63,22,282,311,354,367,370,454,565,502,377,3301,1221,3280,4267,4522,4634,4311,2073,834,25152
LGA10300,5,9,0,0,0,0,19,0,0,0,5,0,4,0,0,11,4,31,20,20,15,10,0,0,112,10,22,19,18,22,17,3,0,98,25,66,46,46,59,26,9,0,285,3,6,3,0,6,0,0,0,17,0,6,0,3,5,6,0,0,14,30,79,52,53,65,30,11,0,320,4,0,0,0,3,0,0,0,8,32,45,38,50,54,54,21,7,305,74,183,139,158,160,117,35,9,879
LGA10470,264,264,259,205,85,19,1364,13,104,148,163,154,129,39,10,764,260,1105,979,845,676,495,187,43,4585,125,435,495,616,618,413,196,61,2961,744,1578,1399,1337,1200,748,338,82,7429,103,101,83,92,81,63,12,7,540,53,83,91,129,186,190,74,30,833,910,1759,1573,1560,1468,1004,419,116,8805,14,16,23,34,35,50,34,14,211,490,641,563,500,408,376,324,185,3488,1820,4306,4039,3983,3615,2678,1288,446,22176
LGA10500,4199,1940,1035,536,137,22,14154,88,663,633,481,330,214,43,16,2476,3208,13071,8072,4198,2787,1438,523,137,33429,1572,3716,3383,3005,2037,1093,467,117,15394,1364,3495,2939,2856,2418,1468,857,288,15683,165,213,215,268,191,111,32,4,1205,167,359,425,621,634,408,171,58,2839,1701,4069,3574,3749,3248,1983,1058,351,19730,103,343,238,211,203,163,65,28,1357,1512,3022,1918,1334,1243,1152,1093,817,12095,8460,30909,22016,14920,10892,6572,3384,1483,98633
LGA10550,166,169,259,265,73,13,1072,9,61,121,141,212,229,55,11,829,64,486,580,671,818,804,302,61,3791,31,224,339,484,712,653,249,72,2756,434,952,961,1117,1398,1090,422,103,6470,51,59,58,65,97,69,20,8,423,30,47,48,94,193,151,98,26,678,507,1063,1064,1269,1687,1311,535,135,7566,0,12,16,20,49,66,36,6,200,312,246,257,365,547,565,420,273,2976,923,2214,2531,3113,4286,3891,1659,569,19191
LGA10600,70,92,117,94,53,4,462,0,19,36,71,94,94,18,0,342,22,226,274,368,349,306,95,23,1651,12,89,136,221,275,221,87,26,1068,117,274,330,387,523,365,139,37,2182,23,22,25,16,26,26,5,0,132,8,9,25,42,49,66,22,3,229,145,307,379,445,607,456,169,49,2552,3,8,3,9,20,21,8,3,81,117,90,131,164,193,208,153,65,1121,298,771,1028,1373,1650,1408,588,163,7282
LGA10650,13,16,11,11,3,0,73,3,16,25,13,22,21,3,0,106,12,129,132,92,99,89,37,9,589,6,73,90,86,97,99,50,8,505,79,224,233,255,299,271,99,22,1478,10,11,19,25,26,15,0,0,104,3,7,14,17,37,26,10,5,115,95,241,260,298,357,312,116,24,1703,0,3,3,4,15,5,11,4,43,86,86,81,107,154,230,185,128,1048,202,559,597,615,753,764,402,175,4067
LGA10750,11471,3854,1886,989,251,40,25463,142,1045,1568,978,586,334,96,3,4749,4020,16503,18836,9466,5993,3540,925,183,59472,2082,6127,7308,5546,3701,1938,618,129,27446,4080,8226,8160,7560,5768,3161,1276,332,38551,590,550,650,574,477,249,78,12,3178,388,638,1002,1222,1057,746,280,68,5402,5060,9413,9810,9360,7306,4153,1630,410,47137,139,450,671,438,348,316,125,16,2496,3663,5249,4856,3345,2606,2303,1564,896,24478,15452,45414,54513,32992,22424,13569,5203,1681,191248
