LGA_CODE_2021,M_0_299_DS_DS_Sept_house,M_0_299_DS_DS_sd_row_tce_hs_t,M_0_299_DS_DS_Flat_apart,M_0_299_DS_DS_Other_dwg,M_0_299_DS_ns,M_0_299_Tot,M_300_449_DS_Separate_hse,M_300_449_DS_sd_row_tc_hse_th,M_300_449_DS_Flat_apart,M_300_449_DS_Other_dwg,M_300_449_DS_ns,M_300_449_Tot,M_450_599_DS_Separate_hse,M_450_599_DS_sd_row_tce_hs_th,M_450_599_DS_Flat_apart,M_450_599_DS_Other_dwg,M_450_599_DS_ns,M_450_599_Tot,M_600_799_DS_Separate_hse,M_600_799_DS_sd_row_tc_hs_th,M_600_799_DS_Flat_apart,M_600_799_DS_Other_dwg,M_600_799_DS_ns,M_600_799_Tot,M_800_999_DS_Separate_hse,M_800_999_DS_sd_row_tc_hs_th,M_800_999_DS_Flat_apart,M_800_999_DS_Other_dwg,M_800_999_DS_ns,M_800_999_Tot,M_1000_1399_DS_Separate_hse,M_1000_1399_DS_sd_rw_tc_h_th,M_1000_1399_DS_Flat_apart,M_1000_1399_DS_Other_dwg,M_1000_1399_DS_ns,M_1000_1399_Tot,M_1400_1799_DS_Separate_hse,M_1400_1799_DS_sd_rw_tc_h_th,M_1400_1799_DS_Flat_apart,M_1400_1799_DS_Other_dwg,M_1400_1799_DS_ns,M_1400_1799_Tot,M_1800_2399_DS_Separate_hse,M_1800_2399_DS_sd_rw_tc_h_th,M_1800_2399_DS_Flat_apart,M_1800_2399_DS_Other_dwg,M_1800_2399_DS_ns,M_1800_2399_Tot,M_2400_2999_DS_Separate_hse,M_2400_2999_DS_sd_rw_tc_h_th,M_2400_2999_DS_Flat_apart,M_2400_2999_DS_Other_dwg,M_2400_2999_DS_ns,M_2400_2999_Tot,M_3000_3999_DS_Separate_hse,M_3000_3999_DS_sd_rw_tc_h_th,M_3000_3999_DS_Flt_apart,M_3000_3999_DS_Other_dwg,M_3000_3999_DS_ns,M_3000_3999_Tot,M_4000_over_DS_Separate_hse,M_4000_ov_DS_sd_rw_tce_hs_th,M_4000_over_DS_Flat_apart,M_4000_over_DS_Other_dwg,M_4000_DS_over_ns,M_4000_over_Tot,Mort_Rpmnt_ns_DS_Separat_hs,Mrt_Rpmt_ns_DS_sd_rw_tc_hs_th,Mrt_Rpmt_ns_DS_Flat_apart,Mort_Rpmnt_ns_DS_Other_dwg,Mort_Rpmnt_ns_DS_ns,Mort_Rpmnt_ns_Total,Tot_DS_Separate_hse,Tot_DS_sd_row_tce_hse_thse,Tot_DS_Flat_apartment,Tot_DS_Other_dwg,Tot_DS_ns,Tot_Tot
LGA10050,294,21,0,0,0,314,141,17,3,0,0,163,124,29,0,0,0,156,279,49,0,0,0,324,477,57,0,0,0,532,1580,78,0,0,0,1663,1450,36,0,0,0,1486,1186,15,3,0,0,1208,413,6,0,0,0,419,279,6,0,0,0,288,180,0,0,0,0,181,321,16,0,0,0,336,6716,337,13,7,6,7071
LGA10180,162,0,0,0,0,162,55,0,0,0,0,66,66,0,0,0,0,68,133,5,0,0,0,137,204,10,4,0,0,220,602,12,3,0,0,621,548,14,0,0,0,560,427,9,0,0,0,441,167,4,0,0,0,172,125,3,0,0,0,130,101,0,0,0,0,105,150,5,0,0,0,153,2741,71,12,0,6,2824
LGA10250,204,35,4,0,0,243,66,17,3,0,0,90,72,20,8,0,0,93,107,39,3,0,0,147,161,38,8,0,0,210,458,97,24,3,0,590,567,111,33,0,0,707,903,145,28,4,0,1079,532,60,9,0,0,605,484,44,5,0,0,528,293,29,7,0,0,327,268,47,8,0,0,320,4105,673,142,16,7,4944
LGA10300,16,0,0,0,0,20,6,0,0,0,0,6,4,0,0,0,0,4,19,0,0,0,0,19,26,0,0,0,0,24,46,0,0,0,0,46,9,0,0,0,0,18,10,0,0,0,0,10,6,0,0,0,0,9,0,0,0,0,0,0,5,0,0,0,0,7,20,0,0,0,0,20,178,0,0,0,7,186
LGA10470,196,3,7,0,0,200,70,3,0,0,0,75,85,7,0,0,0,96,152,8,5,0,0,162,222,18,3,0,0,248,758,45,16,0,5,821,1075,33,3,0,0,1117,1230,24,3,0,0,1261,481,4,0,0,0,487,304,0,0,0,0,311,176,5,0,0,0,184,257,17,0,0,0,271,5001,180,42,5,7,5232
LGA10500,428,133,317,4,0,878,89,33,78,4,0,201,83,25,65,0,0,173,136,46,135,0,0,310,159,77,186,0,0,425,464,158,626,0,0,1252,485,201,920,3,3,1610,911,381,2245,10,0,3544,783,337,1604,7,0,2728,1388,581,1172,3,5,3148,2029,537,590,5,0,3160,669,164,500,0,3,1333,7615,2672,8431,28,17,18766
LGA10550,207,6,7,5,0,228,128,11,9,7,0,145,83,5,3,0,0,93,156,9,10,0,0,180,234,17,11,0,3,273,663,49,30,0,0,737,670,31,6,0,0,714,685,13,7,5,4,715,261,3,0,0,0,261,176,3,3,0,0,181,107,4,3,0,0,116,187,4,3,0,0,200,3554,159,93,13,15,3846
LGA10600,78,3,0,0,0,85,42,0,0,0,0,47,31,3,0,0,0,35,54,0,0,0,3,56,91,0,0,0,0,91,265,4,0,0,0,272,220,8,3,0,0,231,262,5,0,0,0,263,103,7,0,0,0,104,78,0,0,0,0,79,40,4,0,0,0,44,78,4,0,0,0,78,1335,32,5,4,6,1388
LGA10650,64,3,0,0,0,66,35,0,0,0,0,40,34,3,0,0,0,34,81,7,0,0,0,83,109,3,0,0,0,106,202,4,0,0,0,208,135,0,0,0,0,135,126,0,0,0,0,126,30,0,0,0,0,33,23,0,0,0,0,23,18,0,0,0,0,18,65,0,0,0,0,65,920,21,0,5,4,945
LGA10750,1718,165,45,0,0,1931,408,33,20,0,0,463,393,38,14,0,0,449,689,76,29,0,0,802,940,114,50,0,0,1096,3108,398,210,0,0,3720,4100,699,410,8,3,5216,8749,1643,668,8,12,11084,8594,1006,176,3,42,9820,8877,633,79,6,16,9607,4012,281,56,0,7,4353,3019,354,97,5,6,3484,44611,5445,1843,29,91,52012
LGA10800,46,4,0,0,0,53,23,0,0,0,0,23,33,0,0,0,0,35,50,0,0,0,0,48,62,0,0,0,0,63,129,0,0,0,0,130,70,0,0,0,0,74,60,0,0,0,0,58,15,0,0,0,0,15,10,0,0,0,0,10,19,0,0,0,0,20,37,0,0,0,0,41,562,5,0,6,5,574
LGA10850,55,0,0,0,0,55,15,0,0,0,0,15,19,0,0,0,0,19,36,0,0,0,0,38,68,4,0,0,0,74,200,5,0,0,0,199,165,0,0,0,0,169,156,0,0,0,0,156,69,0,0,0,0,71,68,0,0,0,0,67,45,0,0,0,0,52,45,0,0,0,0,45,938,9,0,4,8,959
LGA10900,555,15,8,0,0,577,216,5,6,0,0,226,158,4,5,0,0,166,321,11,5,0,0,337,398,4,5,0,0,406,1175,18,21,0,0,1216,1579,31,13,0,0,1624,2776,33,14,3,0,2821,1762,15,5,0,0,1781,1409,10,8,0,0,1429,699,8,3,0,3,713,525,14,6,0,0,545,11566,178,91,4,6,11848
LGA10950,19,0,0,0,0,21,10,0,0,0,0,10,8,0,0,0,0,8,27,0,0,0,0,27,25,0,0,0,0,28,48,0,0,0,0,52,30,0,0,0,0,30,15,0,0,0,3,22,7,0,0,0,0,7,4,0,0,0,0,4,14,0,0,0,0,14,13,0,0,0,0,13,217,0,0,0,3,229
LGA11150,20,0,0,0,0,20,11,0,0,0,0,11,12,0,0,0,0,12,15,0,0,0,0,15,20,0,0,0,0,20,24,0,0,0,0,24,21,0,0,0,0,23,12,0,0,0,0,12,3,0,0,0,0,3,5,0,0,0,0,5,5,0,0,0,0,3,14,0,0,0,0,14,165,0,0,0,0,168
LGA11200,9,0,0,0,0,9,8,0,0,0,0,8,5,0,0,0,0,5,7,0,0,0,0,7,6,0,0,0,0,6,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,8,0,0,0,0,4,45,0,0,0,0,47
LGA11250,138,0,0,0,0,138,179,6,0,0,0,180,174,0,0,0,0,178,331,0,0,0,0,335,322,3,0,0,0,324,475,0,0,0,0,473,225,0,0,0,0,227,110,0,0,0,0,110,38,0,0,0,0,38,25,0,0,0,0,22,23,0,0,0,0,23,143,0,0,0,0,143,2179,8,0,0,4,2195
LGA11300,122,43,60,0,0,227,22,12,8,0,0,37,18,13,11,0,0,36,19,13,17,0,0,50,33,19,24,0,0,73,79,36,75,0,0,191,69,43,109,0,0,221,152,92,270,5,0,519,111,68,201,0,0,384,239,123,161,0,0,520,467,131,70,0,0,670,145,60,64,0,0,269,1484,645,1068,0,0,3199
LGA11350,208,15,3,6,0,235,69,8,3,0,0,83,54,9,3,0,0,61,85,5,8,0,0,102,120,5,3,0,5,140,292,28,11,0,0,340,344,59,14,0,0,417,532,59,24,0,3,617,374,49,11,0,0,439,401,38,12,4,0,453,455,16,11,0,0,476,238,22,3,3,0,258,3182,304,105,19,7,3621
LGA11400,69,4,0,6,0,76,28,0,0,0,0,33,40,0,4,0,0,47,84,0,0,0,0,83,103,0,0,4,0,109,306,0,0,7,0,312,227,0,0,10,0,235,266,3,0,13,0,282,145,0,0,8,0,152,115,0,0,4,0,119,118,0,0,7,0,130,107,0,0,3,0,107,1612,10,0,63,3,1693
LGA11450,470,12,6,0,0,489,155,7,0,0,0,161,126,11,0,0,0,136,196,9,0,0,0,209,337,11,0,0,0,353,1053,48,13,0,0,1114,1481,82,6,0,3,1579,4016,157,16,0,3,4201,4521,145,9,0,4,4677,3826,67,8,0,4,3905,1602,20,5,0,0,1636,1091,34,8,0,0,1135,18884,603,84,3,13,19586
LGA11500,773,86,22,0,0,881,235,22,4,0,0,265,217,40,11,0,0,273,413,71,20,0,0,504,551,84,18,0,0,660,1874,341,113,0,3,2332,2504,516,163,0,0,3186,5023,637,168,0,10,5837,3518,214,47,0,0,3788,2341,106,29,0,0,2485,1113,57,28,0,0,1197,1326,124,54,0,3,1509,19891,2312,697,0,19,22920
LGA11520,266,58,207,5,0,537,48,7,39,0,0,101,40,11,27,0,0,78,63,19,71,0,0,148,83,25,63,0,0,172,188,52,269,0,0,507,232,66,320,4,0,618,397,117,763,12,0,1291,282,117,736,16,0,1157,640,203,887,14,0,1736,1827,350,686,16,3,2883,347,65,269,0,0,686,4415,1100,4330,69,7,9920
LGA11570,1200,306,261,7,0,1771,295,76,109,0,0,483,305,64,87,0,0,454,405,123,170,4,0,706,567,176,262,4,0,1008,1595,523,828,12,5,2967,1728,678,1311,18,0,3740,3362,1311,1946,27,9,6652,2754,1062,761,11,3,4592,4090,1160,482,6,4,5742,3332,602,233,4,8,4184,1831,491,417,5,3,2744,21462,6588,6871,102,35,35046
LGA11600,33,0,0,0,0,29,16,0,0,0,0,16,13,0,0,0,0,13,23,0,0,0,0,20,23,0,0,0,0,23,30,0,0,0,0,30,18,0,0,0,0,18,15,0,0,0,0,15,4,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,3,15,0,0,0,0,15,190,0,0,4,0,194
LGA11650,1708,119,91,9,0,1923,630,61,51,4,0,743,587,74,28,5,0,690,1002,103,54,5,0,1156,1430,139,86,4,0,1657,4184,345,281,10,4,4820,5978,525,354,12,3,6865,9731,553,365,12,9,10671,5893,212,130,3,6,6241,4382,121,91,4,4,4605,2619,69,57,3,4,2760,2364,151,89,5,5,2611,40498,2468,1683,66,37,44753
LGA11700,8,0,0,0,0,8,3,0,0,0,0,3,3,0,0,0,0,3,4,0,0,0,0,4,4,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,7,45,0,0,0,4,46
LGA11720,288,15,0,0,0,301,148,7,0,0,0,159,131,0,0,0,0,132,263,13,0,0,0,279,450,21,0,0,0,471,1499,63,8,0,0,1575,1882,37,3,0,0,1926,1823,17,0,0,0,1839,677,4,0,0,5,683,527,3,0,0,5,539,267,0,0,0,0,267,490,14,0,4,0,509,8450,186,27,3,13,8678
LGA11730,277,9,0,6,0,289,174,0,3,0,0,179,162,11,6,0,0,174,315,12,3,4,0,327,442,11,6,0,0,462,1249,40,12,18,3,1314,1086,30,7,11,0,1133,907,17,6,11,4,942,252,3,0,0,0,262,164,7,6,3,0,174,126,0,3,3,0,132,308,17,3,11,0,333,5455,152,49,67,5,5729
