LGA_CODE_2021,Median_age_persons,Median_mortgage_repay_monthly,Median_tot_prsnl_inc_weekly,Median_rent_weekly,Median_tot_fam_inc_weekly,Average_num_psns_per_bedroom,Median_tot_hhd_inc_weekly,Average_household_size
LGA10050,39,1473,779,270,1909,0.7,1430,2.3
LGA10180,37,1436,719,285,1844,0.7,1404,2.3
LGA10250,48,1950,737,420,1848,0.8,1429,2.4
LGA10300,43,1083,734,200,1781,0.8,1370,2.5
LGA10470,38,1733,796,320,2026,0.7,1585,2.5
LGA10500,35,2468,872,500,2243,1,1959,2.5
LGA10550,52,1516,645,310,1501,0.8,1200,2.2
LGA10600,50,1517,613,340,1479,0.8,1197,2.3
LGA10650,52,1207,618,210,1460,0.7,1128,2.2
LGA10750,34,2383,831,400,2251,0.9,2107,3.1
LGA10800,43,1083,730,200,1811,0.7,1326,2.3
LGA10850,43,1517,765,270,1974,0.8,1547,2.5
LGA10900,45,2035,817,400,2235,0.7,1756,2.4
LGA10950,41,1083,774,200,1931,0.8,1444,2.4
LGA11150,37,912,862,180,1899,0.8,1559,2.5
LGA11200,36,754,553,150,1232,0.8,962,2.3
LGA11250,44,867,647,220,1623,0.7,1173,2.2
LGA11300,34,2500,739,500,2101,1.1,1867,2.7
LGA11350,43,2167,764,520,1926,0.9,1602,2.5
LGA11400,44,1625,768,250,1984,0.8,1538,2.6
LGA11450,33,2500,984,500,2487,0.8,2353,3.1
LGA11500,35,2100,738,380,1927,0.9,1700,2.9
LGA11520,39,3000,1107,560,2870,1,2371,2.5
LGA11570,36,2167,625,400,1786,1,1556,2.9
LGA11600,37,867,837,200,1814,0.8,1516,2.5
LGA11650,43,2000,727,400,1954,0.8,1507,2.5
LGA11700,42,650,524,153,1128,0.8,988,2.3
LGA11720,37,1647,696,340,1818,0.8,1493,2.6
LGA11730,49,1378,578,310,1398,0.8,1123,2.3
LGA11750,37,1096,900,200,2260,0.7,1740,2.3
LGA11800,44,1733,688,375,1685,0.8,1363,2.4
LGA12000,44,1300,693,210,1691,0.8,1310,2.5
LGA12150,39,867,661,190,1533,0.8,1231,2.4
LGA12160,49,1170,627,220,1518,0.7,1132,2.3
LGA12350,47,1200,606,230,1447,0.7,1112,2.3
LGA12380,34,2167,654,415,1808,1.1,1678,3
LGA12390,36,1517,837,300,1969,0.8,1597,2.5
LGA12700,46,1820,710,300,1856,0.8,1485,2.5
LGA12730,46,1083,701,220,1709,0.7,1240,2.2
LGA12750,54,1517,618,325,1436,0.7,1167,2.2
