LGA_CODE_2021,All_inc_NS_Emp_AW,All_inc_NS_E_T,All_inc_NS_UnE_lfw_FTW,All_inc_NS_UnE_lfw_PTW,All_inc_NS_UnE_lfw_Tot,All_inc_NS_T_LF,All_inc_NS_Notin_LF,All_inc_NS_LF_sta_NS,All_inc_NS_Tot,Tot_Emp_WFT,Tot_Emp_WPT,Tot_Emp_AW,Tot_E_T,Tot_UnE_lfw_FTW,Tot_UnE_lfw_PTW,Tot_UnE_lfw_Tot,Tot_T_LF,Tot_Notin_LF,Tot_LF_sta_NS,Tot_Tot
LGA11250,6,10,0,0,0,10,10,8,29,299,201,55,553,19,17,41,588,461,13,1063
LGA11300,0,3,0,0,0,3,11,4,15,315,236,69,619,30,21,57,676,739,25,1441
LGA11350,5,11,0,0,0,11,6,4,25,319,535,68,920,20,38,54,974,591,16,1577
LGA11400,0,0,0,0,0,0,4,5,14,115,92,22,237,3,6,7,245,176,14,433
LGA11450,11,17,0,0,0,17,21,28,68,1674,972,331,2975,89,53,138,3111,1536,45,4695
LGA11500,11,36,4,0,4,37,73,73,187,2296,1491,666,4450,219,148,371,4817,4570,131,9528
LGA11520,3,9,0,0,0,9,13,19,40,1126,521,142,1793,56,31,90,1884,1246,27,3151
LGA11570,21,47,0,0,0,52,119,149,318,3024,2376,1215,6611,286,295,583,7189,9875,285,17356
LGA11600,0,0,0,0,0,0,3,0,5,28,15,0,46,3,4,3,51,39,0,94
LGA11650,17,51,3,0,3,54,111,109,269,4814,4026,1195,10034,295,268,558,10591,7398,206,18194
LGA11700,0,0,0,0,0,0,0,3,9,12,7,0,26,0,0,6,25,69,3,97
LGA11720,8,12,0,0,0,17,29,29,71,822,865,238,1932,81,96,174,2108,1607,67,3775
LGA11730,7,14,0,0,0,18,31,31,79,540,571,105,1212,60,48,108,1321,1229,54,2604
LGA11750,0,0,0,0,0,0,0,4,8,51,24,8,81,5,0,0,86,57,4,148
LGA11800,8,12,0,0,0,17,25,32,72,1103,1004,152,2256,82,71,156,2411,1498,59,3967
LGA12000,0,0,0,0,0,0,0,0,0,47,44,3,89,0,5,5,88,58,0,151
LGA12150,0,0,0,0,0,0,9,3,8,42,32,5,80,13,3,13,87,126,6,222
LGA12160,0,0,0,0,0,0,5,3,8,87,102,11,197,14,19,28,230,212,4,442
LGA12350,0,0,0,0,0,0,6,3,17,146,139,7,297,16,21,35,334,241,12,584
LGA12380,10,21,0,0,0,19,48,91,165,1773,1118,519,3404,183,142,321,3730,5211,168,9106
LGA12390,9,20,0,0,0,16,25,25,76,863,538,118,1515,49,48,96,1611,916,46,2576
LGA12700,3,6,0,0,0,6,6,3,6,94,82,20,185,5,9,11,200,148,0,349
LGA12730,0,0,0,0,0,5,0,0,5,94,86,13,196,3,8,12,207,97,0,297
LGA12750,0,5,0,0,0,5,20,14,44,407,448,63,920,24,19,44,965,735,29,1722
LGA12850,17,21,0,0,0,25,77,119,216,1732,1340,740,3818,204,241,445,4258,7750,210,12217
LGA12870,0,0,0,0,0,0,5,5,0,139,101,17,257,4,11,16,270,203,0,476
LGA12900,0,0,0,0,0,0,0,3,9,127,84,11,222,10,10,19,244,180,8,431
LGA12930,8,19,0,0,0,19,27,37,84,1544,1060,442,3047,93,99,192,3235,2738,74,6053
LGA12950,0,0,0,0,0,0,5,4,8,43,45,16,103,0,7,9,112,98,5,207
LGA13010,0,4,0,0,0,4,4,5,10,78,85,13,178,16,10,27,202,190,5,403
LGA13310,7,11,0,0,0,11,11,6,28,439,331,58,831,21,32,52,881,556,15,1447
LGA13340,4,6,0,0,0,9,3,0,11,117,96,24,237,7,9,7,250,143,3,395
LGA13450,0,0,0,0,0,0,11,17,23,349,233,40,618,11,19,30,649,371,24,1041
LGA13550,3,9,0,0,0,9,7,11,26,155,117,28,300,12,15,30,326,233,12,573
LGA13660,0,0,0,0,0,0,3,0,8,49,35,5,87,3,3,11,99,98,0,200
LGA13800,3,7,0,0,0,7,14,16,39,910,607,193,1707,47,43,92,1798,1067,35,2903
LGA13850,0,0,0,0,0,0,0,0,3,31,30,7,66,4,0,4,70,49,4,124
LGA13910,3,9,0,4,4,7,11,15,34,194,189,26,411,26,19,41,447,343,24,821
LGA14000,0,10,0,0,0,10,12,16,37,1706,1004,246,2959,71,63,130,3086,1733,23,4841
LGA14100,0,0,0,0,0,0,0,0,0,131,75,13,221,10,7,18,234,142,3,383
LGA14170,6,12,3,0,3,13,25,26,61,2341,1106,296,3742,122,81,207,3946,2402,48,6391
LGA14220,0,6,0,0,0,6,8,11,20,189,192,26,416,36,22,61,474,390,15,880
LGA14300,0,0,0,0,0,0,5,3,3,70,42,4,117,5,4,16,128,107,6,247
LGA14350,3,8,0,0,0,8,18,24,47,336,352,74,763,47,32,81,846,796,49,1686
LGA14400,0,4,0,0,0,4,3,3,11,216,198,43,454,4,10,16,470,225,4,703
LGA14500,3,10,0,0,0,10,11,11,31,1380,749,161,2292,72,61,132,2428,1463,24,3914
LGA14550,0,0,0,0,0,0,6,6,12,77,94,17,190,12,12,23,216,236,12,459
LGA14600,0,0,0,0,0,0,3,4,7,49,59,3,111,7,9,16,129,102,10,239
LGA14650,23,44,0,0,0,43,48,53,146,3080,2486,452,6020,164,189,354,6372,4050,100,10523
LGA14700,3,6,0,0,0,6,0,9,13,523,221,63,806,24,27,45,848,338,11,1198
LGA14750,0,0,0,0,0,0,6,3,9,149,115,12,275,13,13,26,296,184,7,488
LGA14850,4,11,0,0,0,11,11,24,35,679,648,87,1412,35,58,91,1507,942,33,2472
LGA14870,0,0,0,0,0,4,10,11,21,223,231,38,487,18,17,39,525,482,18,1037
LGA14900,14,23,0,0,3,27,74,103,210,2430,1477,708,4620,214,190,409,5027,5837,174,11047
LGA14920,0,4,0,0,0,4,10,4,12,71,67,7,151,11,18,23,171,160,8,336
LGA14950,0,0,0,0,0,0,0,0,0,23,29,5,57,0,0,4,56,69,5,124
LGA15050,13,18,0,0,0,18,33,22,61,1398,1085,206,2688,89,91,183,2868,1654,44,4562
LGA15240,5,12,0,0,0,15,52,49,117,894,1126,200,2228,91,89,183,2408,2131,89,4633
LGA15270,0,3,0,0,0,3,10,4,16,257,269,38,563,20,16,35,600,408,19,1025
LGA15300,0,4,0,0,0,4,20,16,38,139,100,19,253,14,9,21,283,261,23,561
LGA15350,0,7,0,0,0,7,0,4,7,371,153,27,549,21,18,35,581,265,7,862
LGA15520,0,0,0,0,0,0,0,0,6,105,106,16,225,5,0,11,234,129,9,370
LGA15560,0,0,0,0,0,0,4,0,4,39,29,3,72,0,0,4,74,48,5,130
LGA15650,4,6,0,0,0,10,11,5,22,240,168,40,448,14,14,33,483,310,9,803
LGA15700,3,8,0,0,0,5,10,14,30,174,237,36,449,28,18,48,495,512,26,1037
LGA15750,0,3,0,0,0,3,0,3,7,151,99,19,272,10,16,27,296,217,7,524
LGA15800,0,0,0,0,0,0,5,6,11,59,67,3,125,10,7,18,145,125,9,278
LGA15850,4,4,0,0,0,4,0,0,7,85,58,10,158,9,5,18,171,112,3,286
LGA15900,7,21,0,0,0,17,32,35,87,2428,1775,278,4486,128,117,251,4731,2628,76,7440
LGA15950,0,3,0,0,0,3,9,11,17,989,380,86,1454,41,27,67,1524,524,13,2061
LGA15990,10,30,0,0,0,32,29,39,104,3254,1987,471,5714,111,87,199,5914,2611,71,8589
LGA16100,0,0,0,0,0,0,7,0,5,65,37,13,114,0,3,6,118,92,10,219
LGA16150,0,9,0,0,0,9,15,14,38,693,444,63,1200,33,34,68,1275,702,30,2004
LGA16200,0,4,0,0,0,4,3,3,14,215,148,24,387,20,14,36,424,264,10,704
LGA16260,10,15,0,3,3,20,37,60,111,2670,1482,549,4702,167,134,304,5009,3822,107,8935
LGA16350,27,44,0,7,5,45,49,79,182,3394,1981,791,6171,205,159,360,6533,4598,139,11264
LGA16380,3,12,0,0,0,12,25,24,58,1053,1016,125,2199,53,78,132,2330,1573,57,3965
LGA16400,7,13,0,0,0,15,21,19,59,884,854,172,1911,72,64,135,2043,1413,56,3507
LGA16490,3,7,0,0,0,7,12,15,31,1067,378,105,1548,37,32,67,1613,681,24,2322
LGA16550,7,12,0,0,0,12,19,16,46,1597,889,240,2728,76,62,137,2863,1825,34,4731
LGA16610,5,3,0,0,0,3,0,12,19,279,242,49,569,24,21,45,618,553,24,1193
LGA16700,6,15,0,0,0,15,15,13,44,1370,733,232,2339,61,80,139,2478,1797,43,4314
LGA16900,8,27,0,0,0,25,25,28,74,1029,927,277,2226,56,62,116,2351,1645,53,4045
LGA16950,11,20,0,0,0,22,31,31,82,1147,1220,200,2569,88,91,173,2740,2077,57,4877
LGA17000,0,7,0,0,0,7,5,3,26,298,215,53,564,20,18,40,603,343,10,962
LGA17040,0,0,0,0,0,0,7,5,13,253,177,24,454,9,13,20,472,233,14,719
LGA17080,0,0,0,0,0,0,0,5,17,177,127,25,332,16,18,33,362,249,17,626
LGA17100,0,5,0,0,0,5,5,12,19,334,240,99,668,22,35,63,731,646,18,1399
LGA17150,12,22,0,0,0,23,28,29,80,2999,1885,537,5419,96,109,207,5625,2711,58,8396
LGA17200,3,16,0,0,0,16,24,20,60,1502,762,214,2473,81,79,162,2636,1920,51,4609
LGA17310,0,10,0,0,0,11,25,33,69,902,712,114,1729,77,85,162,1889,1197,55,3144
LGA17350,0,0,0,0,0,0,4,0,3,59,70,12,146,4,4,9,153,90,3,244
LGA17400,0,0,0,0,0,0,0,6,8,60,41,16,113,5,4,17,128,156,4,283
LGA17420,8,21,0,0,0,21,18,13,58,2119,1060,314,3496,102,64,170,3662,1758,31,5452
LGA17550,13,24,0,0,0,25,31,46,101,1115,1235,221,2565,66,82,147,2714,1866,74,4655
LGA17620,0,6,0,0,0,6,6,4,12,167,107,20,301,9,7,16,313,206,7,525
LGA17640,0,0,0,0,0,0,0,0,0,72,59,6,143,3,0,3,146,105,5,255
LGA17650,0,0,0,0,0,0,0,3,5,51,52,11,118,7,5,11,131,107,7,246
LGA17750,3,13,0,0,0,12,30,29,71,952,717,99,1764,57,52,115,1878,1072,54,3001
LGA17850,0,0,0,0,0,0,0,0,5,23,13,0,41,0,0,3,42,28,3,73
LGA17900,0,0,0,0,0,0,0,0,5,43,38,10,88,4,5,9,98,116,10,219
LGA17950,0,0,0,0,0,0,0,4,7,17,19,4,35,0,0,0,39,46,9,92
LGA18020,0,0,0,0,0,0,12,4,20,89,82,15,184,11,10,22,209,170,8,380
LGA18050,0,8,0,0,0,8,6,16,30,718,419,83,1225,36,24,54,1277,617,25,1918
LGA18100,0,0,0,0,0,0,0,0,0,26,31,3,57,11,0,14,68,56,0,127
LGA18200,0,0,0,0,0,0,8,7,16,71,42,10,120,6,8,13,135,97,11,241
LGA18250,5,5,0,0,0,5,3,0,19,865,433,113,1405,53,45,99,1503,1083,16,2599
LGA18350,3,12,0,0,0,12,11,6,24,599,510,90,1198,15,24,42,1240,707,19,1965
LGA18400,4,7,0,0,0,10,7,11,25,622,420,122,1167,31,21,56,1221,695,21,1939
LGA18450,3,16,4,0,4,15,58,49,124,2567,1953,552,5079,153,120,267,5349,4169,110,9627
LGA18500,4,4,0,0,0,4,8,5,21,619,348,84,1050,25,17,42,1093,534,11,1641
LGA18710,0,3,0,0,0,3,0,0,3,222,138,20,382,5,3,12,390,159,3,553
LGA19399,0,0,0,0,0,0,0,0,0,9,6,0,19,0,0,0,19,8,0,24
LGA19499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
