LGA_CODE_2021,Afghanistan_Before_1951,Afghanistan_1951_1960,Afghanistan_1961_1970,Afghanistan_1971_1980,Afghanistan_1981_1990,Afghanistan_1991_2000,Afghanistan_2001_2010,Afghanistan_2011_2015,Afghanistan_2016,Afghanistan_2017,Afghanistan_2018,Afghanistan_2019,Afghanistan_2020,Afghanistan_2021,Afghanistan_Yr_arrival_NS,Afghanistan_Tot,Bangladesh_Before_1951,Bangladesh_1951_1960,Bangladesh_1961_1970,Bangladesh_1971_1980,Bangladesh_1981_1990,Bangladesh_1991_2000,Bangladesh_2001_2010,Bangladesh_2011_2015,Bangladesh_2016,Bangladesh_2017,Bangladesh_2018,Bangladesh_2019,Bangladesh_2020,Bangladesh_2021,Bangladesh_Yr_arrival_NS,Bangladesh_Tot,Canada_Before_1951,Canada_1951_1960,Canada_1961_1970,Canada_1971_1980,Canada_1981_1990,Canada_1991_2000,Canada_2001_2010,Canada_2011_2015,Canada_2016,Canada_2017,Canada_2018,Canada_2019,Canada_2020,Canada_2021,Canada_Yr_arrival_NS,Canada_Tot,China_exc_SARs_Taiw_Bef_1951,China_exc_SARs_Taiwan_51_60,China_exc_SARs_Taiwan_61_70,China_exc_SARs_Taiwan_71_80,China_exc_SARs_Taiwan_81_90,China_exc_SARs_Taiwan_91_00,China_exc_SARs_Taiwan_01_10,China_exc_SARs_Taiwan_11_15,China_exc_SARs_Taiwan_2016,China_exc_SARs_Taiwan_2017,China_exc_SARs_Taiwan_2018,China_exc_SARs_Taiwan_2019,China_exc_SARs_Taiwan_2020,China_exc_SARs_Taiwan_2021,China_exc_SARs_Tawan_arr_ns,China_exc_SARs_Taiwan_Tot,Croatia_Before_1951,Croatia_1951_1960,Croatia_1961_1970,Croatia_1971_1980,Croatia_1981_1990,Croatia_1991_2000,Croatia_2001_2010,Croatia_2011_2015,Croatia_2016,Croatia_2017,Croatia_2018,Croatia_2019,Croatia_2020,Croatia_2021,Croatia_Yr_arrival_NS,Croatia_Tot,Egypt_Before_1951,Egypt_1951_1960,Egypt_1961_1970,Egypt_1971_1980,Egypt_1981_1990,Egypt_1991_2000,Egypt_2001_2010,Egypt_2011_2015,Egypt_2016,Egypt_2017,Egypt_2018,Egypt_2019,Egypt_2020,Egypt_2021,Egypt_Yr_arrival_NS,Egypt_Tot,Fiji_Before_1951,Fiji_1951_1960,Fiji_1961_1970,Fiji_1971_1980,Fiji_1981_1990,Fiji_1991_2000,Fiji_2001_2010,Fiji_2011_2015,Fiji_2016,Fiji_2017,Fiji_2018,Fiji_2019,Fiji_2020,Fiji_2021,Fiji_Yr_arrival_NS,Fiji_Tot,Germany_Before_1951,Germany_1951_1960,Germany_1961_1970,Germany_1971_1980,Germany_1981_1990,Germany_1991_2000,Germany_2001_2010,Germany_2011_2015,Germany_2016,Germany_2017,Germany_2018,Germany_2019,Germany_2020,Germany_2021,Germany_Yr_arrival_NS,Germany_Tot,Greece_Before_1951,Greece_1951_1960,Greece_1961_1970,Greece_1971_1980,Greece_1981_1990,Greece_1991_2000,Greece_2001_2010,Greece_2011_2015,Greece_2016,Greece_2017,Greece_2018,Greece_2019,Greece_2020,Greece_2021,Greece_Yr_arrival_NS,Greece_Tot,Hng_Kng_SAR_China_Bfre_1951,Hng_Kng_SAR_China_1951_1960,Hng_Kng_SAR_China_1961_1970,Hng_Kng_SAR_China_1971_1980,Hng_Kng_SAR_China_1981_1990,Hng_Kng_SAR_China_1991_2000,Hng_Kng_SAR_China_2001_2010,Hng_Kng_SAR_China_2011_2015,Hong_Kong_SAR_China_2016,Hong_Kong_SAR_China_2017,Hong_Kong_SAR_China_2018,Hong_Kong_SAR_China_2019,Hong_Kong_SAR_China_2020,Hong_Kong_SAR_China_2021,Hng_Kng_SAR_Chna_arrival_ns,Hong_Kong_SAR_China_Tot,India_Before_1951,India_1951_1960,India_1961_1970,India_1971_1980,India_1981_1990,India_1991_2000,India_2001_2010,India_2011_2015,India_2016,India_2017,India_2018,India_2019,India_2020,India_2021,India_Yr_arrival_NS,India_Tot,Indonesia_Before_1951,Indonesia_1951_1960,Indonesia_1961_1970,Indonesia_1971_1980,Indonesia_1981_1990,Indonesia_1991_2000,Indonesia_2001_2010,Indonesia_2011_2015,Indonesia_2016,Indonesia_2017,Indonesia_2018,Indonesia_2019,Indonesia_2020,Indonesia_2021,Indonesia_Yr_arrival_ns,Indonesia_Tot,Iran_Before_1951,Iran_1951_1960,Iran_1961_1970,Iran_1971_1980,Iran_1981_1990,Iran_1991_2000,Iran_2001_2010,Iran_2011_2015
LGA10050,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,23,30,3,4,0,0,6,3,0,65,0,0,6,9,0,13,16,9,0,7,3,0,0,0,0,65,0,0,0,3,4,15,31,31,20,7,9,16,3,0,0,139,0,8,27,10,0,7,0,0,0,0,0,0,0,0,0,47,0,3,0,3,0,0,0,4,0,0,0,0,0,0,0,15,0,0,4,0,12,5,8,4,0,3,0,0,0,0,0,50,41,102,45,13,23,7,5,9,0,3,0,0,7,0,6,256,5,22,14,3,8,0,5,0,0,0,0,0,0,0,0,49,0,0,3,0,6,0,3,4,3,0,0,0,0,0,0,30,4,0,8,9,11,17,280,298,102,120,92,75,30,7,10,1062,0,0,0,0,0,4,6,12,3,0,0,0,0,0,0,39,0,0,0,0,7,6,10,6
LGA10180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,22,6,13,27,9,0,0,0,101,0,0,7,14,5,12,15,8,0,3,9,4,0,0,0,68,0,0,0,3,0,16,46,22,9,12,8,29,5,0,5,149,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,5,7,0,3,3,5,0,0,0,0,25,0,20,8,7,11,7,14,12,0,0,0,3,0,0,0,88,0,0,0,0,0,0,0,4,0,0,0,0,3,0,3,13,0,0,0,3,6,3,3,0,0,0,0,0,0,0,0,23,4,0,0,3,3,8,69,46,18,23,38,42,15,4,3,279,0,4,0,3,0,5,7,4,0,5,0,6,0,0,0,27,0,0,0,0,3,3,4,19
LGA10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,0,0,14,18,16,22,31,26,3,6,3,4,4,0,0,148,0,6,0,4,3,5,28,0,0,0,3,3,0,0,0,52,0,5,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,3,0,0,3,12,0,4,0,3,10,5,5,4,0,0,0,0,0,0,4,35,20,43,19,6,23,14,26,17,3,3,6,4,0,0,0,184,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,3,11,8,4,3,0,0,0,4,0,0,0,30,7,0,9,6,8,7,56,40,3,3,13,18,4,3,5,182,0,0,0,0,5,4,17,4,4,0,6,5,4,0,0,45,0,0,3,0,7,8,3,5
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LGA10470,0,0,0,0,0,0,6,6,0,0,0,0,0,0,5,20,0,0,0,0,0,7,10,19,0,8,9,3,3,0,4,58,0,3,4,12,8,11,20,3,0,0,0,5,0,0,4,59,0,0,0,0,10,13,30,25,0,5,4,7,0,0,12,98,0,6,8,10,0,6,0,0,0,0,0,0,0,0,0,33,0,4,4,0,0,5,3,4,0,0,6,0,6,0,0,21,0,0,3,7,5,9,15,0,0,0,7,3,0,0,6,51,19,25,14,4,16,3,3,5,0,0,0,0,0,0,4,96,0,3,7,5,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,4,0,0,0,0,0,4,0,0,17,0,0,4,0,5,16,99,77,24,32,31,36,16,8,8,358,0,0,0,0,0,0,9,8,6,0,0,0,0,0,3,37,0,0,0,0,3,0,6,12
LGA10500,0,0,0,3,9,19,15,3,0,0,0,0,0,0,3,63,0,0,0,17,95,368,857,543,109,141,130,109,57,30,37,2498,0,9,6,16,20,27,54,48,13,9,6,4,10,0,4,229,9,45,56,156,1435,1799,3155,2327,627,650,502,608,182,38,245,11831,6,50,238,59,33,76,17,11,0,0,0,0,0,0,31,514,32,143,330,250,222,207,146,91,12,23,19,20,7,0,65,1565,0,0,10,103,263,178,143,56,19,20,9,7,5,0,18,840,20,38,51,25,41,38,82,38,13,5,13,11,0,0,17,403,41,802,1933,415,129,67,65,177,28,24,14,10,3,3,212,3927,0,8,33,203,440,462,236,190,61,79,57,58,37,9,28,1905,7,4,46,63,148,194,608,559,239,244,276,333,110,26,48,2910,0,3,8,135,355,689,1078,759,259,276,319,315,123,5,119,4460,0,0,4,19,41,67,80,111
LGA10550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,10,0,5,7,12,13,9,23,4,0,4,0,0,3,0,0,79,3,4,0,0,0,4,11,5,4,0,0,3,0,0,0,44,0,0,11,3,0,0,0,0,0,0,0,0,0,0,0,19,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,4,7,5,0,0,0,0,0,0,0,0,24,19,67,45,28,30,25,19,4,0,0,3,0,0,0,7,252,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,22,3,5,4,0,5,0,6,0,0,0,5,0,0,0,0,23,6,3,5,0,0,6,21,15,11,6,4,5,8,0,5,96,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,3
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,9,11,0,0,0,4,0,0,0,33,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,9,8,12,14,12,27,4,15,7,0,0,0,0,0,0,3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
LGA10650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,0,0,10,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,17,10,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,3,3,3,0,0,34,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LGA10750,0,0,0,9,183,786,986,434,133,71,47,63,39,25,49,2818,0,0,4,13,113,620,1340,625,112,115,105,65,40,17,30,3196,0,3,13,24,38,41,70,47,8,3,16,13,3,0,6,288,5,22,36,83,676,1022,2293,1117,235,230,204,226,53,21,122,6350,3,52,377,134,63,187,38,9,0,0,0,0,0,0,20,886,11,32,174,178,325,312,441,310,45,86,38,37,7,5,39,2037,0,10,27,195,1629,2063,2119,716,162,110,153,193,74,14,109,7576,195,174,111,65,65,57,72,36,4,8,4,9,4,4,26,829,9,90,326,103,53,27,14,37,0,0,0,0,0,0,23,677,0,11,16,83,301,333,188,89,26,15,23,15,3,0,14,1120,7,3,119,234,800,3489,17568,10518,2855,2875,3283,3462,1066,207,609,47090,0,9,6,117,277,516,577,162,38,38,39,30,23,0,23,1868,0,0,4,50,191,338,532,670
LGA10800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,5,6,0,0,0,3,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LGA10850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,6,10,0,3,0,3,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,6,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
LGA10900,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,12,3,0,25,27,31,40,40,25,0,0,4,0,0,0,7,214,0,14,6,11,31,41,71,32,16,3,10,11,0,0,0,263,0,3,45,8,6,13,0,0,0,0,0,0,0,0,3,74,0,14,17,9,3,0,0,3,0,0,0,0,0,0,3,50,6,0,16,12,22,10,7,4,0,0,0,4,0,0,0,79,72,103,90,54,66,43,66,27,0,0,3,0,3,0,11,538,0,19,23,6,4,0,3,0,0,0,0,0,0,0,5,68,4,0,14,19,20,17,14,5,0,0,0,3,0,0,0,93,9,4,34,38,20,33,62,47,23,11,23,15,3,0,3,331,0,12,9,7,16,13,26,11,5,5,0,5,0,0,4,105,0,0,0,8,12,12,9,3
LGA10950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,6,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0
LGA11150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,4,0,3,0,5,4,0,25,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,0
LGA11200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,4,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,4,0,0,0,0,3,18,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,5,7,7,0,6,0,0,0,0,0,0,0,0,0,0,35,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,11,8,6,7,8,12,15,0,0,67,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,3
LGA11300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,32,10,0,0,8,11,5,0,0,75,0,0,3,0,4,7,15,3,0,4,5,10,5,0,0,47,6,41,52,85,759,1048,1839,1215,380,514,520,493,152,5,176,7291,4,22,106,26,6,7,0,0,0,0,0,0,0,0,0,161,0,3,28,17,19,12,3,14,0,5,0,0,0,0,0,105,0,0,7,17,37,32,11,9,4,5,0,0,0,0,0,120,23,10,7,0,12,4,7,6,0,0,0,0,4,4,0,76,8,82,196,30,4,3,0,5,0,0,0,0,0,0,9,346,0,11,21,106,167,180,108,75,27,29,31,34,22,3,15,832,0,0,23,31,68,107,219,207,110,119,137,130,56,22,26,1249,0,4,4,26,43,51,69,71,30,25,43,27,6,0,12,411,0,0,0,3,6,3,3,24
LGA11350,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,24,24,24,44,35,11,12,12,18,12,0,0,231,0,3,0,0,3,0,4,7,3,0,4,4,0,0,0,36,0,4,5,4,6,0,0,0,0,0,0,0,0,0,0,17,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,4,4,0,0,0,0,0,7,0,0,0,3,23,13,34,22,21,83,71,86,33,18,20,14,24,12,0,9,462,0,12,4,3,0,0,0,0,0,0,0,0,0,0,0,17,0,0,6,6,11,7,0,0,0,0,0,0,0,0,0,22,0,4,6,8,16,3,26,9,7,6,0,0,0,0,6,97,0,3,0,6,8,10,5,13,0,0,3,7,4,0,0,57,0,0,0,0,8,0,0,3
LGA11400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,0,0,0,0,0,0,13,0,0,0,8,0,3,3,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,7,4,6,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,11,9,4,0,8,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,4,0,0,0
LGA11450,0,0,0,0,30,52,52,28,5,3,3,0,0,0,4,173,0,0,0,0,4,50,321,156,19,11,12,11,3,0,13,601,0,0,0,10,10,25,31,23,3,0,0,0,7,0,0,118,0,5,8,19,80,137,285,177,17,25,29,52,12,0,15,873,3,18,119,40,17,89,13,6,0,0,0,0,0,0,9,320,8,17,32,20,45,54,61,76,32,5,8,9,3,0,5,376,0,0,0,22,264,312,346,147,15,22,20,19,11,0,15,1199,48,71,34,20,19,23,36,13,0,0,0,3,8,0,11,299,0,18,63,18,11,12,5,24,0,0,0,0,0,0,3,156,0,3,3,12,28,35,18,13,6,0,0,0,0,0,3,123,0,3,19,27,67,177,1263,785,122,110,97,108,37,14,25,2866,0,9,0,9,34,55,83,28,4,4,4,3,5,0,4,240,0,0,0,10,30,32,41,56
LGA11500,0,0,0,0,29,88,90,57,9,0,13,7,3,8,4,321,0,0,0,10,116,969,2669,995,201,135,120,122,53,41,69,5504,0,0,6,8,15,29,43,9,4,5,4,5,0,0,0,121,5,16,24,21,266,331,687,297,75,72,57,86,30,9,51,2020,0,17,188,56,30,71,18,3,9,0,5,0,0,0,15,407,8,20,43,34,139,166,207,182,28,10,11,16,6,0,17,889,0,0,16,101,764,799,691,260,49,60,63,55,29,3,73,2965,60,118,67,41,30,30,35,13,0,8,0,4,0,0,10,426,0,35,155,51,27,17,12,27,0,0,0,0,0,0,13,343,0,5,0,18,91,94,51,33,6,12,6,3,7,7,0,325,0,3,45,98,242,772,2782,1514,276,261,295,312,108,16,101,6833,0,3,0,36,107,224,277,100,32,12,17,22,11,0,10,848,0,0,0,17,39,34,84,72
LGA11520,0,0,0,0,8,3,7,5,0,0,0,0,0,0,0,33,0,0,0,4,4,19,29,15,4,10,4,9,7,0,0,106,0,0,5,23,23,22,39,26,7,6,8,8,0,0,3,165,7,42,49,62,654,1051,2265,1415,329,306,228,339,127,20,104,6992,0,23,92,12,11,14,3,0,0,0,3,0,0,0,8,172,9,35,84,51,68,26,31,40,13,4,7,12,3,4,12,384,0,4,11,34,60,39,29,9,3,4,3,7,0,0,8,218,40,35,25,19,31,25,39,30,3,0,4,0,0,0,10,269,9,159,361,55,10,3,9,7,4,0,0,0,0,0,21,639,5,14,46,134,337,328,144,121,39,41,30,23,27,13,12,1309,0,0,38,82,143,233,406,298,130,187,229,203,88,35,31,2105,0,8,5,30,42,83,144,77,30,22,13,25,16,0,11,499,0,0,0,15,72,37,105,134
LGA11570,0,0,0,5,21,107,227,131,31,50,67,34,3,13,24,718,0,0,0,12,148,777,2886,1620,350,427,388,368,153,78,134,7334,4,7,12,29,38,40,43,29,6,4,6,11,8,0,7,232,20,78,95,312,3083,3915,5877,2664,553,1006,587,550,121,22,614,19510,3,60,273,94,29,67,16,3,0,0,0,0,0,0,27,588,24,83,320,277,408,394,602,357,96,98,85,69,25,5,96,2941,0,8,21,204,738,515,334,145,28,43,60,87,26,0,78,2283,131,121,93,50,61,36,76,39,5,10,3,4,0,0,27,655,42,1095,3543,977,264,132,99,312,45,47,29,28,11,0,449,7072,4,13,35,302,713,651,282,154,44,44,24,39,19,9,54,2401,3,5,76,137,282,578,1686,1021,346,528,755,756,164,29,145,6509,0,3,23,224,672,913,1258,439,92,120,122,156,53,13,94,4179,0,0,9,14,51,95,120,211
LGA11600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,3,0,0,3,3,7,3,0,4,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,16,4,8,3,11,14,13,0,4,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
LGA11650,0,0,0,4,3,8,0,6,0,0,0,0,0,0,0,20,0,0,0,5,0,12,27,38,6,12,10,7,3,0,0,131,5,12,60,82,68,120,165,86,11,23,8,16,6,0,10,681,16,54,47,34,211,279,584,358,79,60,40,71,17,4,45,1893,3,52,149,40,5,29,3,9,0,0,3,0,0,0,11,307,28,79,100,37,27,21,20,34,5,22,7,16,5,7,16,424,7,9,19,60,112,90,52,33,14,3,16,14,9,3,10,443,174,275,156,112,108,85,170,69,8,14,5,9,0,0,42,1219,11,96,147,42,9,4,9,5,0,0,0,3,0,0,8,341,11,13,24,43,84,57,53,25,14,6,6,9,7,7,9,364,22,25,60,83,81,136,604,674,135,168,144,140,49,8,39,2362,12,25,20,35,52,75,118,89,14,15,25,38,18,0,3,536,0,0,3,21,31,30,51,63
LGA11700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA11720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,7,0,0,4,4,9,5,14,3,3,0,0,0,0,0,0,49,0,0,5,5,11,8,23,14,0,8,5,0,3,0,13,83,0,3,8,3,0,0,0,0,0,0,0,0,0,0,0,20,0,0,10,0,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,7,12,0,11,9,0,0,0,0,0,0,10,51,34,58,20,13,10,6,8,3,0,0,0,0,0,0,9,164,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,8,11,9,3,0,0,0,0,0,0,0,0,37,6,0,10,5,5,0,40,42,4,18,13,12,0,0,12,171,0,0,0,6,0,6,4,0,0,0,0,0,0,0,0,16,5,0,0,0,0,0,0,0
