LGA_CODE_2021,Sme_Usl_ad_1_yr_ago_as_2021_M,Sme_Usl_ad_1_yr_ago_as_2021_F,Sme_Usl_ad_1_yr_ago_as_2021_P,Dif_Usl_ad_1_yr_ago_Sme_SA2_M,Dif_Usl_ad_1_yr_ago_Sme_SA2_F,Dif_Usl_ad_1_yr_ago_Sme_SA2_P,Dif_Us_ad_1_ago_Dif_SA2_NSW_M,Dif_Us_ad_1_ago_Dif_SA2_NSW_F,Dif_Us_ad_1_ago_Dif_SA2_NSW_P,Dif_Us_ad_1_ago_Dif_SA2_Vic_M,Dif_Us_ad_1_ago_Dif_SA2_Vic_F,Dif_Us_ad_1_ago_Dif_SA2_Vic_P,Dif_Us_ad_1_ago_Dif_SA2_Qld_M,Dif_Us_ad_1_ago_Dif_SA2_Qld_F,Dif_Us_ad_1_ago_Dif_SA2_Qld_P,Dif_Us_ad_1_ago_Dif_SA2_SA_M,Dif_Us_ad_1_ago_Dif_SA2_SA_F,Dif_Us_ad_1_ago_Dif_SA2_SA_P,Dif_Us_ad_1_ago_Dif_SA2_WA_M,Dif_Us_ad_1_ago_Dif_SA2_WA_F,Dif_Us_ad_1_ago_Dif_SA2_WA_P,Dif_Us_ad_1_ago_Dif_SA2_Tas_M,Dif_Us_ad_1_ago_Dif_SA2_Tas_F,Dif_Us_ad_1_ago_Dif_SA2_Tas_P,Dif_Us_ad_1_ago_Dif_SA2_NT_M,Dif_Us_ad_1_ago_Dif_SA2_NT_F,Dif_Us_ad_1_ago_Dif_SA2_NT_P,Dif_Us_ad_1_ago_Dif_SA2_ACT_M,Dif_Us_ad_1_ago_Dif_SA2_ACT_F,Dif_Us_ad_1_ago_Dif_SA2_ACT_P,Dif_Us_ad_1_ago_Dif_SA2_OT_M,Dif_Us_ad_1_ago_Dif_SA2_OT_F,Dif_Us_ad_1_ago_Dif_SA2_OT_P,Dif_Us_ad_1_ago_Dif_SA2_Tot_M,Dif_Us_ad_1_ago_Dif_SA2_Tot_F,Dif_Us_ad_1_ago_Dif_SA2_Tot_P,Difnt_Usl_add_1_yr_ago_OS_M,Difnt_Usl_add_1_yr_ago_OS_F,Difnt_Usl_add_1_yr_ago_OS_P,Difnt_Usl_add_1_yr_ago_Ns_M,Difnt_Usl_add_1_yr_ago_Ns_F,Difnt_Usl_add_1_yr_ago_Ns_P,Difnt_Usl_add_1_yr_ago_Tot_M,Difnt_Usl_add_1_yr_ago_Tot_F,Difnt_Usl_add_1_yr_ago_Tot_P,N_stated_M,N_stated_F,N_stated_P,Tot_M,Tot_F,Tot_P
LGA10050,20920,22554,43472,979,1032,2012,1937,2128,4067,873,967,1840,121,116,236,15,12,24,12,29,42,18,11,35,9,7,22,21,27,50,0,0,0,3005,3306,6308,109,115,229,72,53,125,4161,4506,8674,1650,1605,3261,26733,28668,55408
LGA10180,9966,10655,20618,1305,1336,2642,834,1012,1839,44,51,89,141,169,310,15,13,31,23,13,37,8,7,14,10,11,23,11,17,29,0,0,0,1079,1286,2372,84,68,151,23,37,58,2488,2727,5220,1406,1590,2986,13860,14971,28831
LGA10250,17634,18820,36458,886,1007,1892,1662,1915,3575,137,138,275,208,247,462,11,20,29,14,13,18,20,15,38,12,8,18,10,14,17,3,0,3,2078,2362,4444,119,113,238,77,58,135,3162,3545,6705,1268,1409,2672,22064,23771,45836
LGA10300,837,818,1656,41,38,80,18,16,36,31,34,69,4,0,9,0,4,3,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,59,62,121,0,0,0,0,0,0,101,101,198,157,166,322,1105,1079,2184
LGA10470,16267,16709,32980,886,908,1791,2168,2428,4596,32,34,70,60,48,108,13,8,16,4,0,13,6,8,18,12,14,23,15,12,25,0,0,0,2308,2560,4861,66,64,133,58,43,99,3317,3574,6892,2042,1171,3214,21619,21458,43080
LGA10500,64493,65789,130283,3798,3497,7295,11050,11041,22091,222,199,420,160,187,347,40,39,73,54,45,104,26,13,37,24,14,36,55,61,117,5,0,4,11631,11591,23220,849,885,1733,287,207,494,16567,16175,32745,5088,4835,9924,86150,86803,172952
LGA10550,14000,14487,28489,828,919,1751,901,1010,1908,147,152,303,62,69,137,9,10,14,13,11,22,5,13,12,10,7,18,98,110,210,0,4,4,1253,1384,2633,43,45,92,43,29,69,2159,2382,4547,1335,1300,2636,17496,18168,35664
LGA10600,5149,5425,10569,210,234,441,384,455,839,37,32,71,28,45,74,4,4,6,10,6,14,0,0,4,11,11,19,6,9,14,0,0,0,471,558,1031,19,19,35,11,18,26,715,827,1538,527,530,1052,6384,6785,13167
LGA10650,3281,3344,6631,210,247,460,70,87,160,176,194,377,15,15,25,0,0,3,0,4,4,0,3,5,0,0,0,0,0,0,0,0,0,272,304,574,13,12,23,9,11,17,509,568,1082,443,447,888,4232,4362,8596
LGA10750,156313,158451,314765,3998,3985,7983,20621,20936,41554,339,289,620,249,273,520,58,57,113,64,66,130,19,23,39,36,25,59,67,55,121,0,0,0,21439,21725,43165,1198,1317,2515,410,318,724,27046,27345,54387,11671,10440,22109,195024,196239,391265
