LGA_CODE_2021,Neg_Nil_inc_cpl_fam_no_child,Neg_Nil_inc_cpl_fam_wth_chld,Neg_Nil_inc_One_parent_fam,Neg_Nil_inc_Other_fam,Neg_Nil_inc_Tot,FI_1_149_cpl_fam_no_child,FI_1_149_cpl_fam_with_child,FI_1_149_One_parent_fam,FI_1_149_Other_fam,FI_1_149_Tot,FI_150_299_cpl_fam_no_child,FI_150_299_cpl_fam_with_child,FI_150_299_One_parent_fam,FI_150_299_Other_fam,FI_150_299_Tot,FI_300_399_cpl_fam_no_child,FI_300_399_cpl_fam_with_child,FI_300_399_One_parent_fam,FI_300_399_Other_fam,FI_300_399_Tot,FI_400_499_cpl_fam_no_child,FI_400_499_cpl_fam_with_child,FI_400_499_One_parent_fam,FI_400_499_Other_fam,FI_400_499_Tot,FI_500_649_cpl_fam_no_child,FI_500_649_cpl_fam_with_child,FI_500_649_One_parent_fam,FI_500_649_Other_fam,FI_500_649_Tot,FI_650_799_cpl_fam_no_child,FI_650_799_cpl_fam_with_child,FI_650_799_One_parent_fam,FI_650_799_Other_fam,FI_650_799_Tot,FI_800_999_cpl_fam_no_child,FI_800_999_cpl_fam_wth_chld,FI_800_999_One_parent_fam,FI_800_999_Other_fam,FI_800_999_Tot,FI_1000_1249_cpl_fam_no_child,FI_1000_1249_cpl_fam_wth_chld,FI_1000_1249_One_parent_fam,FI_1000_1249_Other_fam,FI_1000_1249_Tot,FI_1250_1499_cpl_fam_no_child,FI_1250_1499_cpl_fam_wth_chld,FI_1250_1499_One_parent_fam,FI_1250_1499_Other_fam,FI_1250_1499_Tot,FI_1500_1749_cpl_fam_no_child,FI_1500_1749_cpl_fam_wth_chld,FI_1500_1749_One_parent_fam,FI_1500_1749_Other_fam,FI_1500_1749_Tot,FI_1750_1999_cpl_fam_no_child,FI_1750_1999_cpl_fam_wth_chld,FI_1750_1999_One_parent_fam,FI_1750_1999_Other_fam,FI_1750_1999_Tot,FI_2000_2499_cpl_fam_no_child,FI_2000_2499_cpl_fam_wth_chld,FI_2000_2499_One_parent_fam,FI_2000_2499_Other_fam,FI_2000_2499_Tot,FI_2500_2999_cpl_fam_no_child,FI_2500_2999_cpl_fam_wth_chld,FI_2500_2999_One_parent_fam,FI_2500_2999_Other_fam,FI_2500_2999_Tot,FI_3000_3499_cpl_fam_no_child,FI_3000_3499_cpl_fam_wth_chld,FI_3000_3499_One_parent_fam,FI_3000_3499_Other_fam,FI_3000_3499_Tot,FI_3500_3999_cpl_fam_no_child,FI_3500_3999_cpl_fam_wth_chld,FI_3500_3999_One_parent_fam,FI_3500_3999_Other_fam,FI_3500_3999_Tot,FI_4000_more_cpl_fam_no_child,FI_4000_more_cpl_fam_wth_chld,FI_4000_more_One_parent_fam,FI_4000_more_Other_fam,FI_4000_more_Tot,Prt_inc_std_cpl_fam_no_child,Part_inc_std_cpl_fam_wth_chld,Part_inc_statd_One_parent_fam,Partial_income_statd_Othr_fam,Partial_income_stated_Tot,All_inc_ns_cpl_fam_no_child,All_inc_ns_cpl_fam_wth_chld,All_incomes_ns_One_parent_fam,All_incomes_ns_Other_fam,All_incomes_ns_Tot,Tot_cpl_fam_no_child,Tot_cpl_fam_wth_chld,Tot_One_parent_fam,Tot_Other_fam,Tot_Tot
LGA10050,74,8,35,0,114,35,0,10,3,47,28,7,33,0,80,12,4,58,4,79,127,10,128,7,272,104,23,264,12,404,653,65,274,15,1007,459,101,305,33,896,493,182,361,22,1065,608,338,260,27,1234,371,366,195,18,956,414,412,155,13,991,855,944,238,30,2070,583,758,82,8,1433,360,660,41,7,1063,177,420,17,7,618,336,869,41,5,1251,228,449,161,5,845,101,41,48,3,193,6024,5658,2705,223,14613
LGA10180,42,19,20,0,79,20,5,9,0,33,14,0,24,0,38,12,6,31,0,44,63,18,56,3,143,41,28,105,3,171,334,45,118,10,506,210,70,157,13,454,240,111,146,11,513,319,155,109,18,599,195,163,70,15,437,227,179,69,4,492,407,371,99,8,888,260,311,28,6,606,179,242,13,4,442,105,182,5,0,287,241,412,24,3,682,117,210,77,5,409,38,20,14,0,71,3066,2544,1178,100,6896
LGA10250,75,12,19,0,107,57,3,13,0,64,24,4,19,0,49,26,6,23,4,56,146,9,77,7,240,93,13,139,0,246,695,43,177,11,929,516,79,272,22,894,569,168,291,24,1054,630,281,225,18,1150,342,282,170,5,800,380,301,139,14,837,750,709,197,18,1673,426,616,69,9,1120,283,523,40,10,860,165,309,15,0,496,409,798,56,9,1268,206,364,161,7,741,99,44,29,0,174,5890,4563,2142,160,12754
LGA10300,9,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,7,0,0,5,0,6,0,12,7,4,11,0,19,29,5,0,0,40,12,6,12,0,33,22,15,7,0,46,19,4,6,0,35,16,11,3,0,32,19,16,10,0,44,27,36,11,0,70,21,24,0,0,44,7,15,0,0,26,6,7,0,0,16,7,21,0,0,29,8,24,7,0,43,3,8,3,0,10,237,200,73,5,518
LGA10470,68,7,22,0,99,31,5,10,0,42,22,6,21,0,46,29,0,41,0,74,98,8,63,3,181,60,16,141,0,222,442,45,169,10,670,300,72,257,14,644,410,149,258,18,830,462,219,206,24,914,265,227,146,17,660,294,274,130,13,711,611,654,225,23,1511,449,628,91,11,1171,254,531,48,6,836,168,403,15,0,589,308,781,33,3,1130,211,408,149,8,770,71,28,46,3,150,4538,4459,2077,168,11242
LGA10500,585,123,191,37,934,139,25,37,9,205,119,61,87,10,277,104,40,123,6,278,434,108,222,22,784,298,152,343,30,832,1579,329,434,43,2384,921,485,581,93,2081,940,840,644,115,2540,1228,1137,667,131,3159,895,1026,546,97,2574,1034,1099,448,97,2679,2512,2604,860,200,6180,1759,2215,411,107,4492,1411,2086,289,53,3838,1002,1493,121,36,2654,2173,4976,356,78,7584,586,962,377,33,1960,235,187,86,14,520,17955,19947,6829,1227,45959
LGA10550,103,9,10,0,127,54,7,12,4,70,36,4,19,0,57,34,9,43,0,80,169,13,63,0,250,134,15,121,3,280,730,54,139,0,927,533,85,179,15,814,575,158,175,11,917,624,259,145,16,1038,299,218,83,5,604,333,249,77,8,666,547,539,96,13,1194,337,387,43,5,768,210,286,18,0,519,99,170,11,0,278,240,292,26,0,552,221,328,121,4,677,85,25,27,3,143,5351,3088,1419,90,9945
LGA10600,40,7,8,0,49,22,0,5,0,33,20,4,9,0,36,4,4,25,0,35,53,7,29,0,93,36,5,62,0,104,226,20,76,3,327,161,39,84,6,294,178,82,80,9,344,184,98,71,3,359,99,91,39,0,234,109,97,33,0,232,166,188,47,0,408,132,139,13,0,279,73,108,10,0,187,40,64,3,0,101,61,101,9,0,173,73,122,61,3,250,40,4,17,0,60,1718,1170,671,41,3594
LGA10650,24,0,3,0,31,10,0,0,0,6,8,0,0,0,14,5,3,12,0,24,35,3,11,0,48,31,11,25,0,62,214,19,30,0,266,115,23,41,4,183,125,36,34,5,203,132,59,41,0,233,45,50,12,6,116,71,51,11,0,138,122,115,21,0,259,77,96,8,0,176,38,82,3,0,123,19,38,0,0,57,54,59,6,0,117,55,71,17,0,150,42,6,12,0,64,1232,725,292,29,2278
LGA10750,1293,258,395,37,1986,211,55,88,9,371,184,90,232,13,509,170,105,404,11,691,716,251,756,38,1755,512,383,1165,47,2108,2813,829,1295,79,5014,1597,1173,1647,143,4562,1764,2091,1680,146,5671,2059,3131,1736,189,7121,1380,3143,1203,140,5864,1493,3270,1110,129,6006,3591,8882,1899,272,14642,2509,7557,915,148,11126,1859,6959,614,78,9512,1203,4884,298,55,6448,2074,11936,560,73,14645,791,3075,923,81,4867,426,497,317,37,1275,26633,58576,17238,1719,104171
LGA10800,13,0,4,0,19,4,0,0,0,7,0,0,3,0,7,0,0,3,0,8,25,0,12,0,36,7,3,23,0,37,96,11,15,0,122,53,15,34,0,96,54,21,20,5,98,59,34,11,4,109,33,26,14,4,73,43,38,14,0,93,81,83,13,0,185,52,68,8,0,124,36,59,3,0,98,16,24,0,0,46,36,65,8,0,106,44,87,18,0,153,24,3,4,0,31,672,551,200,12,1443
LGA10850,14,4,5,0,22,9,0,0,0,7,7,4,6,0,13,3,0,4,0,11,12,0,14,4,35,12,3,22,5,41,96,10,37,4,143,69,7,39,3,122,67,32,34,0,134,93,49,37,4,193,39,46,22,0,112,54,40,20,0,106,94,131,24,5,249,73,131,12,3,218,48,93,7,0,149,34,62,3,0,102,60,127,5,3,192,55,91,27,0,170,18,7,3,5,31,864,839,312,35,2044
LGA10900,113,19,24,4,160,62,11,13,0,81,49,7,36,5,92,35,7,53,0,100,206,18,95,11,324,146,31,198,7,380,800,60,242,12,1109,640,123,310,29,1097,867,248,383,21,1512,976,374,348,23,1723,570,408,246,13,1232,555,477,239,18,1289,1140,1236,393,29,2791,839,1157,183,12,2199,667,1153,101,7,1927,377,862,44,7,1286,991,2430,113,3,3540,279,530,239,18,1061,78,49,30,0,161,9393,9183,3285,213,22072
LGA10950,8,0,0,0,7,0,3,0,0,3,3,6,0,0,8,0,0,0,0,0,12,0,4,0,13,4,0,15,0,19,24,0,17,0,39,20,9,3,3,33,18,15,6,0,42,14,18,4,3,38,14,16,11,0,40,18,14,0,5,32,30,37,10,0,77,24,28,3,0,59,18,19,3,0,33,7,16,4,0,25,23,42,5,0,68,16,44,7,0,73,6,7,3,0,18,262,270,90,20,638
LGA11150,5,0,7,0,12,0,0,0,0,3,0,0,3,0,4,0,0,0,0,0,5,0,6,0,11,0,0,11,0,9,21,3,16,0,44,7,8,10,0,30,10,5,7,0,25,20,7,10,0,38,10,8,0,0,25,16,7,5,0,30,24,29,9,5,64,14,17,4,0,37,14,27,0,0,43,4,14,0,0,14,13,29,0,0,47,17,40,4,0,61,12,13,6,4,38,193,219,106,16,535
LGA11200,3,0,4,0,5,4,0,0,0,9,0,0,6,0,9,0,0,9,0,5,0,0,8,0,12,5,0,7,4,14,10,4,11,0,28,7,5,6,0,21,7,5,14,0,31,9,9,5,0,23,4,4,6,0,11,4,0,0,0,12,14,13,5,0,28,12,7,0,0,17,5,0,0,0,5,5,4,0,0,10,10,8,0,0,16,6,9,7,0,31,0,0,0,0,7,114,77,90,10,294
LGA11250,33,6,23,3,61,8,0,6,0,18,6,3,14,0,26,3,0,36,0,45,56,6,60,0,126,42,9,91,6,145,287,17,101,8,411,166,26,132,13,344,175,58,120,11,363,166,100,99,4,373,84,67,57,7,222,105,79,62,5,254,189,208,89,3,488,156,174,27,12,368,116,153,21,0,297,63,119,12,0,197,88,209,7,3,313,117,157,73,4,353,55,13,29,0,98,1935,1417,1063,89,4505
LGA11300,186,22,88,16,315,47,7,15,3,71,28,10,24,0,68,27,18,50,3,96,109,22,53,4,200,90,36,90,13,225,330,60,80,12,475,210,92,109,31,446,286,182,134,43,642,347,234,113,56,750,211,204,99,35,550,221,203,85,25,535,525,506,172,54,1255,293,362,61,24,750,226,371,54,15,672,139,309,15,7,475,430,1213,89,9,1742,115,236,82,12,447,41,36,15,3,95,3865,4129,1441,387,9816
LGA11350,46,17,33,0,90,17,4,8,0,31,24,12,12,0,55,16,8,50,0,73,80,11,70,0,153,60,29,133,0,217,296,53,147,9,498,207,90,167,10,478,272,128,182,10,600,371,192,161,13,737,217,201,117,12,544,257,241,87,3,587,499,467,123,15,1099,271,402,45,3,726,214,298,22,3,533,109,186,6,0,302,419,597,41,0,1057,189,313,149,5,652,44,36,25,0,98,3609,3261,1577,94,8547
LGA11400,44,3,3,0,56,14,0,5,0,14,4,4,0,0,17,7,0,13,0,28,52,4,13,0,73,33,9,43,0,83,209,17,44,9,272,111,33,40,7,190,128,47,64,4,241,144,83,42,3,279,98,72,37,0,209,108,97,20,7,230,194,217,27,0,443,120,168,17,0,303,92,170,3,0,267,47,123,3,0,171,138,326,7,0,476,75,188,44,0,310,43,13,14,0,64,1666,1590,433,30,3721
LGA11450,230,66,81,11,383,61,11,19,0,91,33,14,35,0,90,52,22,55,0,130,153,53,132,5,342,140,58,278,8,473,775,153,295,7,1225,484,227,379,30,1124,553,467,522,22,1564,667,719,400,36,1820,424,882,395,23,1724,498,1040,356,13,1905,1366,2738,620,40,4765,1193,2660,315,41,4206,872,2417,212,23,3522,559,1724,101,18,2402,959,4097,192,28,5267,248,907,241,12,1399,111,142,68,4,335,9378,18391,4695,304,32776
LGA11500,435,115,204,13,761,93,36,40,9,177,90,65,121,11,285,99,45,257,7,407,359,125,464,25,973,291,223,759,17,1291,1562,457,823,42,2887,957,687,1002,80,2727,976,1207,1020,77,3278,1170,1621,913,91,3797,798,1635,669,46,3149,873,1630,570,80,3152,1847,3919,915,121,6801,1157,3049,438,69,4712,824,2285,283,41,3433,474,1489,128,14,2107,729,3048,215,20,4013,390,1416,512,26,2354,201,190,187,22,598,13328,23262,9528,798,46917
LGA11520,271,45,91,10,418,92,13,18,3,129,53,8,44,7,115,41,17,53,4,115,198,43,56,6,309,134,59,122,15,325,678,92,133,16,915,425,124,224,30,802,553,243,237,25,1059,689,313,269,64,1334,407,326,239,38,1014,468,368,193,33,1072,1199,989,429,71,2686,987,930,208,53,2180,880,1027,187,27,2123,655,818,72,21,1564,2299,4962,341,48,7648,335,503,195,14,1046,101,69,40,7,214,10462,10951,3151,484,25052
LGA11570,1240,554,609,52,2459,285,114,120,8,522,237,202,312,22,768,204,218,489,17,932,1049,519,818,41,2432,668,823,1071,57,2619,3758,1581,1361,110,6804,1890,2014,1648,197,5756,1973,3048,1718,206,6940,2133,3746,1652,234,7760,1236,2968,1196,136,5532,1368,3033,1013,123,5543,2756,6174,1713,233,10877,1883,4823,915,173,7793,1326,3873,570,93,5863,792,2780,305,54,3922,1721,7731,596,84,10137,861,2670,933,66,4527,472,587,318,44,1427,25833,47462,17356,1963,92604
LGA11600,10,0,0,0,12,0,0,0,0,3,0,0,6,0,6,0,0,7,0,10,4,0,0,0,8,4,4,13,0,21,18,3,9,0,25,18,7,15,0,45,26,14,17,6,52,26,19,9,0,58,21,24,0,4,48,21,19,4,0,47,46,45,3,0,95,27,35,0,0,60,10,25,0,0,36,3,18,0,0,20,18,26,0,0,49,10,33,11,0,54,9,0,5,0,19,280,285,94,12,670
LGA11650,700,100,265,18,1087,303,24,69,3,391,199,32,184,8,414,183,36,352,15,585,952,106,663,30,1750,666,163,1313,31,2170,4806,426,1602,81,6914,3111,605,2060,154,5933,3287,1105,2250,187,6826,3732,1983,1926,166,7808,2060,2118,1305,90,5574,2267,2379,1170,86,5900,4538,5710,1802,136,12181,2885,5249,784,68,8985,2057,4575,436,36,7103,1149,2960,178,14,4306,2802,7396,406,27,10630,1268,2664,1153,50,5139,578,272,269,31,1153,37532,37902,18194,1228,94861
LGA11700,3,0,5,0,11,0,0,0,0,3,0,0,9,0,10,0,0,4,0,5,9,0,6,0,17,3,6,12,0,23,21,5,7,0,31,14,11,16,0,40,16,13,13,0,37,11,6,0,0,19,8,8,3,0,14,6,3,0,0,7,16,8,5,0,29,9,10,0,0,19,4,3,0,0,11,5,4,0,0,11,12,5,3,0,21,5,16,8,0,35,15,0,9,0,21,158,95,97,9,358
LGA11720,105,26,50,8,195,53,0,22,0,77,32,4,46,4,89,28,5,110,3,153,149,19,176,0,337,125,32,348,7,512,842,95,403,16,1358,524,131,494,40,1190,495,261,467,29,1260,588,417,358,26,1393,354,460,236,14,1057,387,452,194,13,1047,823,1148,286,22,2279,551,921,132,12,1614,368,758,68,10,1201,187,470,21,6,688,384,922,51,4,1362,259,558,234,15,1063,107,52,71,15,243,6372,6727,3775,240,17108
