LGA_CODE_2021,Num_Psns_UR_1_FamHhold,Num_Psns_UR_1_NonFamHhold,Num_Psns_UR_1_Total,Num_Psns_UR_2_FamHhold,Num_Psns_UR_2_NonFamHhold,Num_Psns_UR_2_Total,Num_Psns_UR_3_FamHhold,Num_Psns_UR_3_NonFamHhold,Num_Psns_UR_3_Total,Num_Psns_UR_4_FamHhold,Num_Psns_UR_4_NonFamHhold,Num_Psns_UR_4_Total,Num_Psns_UR_5_FamHhold,Num_Psns_UR_5_NonFamHhold,Num_Psns_UR_5_Total,Num_Psns_UR_6mo_FamHhold,Num_Psns_UR_6mo_NonFamHhold,Num_Psns_UR_6mo_Total,Total_FamHhold,Total_NonFamHhold,Total_Total
LGA10050,..,7002,7002,6998,633,7630,2907,129,3031,2742,43,2789,1201,16,1219,508,4,512,14360,7822,22182
LGA10180,..,3399,3399,3449,312,3754,1288,86,1367,1209,45,1251,545,0,545,313,5,317,6793,3842,10636
LGA10250,..,5155,5155,6462,531,6995,2440,94,2536,2237,34,2271,915,9,923,396,5,403,12451,5828,18281
LGA10300,..,208,208,253,18,268,89,6,93,75,0,75,55,0,55,39,0,38,503,229,733
LGA10470,..,4406,4406,5151,407,5555,2221,93,2313,2144,25,2166,999,11,1010,484,0,488,10999,4940,15942
LGA10500,..,16347,16347,18692,2796,21487,10728,898,11629,9218,333,9550,3617,105,3728,2021,68,2090,44280,20551,64833
LGA10550,..,4511,4511,5749,339,6090,1628,35,1663,1410,7,1416,618,0,619,329,0,334,9738,4889,14630
LGA10600,..,1502,1502,1858,179,2033,665,20,687,577,6,582,263,0,264,116,0,121,3482,1702,5185
LGA10650,..,1065,1065,1321,69,1386,369,5,373,311,0,311,162,0,162,72,0,72,2235,1139,3373
LGA10750,..,19260,19260,27966,2160,30127,24094,595,24690,27329,269,27598,11656,115,11768,7829,64,7894,98872,22463,121337
LGA10800,..,676,676,745,29,779,277,8,282,221,0,221,130,0,130,65,0,65,1436,715,2151
LGA10850,..,708,708,968,42,1005,404,4,409,342,0,342,202,0,203,97,0,97,2011,753,2763
LGA10900,..,8142,8142,10399,632,11029,4386,78,4468,4308,29,4333,1800,4,1805,737,0,738,21637,8893,30528
LGA10950,..,278,278,296,22,313,121,0,123,110,0,110,62,0,62,38,0,38,624,298,923
LGA11150,..,243,243,214,9,222,118,6,126,85,0,88,56,0,56,35,0,35,513,258,774
LGA11200,..,177,177,140,13,152,48,0,49,43,0,40,21,0,28,30,0,30,282,189,473
LGA11250,..,2713,2713,2368,145,2507,921,16,941,731,0,730,279,0,279,134,0,134,4429,2875,7308
LGA11300,..,3214,3214,3668,765,4438,2384,402,2783,2049,221,2270,797,90,883,508,52,556,9402,4742,14137
LGA11350,..,3439,3439,3754,653,4408,1902,287,2193,1645,132,1780,662,58,717,329,22,351,8297,4580,12875
LGA11400,..,1188,1188,1778,69,1848,666,4,669,621,0,621,396,0,396,190,0,190,3654,1256,4913
LGA11450,..,5160,5160,9511,455,9969,7010,90,7098,8633,35,8666,4195,8,4205,2070,6,2073,31422,5756,37171
LGA11500,..,11367,11367,14966,1125,16090,10783,164,10946,10464,47,10513,4884,21,4906,3537,15,3552,44638,12733,57368
LGA11520,..,8514,8514,11244,1079,12321,5651,305,5958,5196,110,5302,1773,42,1817,583,15,597,24450,10061,34512
LGA11570,..,24868,24868,28381,2647,31024,19858,842,20705,20060,454,20513,10933,183,11119,8649,154,8806,87885,29147,117031
LGA11600,..,277,277,312,18,331,127,8,138,126,0,130,73,0,70,25,0,31,656,313,965
LGA11650,..,35866,35866,41981,3184,45162,19184,468,19658,18913,147,19055,8031,38,8059,3896,19,3917,92003,39707,131713
LGA11700,..,236,236,172,8,176,61,0,61,49,0,56,24,0,24,33,0,33,337,251,591
LGA11720,..,5497,5497,7120,480,7605,3628,64,3691,3326,10,3332,1568,3,1574,847,6,857,16496,6060,22556
LGA11730,..,6054,6054,7846,623,8463,2610,52,2664,2149,14,2159,1001,0,1003,585,4,586,14188,6742,20932
LGA11750,..,472,472,446,28,475,168,3,170,171,0,166,79,0,79,48,0,48,905,506,1409
LGA11800,..,8195,8195,10054,822,10872,4088,147,4232,3716,48,3766,1686,16,1701,989,18,1011,20524,9247,29774
LGA12000,..,450,450,605,37,640,199,0,198,150,3,149,148,0,149,58,0,58,1160,495,1649
LGA12150,..,420,420,410,42,453,178,6,182,122,0,122,83,0,83,53,0,53,837,467,1303
LGA12160,..,1419,1419,1657,72,1734,497,9,506,452,4,457,254,0,252,119,0,119,2984,1508,4490
LGA12350,..,1641,1641,1801,115,1911,621,10,634,501,3,502,271,0,271,120,0,123,3309,1770,5081
LGA12380,..,13989,13989,15789,1931,17722,12691,994,13687,12806,698,13498,6389,336,6721,5820,223,6044,53494,18171,71666
LGA12390,..,5256,5256,5940,481,6426,2847,106,2955,2556,39,2591,1316,13,1335,708,13,718,13367,5909,19279
LGA12700,..,865,865,1308,50,1356,500,0,500,498,0,496,241,0,241,120,0,120,2662,919,3578
LGA12730,..,1112,1112,1185,76,1262,348,3,354,357,0,355,167,0,169,76,0,78,2138,1188,3331
LGA12750,..,5135,5135,6803,362,7163,1738,40,1772,1510,18,1523,648,6,653,349,0,349,11045,5553,16603
LGA12850,..,10680,10680,13935,983,14920,10695,230,10927,11013,90,11105,6850,51,6896,6352,32,6387,48853,12067,60918
LGA12870,..,1667,1667,2003,108,2115,569,9,582,512,6,521,243,0,246,109,0,109,3440,1792,5231
LGA12900,..,1115,1115,1235,76,1306,407,7,412,388,0,388,227,0,227,114,0,114,2370,1192,3563
LGA12930,..,11070,11070,14052,1219,15270,9628,445,10072,9477,253,9728,4002,100,4099,2107,59,2158,39262,13134,52401
LGA12950,..,478,478,575,27,607,197,5,207,160,0,164,106,0,106,35,0,35,1084,509,1598
LGA13010,..,1292,1292,1328,83,1409,370,12,381,315,0,317,162,0,163,61,0,60,2243,1389,3628
LGA13310,..,3665,3665,3936,261,4195,1566,38,1607,1465,10,1479,719,7,724,368,5,373,8062,3985,12045
LGA13340,..,1000,1000,1430,66,1497,488,3,492,490,3,491,282,0,282,171,0,171,2858,1075,3936
LGA13450,..,2278,2278,2779,170,2954,1404,57,1458,1398,19,1418,717,8,721,428,9,435,6725,2546,9266
LGA13550,..,1301,1301,1519,114,1633,628,18,642,627,10,636,330,0,336,149,0,152,3257,1439,4697
LGA13660,..,573,573,721,42,768,204,0,210,181,0,181,106,0,106,64,0,64,1280,618,1898
LGA13800,..,5019,5019,6895,405,7305,3785,58,3844,3763,22,3782,1928,0,1932,1177,0,1185,17549,5511,23060
LGA13850,..,380,380,406,15,422,137,3,142,97,0,103,57,0,57,25,0,25,728,403,1134
LGA13910,..,2290,2290,2586,163,2748,867,13,886,768,0,768,457,0,457,260,0,260,4938,2468,7403
