LGA_CODE_2021,M_Iraq_0_4,M_Iraq_5_14,M_Iraq_15_24,M_Iraq_25_44,M_Iraq_45_54,M_Iraq_55_64,M_Iraq_65_74,M_Iraq_75_84,M_Iraq_85ov,M_Iraq_Tot,M_Ireland_0_4,M_Ireland_5_14,M_Ireland_15_24,M_Ireland_25_44,M_Ireland_45_54,M_Ireland_55_64,M_Ireland_65_74,M_Ireland_75_84,M_Ireland_85ov,M_Ireland_Tot,M_Italy_0_4,M_Italy_5_14,M_Italy_15_24,M_Italy_25_44,M_Italy_45_54,M_Italy_55_64,M_Italy_65_74,M_Italy_75_84,M_Italy_85ov,M_Italy_Tot,M_Japan_0_4,M_Japan_5_14,M_Japan_15_24,M_Japan_25_44,M_Japan_45_54,M_Japan_55_64,M_Japan_65_74,M_Japan_75_84,M_Japan_85ov,M_Japan_Tot,M_Korea_South_0_4,M_Korea_South_5_14,M_Korea_South_15_24,M_Korea_South_25_44,M_Korea_South_45_54,M_Korea_South_55_64,M_Korea_South_65_74,M_Korea_South_75_84,M_Korea_South_85ov,M_Korea_South_Tot,M_Lebanon_0_4,M_Lebanon_5_14,M_Lebanon_15_24,M_Lebanon_25_44,M_Lebanon_45_54,M_Lebanon_55_64,M_Lebanon_65_74,M_Lebanon_75_84,M_Lebanon_85ov,M_Lebanon_Tot,M_Malaysia_0_4,M_Malaysia_5_14,M_Malaysia_15_24,M_Malaysia_25_44,M_Malaysia_45_54,M_Malaysia_55_64,M_Malaysia_65_74,M_Malaysia_75_84,M_Malaysia_85ov,M_Malaysia_Tot,M_Malta_0_4,M_Malta_5_14,M_Malta_15_24,M_Malta_25_44,M_Malta_45_54,M_Malta_55_64,M_Malta_65_74,M_Malta_75_84,M_Malta_85ov,M_Malta_Tot,M_Mauritius_0_4,M_Mauritius_5_14,M_Mauritius_15_24,M_Mauritius_25_44,M_Mauritius_45_54,M_Mauritius_55_64,M_Mauritius_65_74,M_Mauritius_75_84,M_Mauritius_85ov,M_Mauritius_Tot,M_Myanmar_0_4,M_Myanmar_5_14,M_Myanmar_15_24,M_Myanmar_25_44,M_Myanmar_45_54,M_Myanmar_55_64,M_Myanmar_65_74,M_Myanmar_75_84,M_Myanmar_85ov,M_Myanmar_Tot,M_Nepal_0_4,M_Nepal_5_14,M_Nepal_15_24,M_Nepal_25_44,M_Nepal_45_54,M_Nepal_55_64,M_Nepal_65_74,M_Nepal_75_84,M_Nepal_85ov,M_Nepal_Tot,M_Netherlands_0_4,M_Netherlands_5_14,M_Netherlands_15_24,M_Netherlands_25_44,M_Netherlands_45_54,M_Netherlands_55_64,M_Netherlands_65_74,M_Netherlands_75_84,M_Netherlands_85ov,M_Netherlands_Tot,M_New_Zealand_0_4,M_New_Zealand_5_14,M_New_Zealand_15_24,M_New_Zealand_25_44,M_New_Zealand_45_54,M_New_Zealand_55_64,M_New_Zealand_65_74,M_New_Zealand_75_84,M_New_Zealand_85ov,M_New_Zealand_Tot,M_North_Macedonia_0_4,M_North_Macedonia_5_14,M_North_Macedonia_15_24,M_North_Macedonia_25_44,M_North_Macedonia_45_54,M_North_Macedonia_55_64,M_North_Macedonia_65_74,M_North_Macedonia_75_84,M_North_Macedonia_85ov,M_North_Macedonia_Tot,M_Pakistan_0_4,M_Pakistan_5_14,M_Pakistan_15_24,M_Pakistan_25_44,M_Pakistan_45_54,M_Pakistan_55_64,M_Pakistan_65_74,M_Pakistan_75_84,M_Pakistan_85ov,M_Pakistan_Tot,M_PNG_0_4,M_PNG_5_14,M_PNG_15_24,M_PNG_25_44,M_PNG_45_54,M_PNG_55_64,M_PNG_65_74,M_PNG_75_84,M_PNG_85ov,M_PNG_Tot,M_Philippines_0_4,M_Philippines_5_14,M_Philippines_15_24,M_Philippines_25_44,M_Philippines_45_54,M_Philippines_55_64,M_Philippines_65_74,M_Philippines_75_84,M_Philippines_85ov,M_Philippines_Tot,M_Poland_0_4,M_Poland_5_14,M_Poland_15_24,M_Poland_25_44,M_Poland_45_54,M_Poland_55_64,M_Poland_65_74,M_Poland_75_84,M_Poland_85ov,M_Poland_Tot,M_Samoa_0_4,M_Samoa_5_14,M_Samoa_15_24,M_Samoa_25_44,M_Samoa_45_54,M_Samoa_55_64,M_Samoa_65_74,M_Samoa_75_84,M_Samoa_85ov,M_Samoa_Tot,M_Scotland_0_4,M_Scotland_5_14,M_Scotland_15_24,M_Scotland_25_44,M_Scotland_45_54,M_Scotland_55_64,M_Scotland_65_74,M_Scotland_75_84,M_Scotland_85ov,M_Scotland_Tot
LGA10050,0,0,0,0,0,0,0,0,0,5,0,0,0,11,0,3,4,3,0,33,0,0,0,10,3,4,18,8,4,52,0,3,0,0,3,0,0,0,0,8,0,0,0,16,0,0,0,0,0,20,0,0,0,6,8,0,0,0,0,13,0,0,8,7,9,3,0,0,0,25,0,0,0,0,0,0,3,3,0,9,0,0,0,3,5,0,0,0,0,10,0,0,0,3,0,0,0,0,0,3,0,20,56,89,5,0,0,0,0,177,0,0,0,3,0,10,37,33,5,93,0,10,11,90,59,54,45,16,3,293,0,0,0,0,0,0,0,0,0,4,0,3,5,27,0,0,0,0,0,44,0,0,0,0,5,5,3,0,0,19,0,8,33,65,27,10,3,4,0,151,0,0,0,0,0,4,5,0,0,10,0,0,0,0,3,0,0,0,0,7,0,0,0,3,15,19,28,18,7,84
LGA10180,13,79,84,65,19,9,5,0,0,270,0,0,0,5,6,0,3,4,0,17,0,0,0,0,0,0,0,0,0,6,0,4,0,4,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,3,0,0,7,5,3,8,3,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,12,99,3,0,0,0,0,125,0,4,0,0,0,4,9,7,0,21,0,7,15,30,21,30,28,11,0,143,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,21,0,0,4,5,6,3,6,0,0,17,0,12,3,38,8,4,0,0,0,57,0,0,0,0,0,0,0,0,0,9,0,0,0,7,0,0,0,0,0,6,0,0,0,4,4,14,10,8,0,44
LGA10250,0,0,0,0,0,0,0,0,0,0,0,3,0,11,9,5,10,6,5,51,0,0,0,22,4,4,13,17,7,60,0,0,4,15,6,0,5,0,0,30,0,0,0,13,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,0,3,0,8,3,3,3,3,0,26,0,0,0,0,0,0,5,0,0,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,17,0,5,3,7,3,6,22,9,8,61,0,17,17,102,67,76,68,25,6,373,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,3,0,0,0,7,15,8,5,0,0,34,0,4,4,9,5,6,0,0,0,32,0,0,0,8,0,4,3,0,0,11,0,0,0,0,0,0,0,0,0,3,0,0,3,7,15,10,19,18,3,86
LGA10300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,18,5,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA10470,0,0,0,6,0,0,0,0,0,10,0,3,3,10,4,3,5,9,4,37,0,0,0,0,0,13,5,0,0,20,0,0,0,0,0,0,3,0,0,5,0,0,0,13,0,4,0,0,0,16,0,0,0,7,9,5,8,4,0,32,0,0,5,11,10,5,0,0,0,23,0,0,0,0,0,0,9,3,0,9,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,17,72,3,0,4,0,0,88,0,0,0,5,0,10,15,15,0,45,3,3,16,63,55,45,31,13,0,237,0,0,0,0,0,0,0,0,0,0,0,7,0,24,3,0,0,0,0,36,0,0,0,0,3,3,0,0,0,8,3,15,16,54,15,4,0,0,0,103,0,0,0,0,0,0,0,0,0,9,0,0,0,3,0,0,0,0,0,6,0,0,4,8,11,12,22,11,6,75
LGA10500,0,15,11,99,55,57,24,5,3,268,7,9,39,728,80,45,23,13,8,945,5,4,14,231,61,86,147,166,120,834,4,10,20,56,43,13,11,6,0,156,0,5,20,145,43,29,12,3,0,263,6,35,58,382,405,441,250,117,31,1731,6,10,72,377,68,74,80,28,3,723,0,0,0,3,13,28,76,65,20,203,0,0,3,31,9,23,10,7,3,87,0,0,12,25,7,8,7,3,3,65,0,27,896,1655,84,16,3,0,0,2679,0,0,5,20,16,11,17,13,3,82,9,32,132,510,304,249,132,37,11,1411,0,8,29,177,155,257,438,270,63,1405,3,11,40,213,20,18,10,0,0,319,0,0,4,13,15,6,3,0,0,47,10,47,111,730,190,191,78,42,13,1405,0,4,3,112,32,18,39,8,3,231,0,0,0,18,13,10,3,5,0,46,0,0,4,85,33,56,39,19,10,248
LGA10550,0,0,0,0,0,0,0,0,0,0,0,3,0,6,0,3,10,9,0,32,0,0,0,6,5,4,16,8,3,39,0,6,3,0,0,0,3,0,0,9,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,3,0,0,0,9,6,0,4,0,0,19,0,0,0,0,0,4,9,4,0,19,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,24,0,0,0,8,5,3,21,24,8,76,0,0,6,38,26,65,60,18,3,209,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,7,0,4,0,12,3,5,0,0,0,32,0,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,15,31,20,4,91
LGA10600,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,5,0,0,0,9,0,0,0,0,0,3,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,6,10,3,31,0,0,0,19,8,25,20,9,4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,0,0,6,0,0,0,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,4,11,6,4,3,36
LGA10650,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,3,0,0,5,0,0,0,3,0,0,10,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,5,11,4,0,20,0,0,4,3,8,10,9,3,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,4,7,0,19
LGA10750,3,63,141,415,211,158,77,20,6,1094,0,24,18,120,40,56,51,41,6,354,0,0,11,65,46,116,165,167,59,636,0,16,17,17,4,3,3,0,0,61,0,31,95,340,225,166,101,51,8,1018,3,25,24,291,208,226,195,82,11,1058,4,49,55,277,121,113,118,39,10,784,0,0,0,28,41,141,428,281,87,1013,0,5,15,65,39,75,63,32,9,297,0,10,21,152,111,82,57,23,5,463,0,53,200,1327,190,46,25,3,0,1845,0,7,6,17,18,37,73,53,23,225,53,425,784,1643,654,417,211,57,8,4253,0,0,3,20,24,16,25,16,5,101,35,383,350,1633,425,277,133,29,7,3275,0,9,15,22,17,13,7,0,0,78,50,418,1028,4036,2126,1964,1285,289,47,11241,0,4,4,55,49,70,112,42,32,371,6,59,127,302,246,232,140,40,4,1157,0,3,19,34,53,85,77,56,16,351
